身不爽不由人瞌睡朦胧,0,身不爽不由人瞌睡朦胧（呃）。
lseh-WeiGuoJia-HongYangDong-1.xml_3,身不爽不由人瞌睡朦胧（呃）。,1398011.207805433,1.0
lseh-WeiGuoJia-HongYangDong-2.xml_3,身不爽不由人瞌睡朦胧（呃）（哪）。,1482367.3426765003,1.0
lseh-WeiGuoJia-HongYangDong-3.xml_3,身不爽不由人瞌睡朦胧。,1613195.1347983861,1.0
daxp-ErTingDe-SuoLinNang.xml_3,莫不是强婚配鸦占鸾巢。,4020053.654158436,0.2
daxp-ChunQiuTing-SuoLinNang.xml_15,莫不是强婚配鸦占鸾巢？,4121842.622605188,0.2
lsxp-WoBenShi-KongChengJi-2.xml_4,官封到武乡侯（呃）执掌帅印，,4523322.396130325,0.0
lsxp-WoBenShi-KongChengJi-1.xml_4,官封到武乡侯哇执掌帅印，,4562408.366373625,0.0
lsxp-DaHeYi-SiLangTanMu.xml_22,灯光之下看不真。,4828305.685724158,0.2
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_3,发奋自强日夜读诗文。,4861641.711628975,0.0
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,4956031.61238085,0.0
lseh-WeiGuoJia-HongYangDong-3.xml_0,为国家哪何曾半日闲空，,5148617.797890692,0.0
lsxp-YiShiWu-YuCangJian.xml_3,靠山绿（哇）水常在面前。,5237730.370344642,0.0
lsxp-DaHeYi-SiLangTanMu.xml_16,我是你四哥回宋营。,5290065.395876492,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_1,我立志不嫁那状元才郎。,5314300.172255519,0.2
daxp-ErTingDe-SuoLinNang.xml_15,薛良与我去问一遭。,5349466.683327306,0.0
sdxp-SuLongWei-WuJiaPo.xml_2,王丞相是我的主婚人（哪）。,5485862.389644935,0.1
lseh-TanXiongDi-SangYuanJiZi.xml_1,丢下了年幼儿好不伤情。,5489034.629658103,0.2
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,5505722.136442466,0.0
daxp-QiaoLouShang-HuangShanLei.xml_3,不知他在荒山何处安身。,5521563.472130288,0.3
lseh-YiLunMing-WenZhaoGuan-2.xml_15,今夜晚怎能够盼到明天。,5544763.287807204,0.0
lsxp-WoBenShi-KongChengJi-2.xml_9,我面前却少个知（呃）音的人。,5611888.705087744,0.1
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,5615470.538056173,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_10,爹娘（呃）要相逢除非是梦（呃）里团圆。,5618512.750382101,0.0
daxp-ErDeFu-HongNiGuan.xml_3,倒不如与伯党匹配鸾凰。,5670191.847295712,0.2
lseh-YiLunMing-WenZhaoGuan-1.xml_15,今夜晚怎能够盼到明天。,5697997.719890858,0.0
sdxp-WoHeNi-SiLangTanMu.xml_10,怎奈我身在番难以过关。,5755650.955145914,0.1
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,5887422.813892962,0.2
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,5930672.434646468,0.0
lseh-XiRiLi-BaoLianDeng.xml_0,昔日里有一个孤竹君，,5935579.136789612,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_0,为国家那何曾半日闲空，,5954822.741099965,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,6042954.898335818,0.2
daxp-TingTaYan-ZuoGong.xml_5,尊一声驸马爷细听咱言。,6110889.302396602,0.0
sdxp-DangNianHan-SanJiZhang.xml_4,仙女嫁的又是何人？,6124913.503756614,0.1
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,6140656.562263817,0.1
daxp-XiRiLiang-LongFengChengXiang.xml_1,今朝仙女会襄王。,6173600.958921075,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,6175534.03665996,0.0
lsxp-WoBenShi-KongChengJi-1.xml_9,我面前缺少个知呃音的人。,6211311.840309242,0.1
daxp-WoZhuYe-SiLangTanMu.xml_3,一心心要夺取宋室江山。,6229578.1907524,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,6248030.41862747,0.2
lseh-YiLunMing-WenZhaoGuan-1.xml_36,对天发不宏誓愿，,6267532.701606877,0.2
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,6276580.851206669,0.0
lseh-YangYanZhao-PengBei.xml_0,杨延昭奉父命巡查大营，,6328494.948418622,0.0
lseh-ZenNengGou-BaDaChui.xml_0,怎能够思一计番营来进，,6345329.445687071,0.0
lseh-LaoZhangBu-WuPenJi.xml_4,我忙将树（呃）枝摆摇（哇）动，,6425611.976488743,0.0
sdxp-SuLongWei-WuJiaPo.xml_4,咬定牙关他就不认承。,6448680.442980735,0.2
lseh-YiLunMing-WenZhaoGuan-1.xml_26,要相逢陈非是梦（兀）里团圆。,6500237.31657331,0.0
sdxp-DangNianHan-SanJiZhang.xml_15,未央宫斩的是韩信，,6555168.3258353565,0.0
lsxp-WoBenShi-KongChengJi-1.xml_5,东西战南北剿博古通呃今。,6572107.5281378,0.0
lseh-LaoZhangBu-WuPenJi.xml_6,我和你远无冤近无有仇恨，,6582459.424603214,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_2,朝欢暮乐无牵挂，,6640706.217992401,0.0
lsxp-WoBenShi-KongChengJi-2.xml_5,东西战南北剿博古（呃）通（哦）今。,6651453.643182606,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_1,倒叫我桂英儿挂在心头。,6681959.248635727,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,6697056.212326847,0.1
lsxp-ZhangGongDao-ZhuangYuanPu.xml_1,陈伯愚年半百无有后苗。,6713578.597706442,0.0
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,6747630.477884979,0.3
lsxp-LiangGuoJiao-ShiJieTing-2.xml_3,赏罚中公（呃）平莫要自由。,6760290.369902089,0.1
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,6760586.18945846,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_10,千言万（哪）语她不肯，,6784483.951699805,0.2
lseh-YiLunMing-ZhuoFangCao-1.xml_0,一轮明月照窗下，,6793766.335254865,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,6812310.028885261,0.0
lseh-WeiGuoJia-HongYangDong-2.xml_0,为国家哪何曾半日闲空，,6838987.101584555,0.0
lseh-WeiKaiYan-RangXuZhou.xml_0,未开言不由人（呐）珠泪滚滚，,6861002.212452149,0.4
lsxp-QingGongYan-FaDongWu.xml_1,想起桃园结拜情。,6868375.415948743,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,6873911.780456509,0.0
lseh-WeiGuoJia-HongYangDong-2.xml_2,官封到节度使（喏）皇王恩重，,6876332.228118026,0.0
daxp-FeiShiWo-TaoHuaCun.xml_0,非是我嘱咐叮咛把话讲，,6889017.535341879,0.0
lseh-TanXiongDi-SangYuanJiZi.xml_2,眼望着孤坟台珠泪难忍，,6937884.414702395,0.0
lsxp-YiShiWu-YuCangJian.xml_6,他害我满门（呐）真悲惨，,6938540.580888777,0.0
sdxp-WoHeNi-SiLangTanMu.xml_30,宋营离此路途远，,6940567.480554047,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_20,对天发下宏誓愿，,6964889.707150857,0.0
daxp-ErTingDe-SuoLinNang.xml_0,耳听得悲声惨心中如捣，,6977073.782274032,0.0
lseh-WeiGuoJia-HongYangDong-3.xml_2,官封到节度史（喏）皇王恩重，,7028372.853431177,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,7034035.915017924,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_0,一轮明月照窗下，,7057994.09246426,0.0
lsxp-DaHeYi-SiLangTanMu.xml_25,家住哪州并哪郡？,7060987.87532641,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,7127847.174440915,0.2
sdxp-WoHeNi-SiLangTanMu.xml_25,有什么心腹事你只管明言。,7131639.128430859,0.0
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,7138779.915227836,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_0,一轮明月照窗前，,7170513.834641419,0.0
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,7179223.156092154,0.0
sdxp-SuLongWei-WuJiaPo.xml_3,他三人与我有仇恨，,7224219.495771894,0.1
sdxp-SuLongWei-WuJiaPo.xml_5,西凉川四十单八站，,7238993.522176342,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_3,赏罚中公（呃）平莫要自由。,7248132.923588777,0.1
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,7255111.867047341,0.0
daxp-DangRiLi-SuoLinNang.xml_7,哪有这短花帘，旧花幔，参差流苏，残破不全。,7298185.499286862,0.2
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,7313997.264802986,0.3
lsxp-ZiGuDao-HuangHeLou.xml_3,二将军保架过长江。,7327410.221153805,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_5,因此上到郊外来捡芦花（呀）。,7347662.90181933,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_1,儿命苦怎配着状元才郎？,7354394.111953975,0.0
lseh-XiRiLi-BaoLianDeng.xml_2,都只为孤（哇）竹君身染重病（哪），,7363115.19294906,0.1
sdxp-SuLongWei-WuJiaPo.xml_30,本利算来有多少，,7364619.097034607,0.0
lsxp-QingGongYan-FaDongWu.xml_2,弟兄们创业多艰难，,7376393.544614456,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_7,生死二字（喏）且由他！,7380420.887396261,0.1
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,7392885.150622176,0.0
lsxp-WoBenShi-KongChengJi-2.xml_1,凭阴阳如反掌保定乾坤。,7393033.347454706,0.0
daxp-ErDeFu-HongNiGuan.xml_6,奴本当把关印付他执掌，,7421471.681826046,0.0
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,7444437.096502011,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_11,自有那神灵儿天地鉴察。,7543220.304708031,0.0
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,7545783.062026439,0.1
daxp-WoDeNiang-XinAnYi.xml_1,奴年交十九岁还守闺门。,7560510.184679181,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,7563721.2306735255,0.0
daxp-XiRiLi-LongFengChengXiang.xml_1,今朝仙女会襄王。,7576035.215034167,0.0
lseh-LaoZhangBu-WuPenJi.xml_0,老丈不（哇）必胆怕惊，,7598458.862935201,0.2
lseh-YiLunMing-WenZhaoGuan-1.xml_0,一轮明月照窗前，,7611299.292417341,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,7615646.471901465,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_1,满朝中文武臣泪双流。,7645931.549609755,0.0
daxp-QiaoLouShang-HuangShanLei.xml_1,父子们去采药未见回程。,7652435.322074051,0.0
daxp-DiTouLi-NvQiJie.xml_0,低头离了洪洞县，,7685553.740247735,0.0
lsxp-DaHeYi-SiLangTanMu.xml_28,原来四哥回宋营。,7691359.687893955,0.0
