为国家哪何曾半日闲空,1,为国家哪何曾半日闲空，
lseh-WeiGuoJia-HongYangDong-1.xml_0,为国家那何曾半日闲空，,797475.2753846678,0.9
lseh-WeiGuoJia-HongYangDong-3.xml_0,为国家哪何曾半日闲空，,1058289.2276577093,1.0
lseh-WeiGuoJia-HongYangDong-2.xml_0,为国家哪何曾半日闲空，,1063378.1186785768,1.0
lseh-LaoZhangBu-WuPenJi.xml_0,老丈不（哇）必胆怕惊，,2234828.4668562026,0.0
lseh-YangYanZhao-PengBei.xml_0,杨延昭奉父命巡查大营，,2601644.313117652,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_0,心中有事难合眼，,2737051.7108757407,0.0
lseh-XiRiLi-BaoLianDeng.xml_0,昔日里有一个孤竹君，,2831063.515978817,0.1
sdxp-WoHeNi-SiLangTanMu.xml_2,贤公主又何必过于谦言。,2916921.4798245165,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_16,心中有事难合眼，,2927575.699989714,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_5,因此上到郊外来捡芦花（呀）。,3101591.340316694,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_1,胡言乱语怎瞒（呐）咱！,3192066.752253693,0.0
sdxp-SuLongWei-WuJiaPo.xml_12,百般调戏也枉然。,3217146.8016549638,0.0
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,3242075.014281379,0.1
lseh-TuZeiZuo-SouGuJiuGu.xml_0,屠贼做事心太狠，,3289612.264625324,0.0
daxp-ErTingDe-SuoLinNang.xml_29,积德才生玉树苗。,3356936.314442522,0.0
sdxp-DangNianHan-SanJiZhang.xml_4,仙女嫁的又是何人？,3360454.5281126136,0.1
sdxp-SuLongWei-WuJiaPo.xml_6,为军的要人我是不要钱。,3508278.4731605058,0.1
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,3589307.7221286353,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,3619742.092846679,0.0
lsxp-WoBenShi-KongChengJi-2.xml_9,我面前却少个知（呃）音的人。,3649989.8293018807,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,3661055.136523385,0.0
