我也曾平复了塞北西东 ,0,我也曾平服了塞北西东。
lseh-WeiGuoJia-HongYangDong-3.xml_1,我也曾平服了塞北西东。,1647440.4917938928,0.8181818181818182
lseh-WeiGuoJia-HongYangDong-1.xml_1,我也曾平服了塞北西东。,2041750.17849889,0.8181818181818182
lseh-WeiGuoJia-HongYangDong-2.xml_1,我也曾平服了塞北西东。,2317617.817976027,0.8181818181818182
lsxp-ZheYiFeng-DingJunShan.xml_2,站立在营门三军叫，,2815525.929681251,0.0
lseh-YangYanZhao-PengBei.xml_1,在中途得一信甚是不明。,3264241.7324416838,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_4,此一番领（呃）兵去镇守，,3292199.4582767244,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_2,管带三（呐）军要宽厚，,3493992.9954436873,0.0
lsxp-JiangShenEr-SanJiaDian.xml_1,尊一声过往的宾朋听从头：,3702897.7947619613,0.0
lsxp-WoBenShi-KongChengJi-1.xml_6,周文王访姜尚周室大振，,3766866.8213054272,0.0
lsxp-WoBenShi-KongChengJi-2.xml_6,周文王访姜尚周室大振，,3817249.8060996407,0.0
sdxp-DangNianHan-SanJiZhang.xml_5,我的儿说话言不逊，,3826808.5901856604,0.09090909090909091
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,3846925.282546115,0.09090909090909091
lseh-YiLunMing-ZhuoFangCao-1.xml_24,执宝剑将贼的（呀）头割下，,4123835.7352239257,0.0
lsxp-YiShiWu-YuCangJian.xml_0,一事无成两鬓斑，,4193087.2205582466,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,4305121.065171683,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,4315722.759299116,0.09090909090909091
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,4347864.17978615,0.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,4491785.418209503,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_8,一路上秋毫无犯军威壮，,4537340.32430184,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_24,哭一声爹娘不能相见，,4568104.389845118,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_0,两国交锋龙虎斗，,4578354.004475548,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_2,今日里斩宗保娘把儿怪，,4589375.908402901,0.0
lsxp-ZouYingLong-DaYanSong.xml_0,忽听得万岁宣应龙，,4604809.913460783,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_1,诬杀赵家一满门。,4647166.7646001745,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,4649492.781437393,0.0
lsxp-DaHeYi-SiLangTanMu.xml_9,家住后山磁州郡，,4654143.654494533,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,4683900.933698637,0.2727272727272727
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,4703637.962113831,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,4734926.408908365,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,4744754.405571266,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,4814896.350031971,0.0
