我好比哀哀长空雁,0,我好（呃）比哀哀长空雁，
lseh-YiLunMing-WenZhaoGuan-2.xml_10,我好（呃）比哀哀长空雁，,1564972.3316940374,1.0
lseh-YiLunMing-WenZhaoGuan-1.xml_10,我好（哇）比哀哀长空雁，,1617084.302679632,1.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,4803316.640921783,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_8,一路上秋毫无犯军威壮，,4812383.451347162,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_4,幸遇那东皋公行方便，,4841144.581112778,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_4,幸遇那东皋公行方便，,4871566.492032642,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_4,吕伯奢可算得义气（呀）大，,5136458.906877504,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,5209366.880107913,0.0
lsxp-DaHeYi-SiLangTanMu.xml_23,本帅开言把他问，,5398458.768203003,0.0
lsxp-WoBenShi-KongChengJi-2.xml_8,闲无（呃）事在敌楼（呃）我亮一亮琴（呢）音，,5475769.135191977,0.125
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,5544313.071581726,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,5587767.27502208,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_4,是是是（呀）来我明白了，,5622661.809385439,0.125
lsxp-JiangShenEr-SanJiaDian.xml_8,实难舍街坊四邻与我的好朋友，,5663669.693877879,0.25
lseh-YiLunMing-WenZhaoGuan-1.xml_8,俺伍员好一似丧家犬，,5909749.216337112,0.125
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,5914693.095822679,0.125
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,5938571.243431195,0.125
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,5973382.92441974,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_20,若是真心来救我，,5975091.011742504,0.125
