我好比鱼儿吞了钩线,0,我好（呃）比鱼儿吞了钩线，
lseh-YiLunMing-WenZhaoGuan-2.xml_12,我好（呃）比鱼儿吞了钩线，,1507279.2257672804,1.0
lseh-YiLunMing-WenZhaoGuan-1.xml_12,我好（哇）比鱼儿吞了钩线，,1512412.0782611668,1.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_5,眼睁（呐）睁有何人去（呀）把纸烧。,4237290.779713902,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,5109363.687059279,0.1111111111111111
lseh-YiLunMing-ZhuoFangSuDian.xml_3,悔不该随他人到吕家。,5199453.818464125,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_18,背地里只把东皋公怨，,5559517.9390164465,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,5661866.364464435,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_8,一家人倶丧在宝剑之下，,5751562.485088373,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_2,在长安是你夸大话，,5801447.908364886,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_6,三人同把那鬼门关上踏，,5809590.508836155,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,5815385.825507576,0.0
lsxp-JiangShenEr-SanJiaDian.xml_3,二不是歹人（呐）把城偷。,5831130.414526971,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_2,既是为我前来到，,5954632.010818512,0.1111111111111111
lsxp-DaHeYi-SiLangTanMu.xml_13,十五年前沙滩会，,6056847.743526708,0.0
lsxp-ZouYingLong-DaYanSong.xml_11,我本当金（哪）殿奏一本怎奈我官卑职小不能够参大臣。,6073222.4517649235,0.1111111111111111
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,6144823.250986551,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,6160271.640167404,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_3,悔不该随他人到吕家。,6214713.644683608,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_12,今日里萧何荐良将，,6403923.068745499,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,6452480.281618257,0.1111111111111111
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,6487855.323222404,0.1111111111111111
lsxp-JiangShenEr-SanJiaDian.xml_8,实难舍街坊四邻与我的好朋友，,6507721.9630124895,0.2222222222222222
lsxp-ZiGuDao-HuangHeLou.xml_5,四将军保架料也无妨。,6630583.788458856,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,6666262.695953375,0.2222222222222222
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,6697684.515893741,0.0
lsxp-ZouYingLong-DaYanSong.xml_10,他本是我朝中上欺天子下压臣谋朝篡位卖国的奸贼他名叫严嵩，,6751376.071066671,0.1111111111111111
lsxp-CiShiJian-HuaiHeYing-1.xml_2,在长安是你夸大话，,6760053.336547511,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_2,背地里只把东皋公怨，,6781116.376059118,0.0
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,6796851.887560657,0.1111111111111111
lsxp-ZheYiFeng-DingJunShan.xml_2,站立在营门三军叫，,6830598.1360462485,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,6858682.691625627,0.1111111111111111
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,6861059.918641973,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,6951435.6601600135,0.0
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,6970292.432825686,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,6976392.750982907,0.1111111111111111
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,6979821.630321199,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_20,若是真心来救我，,6981584.572491648,0.1111111111111111
lseh-XinZhongYou-WenZhaoGuan.xml_4,若是真心来救我，,6981584.572491648,0.1111111111111111
lseh-YiLunMing-WenZhaoGuan-1.xml_27,鸡鸣犬吠五更（哪）天，,6996493.503142554,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,7005244.756107088,0.2222222222222222
lsxp-ZouYingLong-DaYanSong.xml_3,偶遇见小小的顽童放悲声，,7006223.919194532,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_11,鸡鸣犬吠五更（呃）天，,7014064.624349617,0.0
lsxp-ZouYingLong-DaYanSong.xml_5,他言道严嵩老贼害他的举家一满门。,7029283.499783718,0.0
lseh-WeiKaiYan-RangXuZhou.xml_1,天卸重任我就要（哇）你担承。,7034524.697023189,0.1111111111111111
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,7050549.772206487,0.0
lseh-XiRiLi-BaoLianDeng.xml_14,打死了别家子父能作主，,7054315.388950991,0.1111111111111111
lsxp-ZuoRiLi-YuanMenZhanZi.xml_2,今日里斩宗保娘把儿怪，,7057792.992380692,0.1111111111111111
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,7068715.037493817,0.3333333333333333
lseh-YiLunMing-WenZhaoGuan-1.xml_10,我好（哇）比哀哀长空雁，,7095080.610834655,0.3333333333333333
