我好比波浪中失舵的舟船,0,我好（哇）比波浪中失舵的舟船（哪）。
lseh-YiLunMing-WenZhaoGuan-1.xml_13,我好（哇）比波浪中失舵的舟船（哪）。,1399590.2491280725,1.0
lseh-YiLunMing-WenZhaoGuan-2.xml_13,我好（呃）比波浪中失舵的舟船（喏）。,1473685.6595513353,1.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,3117450.7254566676,0.09090909090909091
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,3635021.8973786593,0.36363636363636365
daxp-MengJunZi-ChunQiuPei-2.xml_3,我爹爹名姜绍贸易天涯。,3951844.887241449,0.09090909090909091
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,3976529.602848538,0.09090909090909091
lseh-YiLunMing-ZhuoFangCao-2.xml_3,悔不该随他人到吕家。,4085124.494585763,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,4168997.193393416,0.09090909090909091
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,4180792.4331264766,0.09090909090909091
sdxp-SuLongWei-WuJiaPo.xml_12,百般调戏也枉然。,4214670.021576491,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,4254726.090753138,0.09090909090909091
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,4263442.129209433,0.09090909090909091
lseh-XuMaoGong-QinQiongFaPei.xml_0,徐茂公阴阳多奥妙，,4335961.665531671,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,4337779.919797078,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_0,深宫无（哇）处不飞花，,4360494.451586961,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_12,听谯楼打罢了二（喏）更鼓下，,4397323.7316618245,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_2,眼见得忠良无救应，,4438721.675094964,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,4456054.528271796,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,4500612.350801434,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,4507279.466688278,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,4659358.384783033,0.18181818181818182
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,4709322.286116286,0.09090909090909091
sdxp-SuLongWei-WuJiaPo.xml_6,为军的要人我是不要钱。,4772947.18331415,0.18181818181818182
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,4784620.515433354,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,4825980.024419768,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,4844677.951505332,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,4846193.042478156,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,4849559.442435354,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_3,赏罚中公（呃）平莫要自由。,4854942.836719005,0.09090909090909091
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,4887721.291815868,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,4911443.824626137,0.09090909090909091
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,4918929.686139698,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,4952935.178625459,0.0
daxp-QiaoLouShang-HuangShanLei.xml_7,原来是秋风起扫叶之声。,4986216.276171888,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,4991380.047338537,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,5029359.36170254,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_1,年老得配女娇娃。,5033158.2971285535,0.0
