思来想去我的肝肠断,0,思来想去我的肝肠断，
lseh-YiLunMing-WenZhaoGuan-2.xml_14,思来想去我的肝肠断，,1245524.2518883504,1.0
lseh-YiLunMing-WenZhaoGuan-1.xml_14,思来想去我的肝肠断，,1499273.7571339332,1.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,3254785.7670634747,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,3254785.7670634747,0.0
lsxp-DaHeYi-SiLangTanMu.xml_21,龙行虎步非凡等，,3255904.4365701866,0.0
sdxp-WoHeNi-SiLangTanMu.xml_11,公主虽然不阻拦，,3261761.3059990024,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,3289010.1491409843,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,3364398.720743,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,3369527.029332008,0.1111111111111111
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,3460544.3952129055,0.0
sdxp-WoHeNi-SiLangTanMu.xml_6,有一桩心腹事不敢明言。,3516649.3488339838,0.0
lsxp-ZiGuDao-HuangHeLou.xml_2,曾记得当年赴河梁，,3539455.105454936,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,3615005.829518252,0.2222222222222222
lseh-YiLunMing-WenZhaoGuan-1.xml_27,鸡鸣犬吠五更（哪）天，,3630395.381786276,0.0
lsxp-DaHeYi-SiLangTanMu.xml_31,走上前来忙松捆，,3668007.8847678727,0.1111111111111111
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,3682973.7498378316,0.1111111111111111
sdxp-WoHeNi-SiLangTanMu.xml_10,怎奈我身在番难以过关。,3685057.742324754,0.1111111111111111
lsxp-ZouYingLong-DaYanSong.xml_1,在朝房来了我这保国忠。,3694219.990158433,0.2222222222222222
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,3712816.285228689,0.1111111111111111
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,3715749.3670546054,0.1111111111111111
lsxp-LiangGuoJiao-ShiJieTing-2.xml_0,两国交锋龙虎斗，,3728007.642437691,0.0
lsxp-DaHeYi-SiLangTanMu.xml_28,原来四哥回宋营。,3728299.467657602,0.1111111111111111
lseh-YiLunMing-WenZhaoGuan-1.xml_11,我好比龙游在浅沙滩。,3742072.5345837334,0.1111111111111111
lseh-XinZhongYou-WenZhaoGuan.xml_11,鸡鸣犬吠五更（呃）天，,3760302.90057814,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_12,无奈何我只得双（呃）膝跪，,3774549.742583651,0.1111111111111111
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,3779431.1794444094,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,3781656.0033147135,0.2222222222222222
lsxp-ZuoRiLi-YuanMenZhanZi.xml_2,今日里斩宗保娘把儿怪，,3785468.036897029,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,3789082.59282953,0.2222222222222222
sdxp-WoHeNi-SiLangTanMu.xml_18,将身跪在地平川。,3805536.4625469255,0.0
sdxp-WoHeNi-SiLangTanMu.xml_7,萧天佐摆天门两国交战，,3805668.6349416384,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,3843495.349721016,0.1111111111111111
sdxp-WoHeNi-SiLangTanMu.xml_13,公主赠我的金鈚箭，,3863152.0859646546,0.2222222222222222
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,3884615.155233713,0.1111111111111111
sdxp-WoHeNi-SiLangTanMu.xml_19,我若探母不回转，,3912246.517635928,0.1111111111111111
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,3940180.624761424,0.0
lsxp-DaHeYi-SiLangTanMu.xml_27,听罢言来才知情，,3974800.3002787963,0.1111111111111111
sdxp-WoHeNi-SiLangTanMu.xml_1,我和你好夫妻恩德不浅，,3976803.440154921,0.1111111111111111
lsxp-ZhangGongDao-ZhuangYuanPu.xml_0,张公道三十五六（哇）子有靠，,3990026.5682977573,0.0
lsxp-ZheYiFeng-DingJunShan.xml_6,向前各各有赏犒，,4019649.671626396,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_11,我好比龙游在浅沙滩。,4037500.882793117,0.1111111111111111
lsxp-DaHeYi-SiLangTanMu.xml_15,六弟下位把兄认，,4076286.8018823117,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_6,贪图富贵来害我，,4079768.379142053,0.2222222222222222
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,4082496.7754251896,0.1111111111111111
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,4099121.8933796217,0.0
lsxp-DaHeYi-SiLangTanMu.xml_7,将身站在了阶前等，,4104099.4312580405,0.0
sdxp-SuLongWei-WuJiaPo.xml_21,为军起下不良的意呀，,4140028.1414517714,0.1111111111111111
lseh-ZiNaRi-HongYangDong.xml_7,去了我左右膀难以飞行。,4148209.1815733276,0.2222222222222222
lsxp-ZiGuDao-HuangHeLou.xml_5,四将军保架料也无妨。,4164750.568569816,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,4173225.1559682293,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,4175022.040834779,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,4181128.3409511736,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,4198717.999895255,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_4,此一番领（呃）兵去镇守，,4207583.302823021,0.1111111111111111
lsxp-CiShiJian-HuaiHeYing-2.xml_1,胡言乱语怎瞒（呐）咱！,4235392.737979907,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_1,拔剑斩蛇天下扬。,4263830.434121368,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,4272340.569130667,0.1111111111111111
lsxp-JianMaSu-ZhanMaSu.xml_1,不由老夫咬钢牙，,4275629.294225569,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,4276804.895574197,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,4290143.427187873,0.1111111111111111
sdxp-SuLongWei-WuJiaPo.xml_5,西凉川四十单八站，,4306668.296604734,0.0
lsxp-YiShiWu-YuCangJian.xml_0,一事无成两鬓斑，,4310361.21231895,0.0
lseh-YangYanZhao-PengBei.xml_2,迈虎步我且把宝帐来进，,4312709.603046084,0.2222222222222222
