谁知昭关有阻拦,0,谁知昭关有阻拦。
lseh-YiLunMing-WenZhaoGuan-1.xml_3,谁知昭关有阻拦。,1917735.95851795,1.0
lseh-YiLunMing-WenZhaoGuan-2.xml_3,谁知昭关有阻拦。,1992965.0143145816,1.0
lseh-YiLunMing-WenZhaoGuan-1.xml_7,夜夜何曾得安眠。,2955343.117741437,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_7,夜夜何曾得安眠。,2955343.117741437,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,3389986.8353523244,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,3883220.36223161,0.14285714285714285
lseh-TanXiongDi-SangYuanJiZi.xml_3,见坟台不见人刀割我心。,4006404.338370717,0.0
sdxp-WoHeNi-SiLangTanMu.xml_14,见母一面即刻还。,4111800.916458879,0.0
lsxp-DaHeYi-SiLangTanMu.xml_26,要见本帅为何情？,4125449.1892416114,0.0
sdxp-SuLongWei-WuJiaPo.xml_11,好一个贞节王宝钏，,4228222.839727334,0.0
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,4292233.786605202,0.0
lseh-LaoZhangBu-WuPenJi.xml_5,抓一（呀）把沙土扬灰尘。,4628574.569301576,0.0
lseh-XiRiLi-BaoLianDeng.xml_13,二娇儿也难比那两个贤人。,4659048.197208534,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,4720668.480672889,0.0
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,4800269.082197245,0.0
lsxp-DaHeYi-SiLangTanMu.xml_4,上面（哪）坐的同胞人。,5000960.047740348,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_1,愁人心（呐）中似箭穿。,5116792.204536788,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,5117216.544364155,0.0
