幸遇那东皋公行方便,0,幸遇那东皋公行方便，
lseh-YiLunMing-WenZhaoGuan-2.xml_4,幸遇那东皋公行方便，,1486273.9188978754,1.0
lseh-YiLunMing-WenZhaoGuan-1.xml_4,幸遇那东皋公行方便，,2739767.872442386,1.0
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,4291847.65948579,0.0
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,4585387.484989688,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,4812719.240055397,0.0
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,4826516.10416957,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_7,拔出剑将他的满门杀，,4837827.9640598,0.0
lsxp-DaHeYi-SiLangTanMu.xml_23,本帅开言把他问，,4951012.405568612,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,5145861.804100514,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,5181058.777476094,0.0
lsxp-ZouYingLong-DaYanSong.xml_4,我问顽童啼哭因何故，,5254672.94063817,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,5320771.320197038,0.1111111111111111
lseh-JinZhongXiang-ShangTianTai.xml_4,内侍臣忙摆驾九龙口进，,5351716.781274858,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_9,来年必定降麒麟。,5354681.8636131445,0.0
lsxp-ZouYingLong-DaYanSong.xml_12,罢、罢、罢，暂且忍却我的心头恨，,5366667.089183463,0.0
lsxp-WoBenShi-KongChengJi-1.xml_3,算就了汉家的业鼎足哇三分。,5432742.047666327,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,5456940.25895477,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_4,吕伯奢可算得义气（呀）大，,5472673.769142454,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,5494458.956315804,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,5652175.568744828,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,5666555.613637366,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,5666686.993311622,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,5670919.3377953535,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_24,哭一声爹娘不能相见，,5682262.983165361,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_20,若是真心来救我，,5687749.711752674,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_4,若是真心来救我，,5687749.711752674,0.0
lseh-ZiNaRi-HongYangDong.xml_5,又谁知焦克明他私（呀）自后跟（呐），,5791686.502007665,0.0
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,5814496.08562148,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_4,吕伯奢可算得义气大，,5831062.905582027,0.0
lsxp-JiangShenEr-SanJiaDian.xml_0,将身儿来至在大街口，,5834716.13312258,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_3,大事还要问程婴。,5851664.1660642205,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,5902485.631447523,0.0
lseh-XiRiLi-BaoLianDeng.xml_6,弟让兄来兄不能应（呐）允，,5904328.846640764,0.0
lseh-JinZhongXiang-ShangTianTai.xml_5,又听得殿角下大放悲声。,5906498.056436291,0.0
lsxp-JiangShenEr-SanJiaDian.xml_10,娘生儿连心肉，,5929208.761587105,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,5938507.250951136,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_6,一连几天我的眉不（呃）展，,5995252.680937879,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_13,越思越想把事来作差。,6007870.348994636,0.0
lsxp-WeiCengKai-QiYuanBao.xml_8,赵大夫妻图财害命害我一命亡，,6019392.058414271,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,6026729.155793841,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_6,一连几天我的眉不（哇）展，,6049956.705957913,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,6054268.317179678,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_5,其中必有这巧（哇）妙高。,6080213.847275324,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,6103804.327824816,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_5,靠山近水把营收。,6113955.052903045,0.0
sdxp-SuLongWei-WuJiaPo.xml_19,是烈女就该在家院，,6129436.523047926,0.0
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,6174690.562671621,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_4,叫焦赞将宝剑悬挂帐外，,6176217.927365453,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_1,背转身自埋怨我自（呃）已做差。,6188437.637864171,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_1,背转身只埋怨我自（呃）己作差，,6188437.637864171,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_8,你今舍了亲生子，,6205089.760341703,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,6217063.486539706,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,6231829.830841927,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_6,又谁知此贼的疑心（呐）太（呀）大，,6232985.933497091,0.0
lsxp-DaHeYi-SiLangTanMu.xml_29,众将与爷忙掩（哪）门，,6266720.641523577,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_7,拔出剑将他的满门杀，,6313660.430906773,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_8,哭一声爹娘不能相见，,6351848.423867766,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,6376131.691681404,0.0
sdxp-WoHeNi-SiLangTanMu.xml_3,杨廷辉有一日愁眉得展，,6391106.690869118,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_5,杀猪（喏）沽酒款待与他，,6447325.940341661,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_2,我先前只望他宽宏量（呃）大，,6488747.307202037,0.0
