他将我隐藏在后花园,2,他将我隐藏在后花园。
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,4584084.432370379,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_6,三人同把那鬼门关上踏，,4854796.684999193,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_5,他将我隐藏在后花园。,4882496.971220685,1.0
lseh-YiLunMing-WenZhaoGuan-2.xml_5,他将我隐藏在后花园。,4966825.60713947,1.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,5157374.105385709,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,5210100.464281892,0.0
sdxp-SuLongWei-WuJiaPo.xml_4,咬定牙关他就不认承。,5252484.946980252,0.1111111111111111
lseh-YiLunMing-WenZhaoGuan-1.xml_10,我好（哇）比哀哀长空雁，,5529029.301782266,0.1111111111111111
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,5632956.4914942365,0.0
lsxp-ZouYingLong-DaYanSong.xml_11,我本当金（哪）殿奏一本怎奈我官卑职小不能够参大臣。,5737842.561016671,0.1111111111111111
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,5741977.214395892,0.0
sdxp-SuLongWei-WuJiaPo.xml_6,为军的要人我是不要钱。,5797946.155594121,0.1111111111111111
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,5824128.353403881,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_0,屠贼做事心太狠，,5840379.797083491,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,5889451.126174927,0.0
sdxp-SuLongWei-WuJiaPo.xml_8,为军哪怕到官前。,5905729.182041081,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_2,春娥女好一此失群孤雁，,5972552.981406508,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_2,背地里只把东皋公怨，,5976403.189611101,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_18,背地里只把东皋公怨，,6036285.288104397,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,6041296.299326176,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_8,俺伍员好一似丧家犬，,6092902.302861681,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,6134813.091329947,0.0
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,6154207.013957252,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,6166597.292984109,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_10,我好（呃）比哀哀长空雁，,6210958.878418792,0.1111111111111111
daeh-ZiNaRi-ErJinGong.xml_5,竟把我孤儿寡母当做了马牛。,6229528.683407756,0.1111111111111111
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,6229907.367807389,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_3,三百余口命赴幽冥。,6246633.838870502,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_0,深宫无（哇）处不飞花，,6294728.817549582,0.1111111111111111
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,6328749.376851365,0.1111111111111111
daxp-ErDeFu-HongNiGuan.xml_5,不想到狠心郎一味猖狂。,6330687.011647246,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,6368710.025497983,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_7,老天爷不绝我的后代根。,6386027.904623189,0.2222222222222222
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,6424089.657949041,0.0
lseh-ZiNaRi-HongYangDong.xml_7,去了我左右膀难以飞行。,6469022.225627978,0.1111111111111111
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,6469642.42165877,0.0
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,6483558.381123738,0.2222222222222222
sdxp-SuLongWei-WuJiaPo.xml_12,百般调戏也枉然。,6492100.215375429,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,6506725.842139593,0.1111111111111111
daxp-MengJunZi-ChunQiuPei-1.xml_3,我的父名姜绍贸易天涯。,6518635.073587981,0.1111111111111111
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,6518666.936950735,0.1111111111111111
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,6540284.235492794,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,6545699.8023048695,0.1111111111111111
lsxp-ZheYiFeng-DingJunShan.xml_8,三军与（呀）爷归营号，,6560949.339508905,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,6563539.434088527,0.1111111111111111
sdxp-DangNianHan-SanJiZhang.xml_10,都是安邦定国臣，,6584013.484991141,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_5,老娘亲再讲情儿自刎头来。,6623926.058919866,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,6634054.1546951635,0.1111111111111111
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,6634054.1546951635,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,6637166.97741262,0.0
lsxp-QingGongYan-FaDongWu.xml_2,弟兄们创业多艰难，,6641575.181406928,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,6646710.469533187,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_3,悔不该随他人到吕家。,6679143.084362684,0.1111111111111111
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,6684985.2219067365,0.1111111111111111
lseh-YiLunMing-WenZhaoGuan-2.xml_8,俺伍员好一似丧家犬，,6695539.288050436,0.0
