一连几天我的眉不展,0,一连几天我的眉不（哇）展，
lseh-YiLunMing-WenZhaoGuan-1.xml_6,一连几天我的眉不（哇）展，,2437797.9619652485,1.0
lseh-YiLunMing-WenZhaoGuan-2.xml_6,一连几天我的眉不（呃）展，,2466617.7900086762,1.0
lsxp-WoZhuYe-ZhuiHanXin.xml_13,但愿得言听计从重整汉家邦、一同回故乡。,5227535.738902854,0.1111111111111111
lseh-YiLunMing-ZhuoFangCao-2.xml_6,又谁知此贼的疑心太大，,5621052.678428291,0.1111111111111111
lseh-ZiNaRi-HongYangDong.xml_3,那乃是萧天佐以（呀）假成真；,5696621.840070489,0.1111111111111111
lseh-YiLunMing-ZhuoFangSuDian.xml_6,又谁知此贼的疑心（呐）太（呀）大，,5870324.784348455,0.1111111111111111
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,6004937.5770266205,0.1111111111111111
lsxp-WoBenShi-KongChengJi-1.xml_3,算就了汉家的业鼎足哇三分。,6115015.944088756,0.1111111111111111
lseh-XiRiLi-BaoLianDeng.xml_6,弟让兄来兄不能应（呐）允，,6156164.015830353,0.1111111111111111
lseh-YiLunMing-ZhuoFangSuDian.xml_4,吕伯奢可算得义气（呀）大，,6183433.638444929,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_9,年迈的老丈命（呐）染黄沙。,6197168.062068552,0.1111111111111111
lseh-YiLunMing-WenZhaoGuan-1.xml_4,幸遇那东皋公行方便，,6376010.75572314,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,6445378.212914674,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,6500350.7781117745,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,6507043.621315261,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,6507043.621315261,0.0
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,6681397.5765466755,0.1111111111111111
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,6726303.372209088,0.1111111111111111
lseh-XiRiLi-BaoLianDeng.xml_12,为父的怎比得孤竹君，,6857198.872754848,0.1111111111111111
lseh-NiangZiBu-SouGuJiuGu.xml_8,你今舍了亲生子，,6913876.167168982,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_4,吕伯奢可算得义气大，,6950175.253434826,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_4,幸遇那东皋公行方便，,6967281.014599622,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,7007403.659395593,0.1111111111111111
lseh-YiLunMing-ZhuoFangCao-1.xml_9,年迈的老丈命（呐）染黄沙。,7026258.767682249,0.1111111111111111
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,7176084.853090662,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,7237724.130932856,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,7239858.9312376855,0.1111111111111111
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,7285991.4955710275,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_8,哭一声爹娘不能相见，,7347619.767965011,0.2222222222222222
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,7406294.141945687,0.1111111111111111
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,7430877.923674372,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,7528283.714181725,0.1111111111111111
