俺伍员好一似丧家犬,0,俺伍员好一似丧家犬，
lseh-YiLunMing-WenZhaoGuan-1.xml_8,俺伍员好一似丧家犬，,1641778.4092349468,1.0
lseh-YiLunMing-WenZhaoGuan-2.xml_8,俺伍员好一似丧家犬，,1686490.4161608058,1.0
lseh-YiLunMing-WenZhaoGuan-2.xml_10,我好（呃）比哀哀长空雁，,4841282.594852285,0.1111111111111111
lseh-YiLunMing-WenZhaoGuan-1.xml_10,我好（哇）比哀哀长空雁，,5038972.228301016,0.1111111111111111
lseh-YiLunMing-ZhuoFangSuDian.xml_4,吕伯奢可算得义气（呀）大，,5636999.150097453,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,5646505.58358901,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_10,屈死的怨鬼魂休要怨（呐）咱，,5701649.722381307,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,5919447.835209937,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_18,背地里只把东皋公怨，,6049086.5469142785,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,6205792.444092222,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,6318926.864630017,0.1111111111111111
daxp-ErDeFu-HongNiGuan.xml_0,儿的父为国家阵前命丧，,6368218.007064834,0.2222222222222222
lsxp-ZouYingLong-DaYanSong.xml_5,他言道严嵩老贼害他的举家一满门。,6388814.471167614,0.2222222222222222
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,6432281.077385626,0.2222222222222222
lseh-YiLunMing-WenZhaoGuan-1.xml_4,幸遇那东皋公行方便，,6432708.810667122,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_3,为什么事到如今耍奸滑？,6446307.313228217,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,6497988.459475464,0.1111111111111111
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,6525326.229089867,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,6597204.881303072,0.1111111111111111
