三更时想起了年迈爹尊,0,三更时梦（呃）见（呐）了年迈爹尊（呐）。
lseh-ZiNaRi-HongYangDong.xml_1,三更时梦（呃）见（呐）了年迈爹尊（呐）。,861807.184766676,0.8
daeh-TanHongYan-HuoXiaoYu.xml_3,啼花泣月在暗里（呀）添愁。,5456539.716207364,0.0
lseh-ZiNaRi-HongYangDong.xml_9,因此上臣的病重（呃）加十分、千岁爷呀！,5536391.447380683,0.0
lsxp-ZouYingLong-DaYanSong.xml_11,我本当金（哪）殿奏一本怎奈我官卑职小不能够参大臣。,6105765.049221312,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,6182839.813491702,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,6405594.826149661,0.0
lsxp-JiangShenEr-SanJiaDian.xml_1,尊一声过往的宾朋听从头：,6463357.908880785,0.1
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,6504988.910632198,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_19,安眠好似并底之蛙，,6629952.568531734,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,6683108.072008841,0.0
lsxp-WoBenShi-KongChengJi-2.xml_6,周文王访姜尚周室大振，,6826784.44371285,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,6918371.621159284,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,6947453.212253787,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,6947453.212253787,0.0
sdxp-SuLongWei-WuJiaPo.xml_3,他三人与我有仇恨，,6952434.567231328,0.1
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,6977951.683662747,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,6991595.4265969135,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,7160469.577345692,0.0
lsxp-WoBenShi-KongChengJi-1.xml_6,周文王访姜尚周室大振，,7185459.314354441,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_8,一路上秋毫无犯军威壮，,7415007.10992319,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,7524218.620512485,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_2,管带三（呐）军要宽厚，,7524527.134663875,0.1
lsxp-WeiCengKai-QiYuanBao.xml_6,行至在中途把雨降，,7604735.618779022,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_7,（啊）生死二字（喏）且由他。,7643072.171133253,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,7696236.313421743,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,7713363.6430882495,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_11,反将我主贬汉王。,7729805.232919117,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,7741547.948433387,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,7755439.657727031,0.1
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,7981960.701034143,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,8003137.965052598,0.1
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,8080998.131454901,0.0
sdxp-SuLongWei-WuJiaPo.xml_1,苏龙魏虎为媒证，,8082556.285945356,0.0
daxp-ErTingDe-SuoLinNang.xml_18,人情冷暖凭空造，,8105355.254613529,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,8110534.16418707,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,8110534.16418707,0.0
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,8134347.9784037685,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_3,悔不该随他人到吕家。,8134914.1929897675,0.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,8151804.269803534,0.1
daxp-QiaoLouShang-HuangShanLei.xml_13,果然是晓鸡唱天已黎明。,8152842.656992511,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,8249404.374264318,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,8333219.395365043,0.0
daxp-ChunQiuTing-SuoLinNang.xml_20,人情冷暖凭天造，,8419923.746712513,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,8446007.634618104,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_1,拔剑斩蛇天下扬。,8517533.853788638,0.0
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,8539208.552771537,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,8559178.673569314,0.0
