为此事终日里忧成疾病,0,为此事终（啊）日里忧成疾病，
lseh-ZiNaRi-HongYangDong.xml_8,为此事终（啊）日里忧成疾病，,3767604.411298551,1.0
lseh-XiRiLi-BaoLianDeng.xml_10,首阳山前冻饿死（喏）。,4625235.150767381,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_9,年迈老丈命染黄沙。,4685171.199438585,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_9,年迈的老丈命（呐）染黄沙。,5021978.36344241,0.0
lseh-XiRiLi-BaoLianDeng.xml_3,传口诏命次子即位为君，,5144447.620599836,0.1
lseh-ZiNaRi-HongYangDong.xml_6,老军报他二人在洪洋（呃）洞丧（呃）命，,5407149.844057173,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_15,到如今夜宿在荒村院，,5542845.578103781,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_31,到如今夜宿在荒村院，,5542845.578103781,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,5688595.080420464,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,5773526.167024024,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,5805359.392111366,0.1
lsxp-CiShiJian-HuaiHeYing-1.xml_4,左手拉住了李左车，,5821515.602858312,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_5,杀猪沽酒款待与他。,5840629.111257155,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_20,贼好比蛟龙未生鳞甲，,5954493.207114987,0.0
lseh-ZiNaRi-HongYangDong.xml_4,二次（喏）里命孟良番营来进，,6052425.382018315,0.1
sdxp-SuLongWei-WuJiaPo.xml_16,送与大嫂把家安。,6076041.071727245,0.0
lseh-YangYanZhao-PengBei.xml_3,又只见老爹爹瞌睡沉沉。,6105207.553540679,0.0
sdxp-WoHeNi-SiLangTanMu.xml_3,杨廷辉有一日愁眉得展，,6165697.724787614,0.1
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,6208712.371990746,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_3,为千岁懒观五凤楼。,6232834.912843962,0.1
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,6251016.603558444,0.0
lsxp-JiangShenEr-SanJiaDian.xml_12,儿想娘亲难叩首，,6270458.425942367,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,6275363.550151531,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_6,又谁知此贼的疑心太大，,6319480.9860566165,0.1
lseh-YiLunMing-ZhuoFangSuDian.xml_6,又谁知此贼的疑心（呐）太（呀）大，,6327230.355013911,0.1
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,6356426.829835371,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,6380153.574929783,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,6400357.862033835,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_2,既是为我前来到，,6464723.894263103,0.1
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,6469581.955202506,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_9,年迈的老丈命（呐）染黄沙。,6512496.129067623,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,6539126.855576564,0.0
daeh-ZiNaRi-ErJinGong.xml_8,李艳妃坐昭阳自思自想，,6563596.614432784,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,6597661.208583193,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_8,一家人倶丧在宝剑之（喏）下，,6634003.9408400515,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,6651159.646085818,0.0
daxp-DangRiLi-SuoLinNang.xml_4,那花轿必定是因陋就简，,6663400.951840069,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_25,险些儿把事（喏）又（哇）作差。,6746135.228808193,0.1
lseh-YiLunMing-ZhuoFangCao-1.xml_5,杀猪（喏）沽（哇）酒款待于他，,6762717.617002911,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_0,此时间不可闹笑话，,6805134.07113878,0.1
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,6817281.910799861,0.0
lsxp-WoBenShi-KongChengJi-1.xml_3,算就了汉家的业鼎足哇三分。,6817533.741090979,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,6865356.699078808,0.1
lseh-XuMaoGong-QinQiongFaPei.xml_4,是是是（呀）来我明白了，,6886981.017838538,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,6913431.257075331,0.0
daxp-DangRiLi-SuoLinNang.xml_12,那时节奴妆奁不下百万，,6941183.498257092,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_4,怕将（呃）来老天爷无（哇）有果报，,6952623.381281938,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,6991456.909068178,0.1
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,7002164.8612668635,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_2,赵屠二家有仇恨，,7014084.609791742,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,7023061.922615156,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,7082526.838791787,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,7104955.639879096,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,7152618.099140736,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_4,此一番领兵去镇守，,7182207.099655206,0.1
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,7184199.285906377,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_0,自那日与六郎姻缘相见，,7217831.32081587,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,7228919.489921963,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,7230140.043932631,0.1
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,7257776.314887839,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_21,为何几日他不言。,7293761.624177165,0.2
lsxp-WoZhuYe-ZhuiHanXin.xml_14,撩袍端带我把金殿上，,7303298.772778003,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,7304255.188510623,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,7331747.580333791,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_2,在长安是你夸大话，,7353433.130737673,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_8,一家人倶丧在宝剑之（喏）下，,7373760.613350874,0.0
lsxp-WeiCengKai-QiYuanBao.xml_6,行至在中途把雨降，,7395548.456643403,0.0
