因此上臣的病重加十分、千岁爷呀！,0,因此上臣的病重（呃）加十分、千岁爷呀！
lseh-ZiNaRi-HongYangDong.xml_9,因此上臣的病重（呃）加十分、千岁爷呀！,2115053.852304611,1.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,5269910.25315453,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,5631229.444672927,0.0625
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,5785814.562282244,0.0625
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,6117354.606145724,0.0
sdxp-SuLongWei-WuJiaPo.xml_3,他三人与我有仇恨，,6172313.06177296,0.0
lseh-ZiNaRi-HongYangDong.xml_0,自（喏）那日朝罢归身（呐）染重病，,6329740.900093191,0.125
daxp-FeiShiWo-TaoHuaCun.xml_0,非是我嘱咐叮咛把话讲，,6383970.467156195,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,6393612.640840703,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_2,管带三（呐）军要宽厚，,6439388.149175783,0.0
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,6532881.641266235,0.0
lsxp-ZiGuDao-HuangHeLou.xml_4,今日主公把宴上，,6566624.111495974,0.0625
lseh-YiLunMing-ZhuoFangSuDian.xml_2,悔不该心猿并意马，,6595009.350024939,0.0
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,6631433.179419782,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,6631754.844490222,0.0625
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,6659848.0134874,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,6670168.748181791,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,6701570.374654761,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,6717428.591873679,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,6781853.549026246,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,6807099.311110296,0.0
lseh-ZiNaRi-HongYangDong.xml_1,三更时梦（呃）见（呐）了年迈爹尊（呐）。,6858095.491696106,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,6864284.4629251715,0.0625
