我前番命孟良骸骨搬请,1,我前番命孟良骸骨搬（呐）请，
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,4562994.83059232,0.0
lseh-ZiNaRi-HongYangDong.xml_2,我前番命孟良骸骨搬（呐）请，,5421297.090800778,1.0
daeh-ZaoBuXing-HeHouMaDian.xml_1,贼昏王篡了位谋乱邦家。,5500569.199782434,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_15,扬尘舞蹈见大王。,5655897.990592376,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_4,山高路远少来问候，,5779025.506381123,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_8,一家人倶丧在宝剑之下，,5784376.696197005,0.0
lsxp-ZouYingLong-DaYanSong.xml_6,我劝顽童你休流泪，免悲声，邹老爷就是尔的报仇人。,6022583.047238226,0.1
daeh-CanQiQi-WuLongZuo.xml_1,叹红颜多薄命父母双亡。,6130208.77242323,0.1
lsxp-ZiGuDao-HuangHeLou.xml_3,二将军保架过长江。,6147184.5366164595,0.0
lseh-WeiKaiYan-RangXuZhou.xml_2,二犬子（呃）皆年幼（哇）难当（呃）重任，,6182082.382257617,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,6202274.003607157,0.0
daeh-LiYanFei-DaBaoGuo.xml_7,宣太师上金殿披红插花。,6243134.769356462,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_3,乱军中多亏他救我回还。,6386956.330413353,0.1
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,6536929.590122501,0.0
lsxp-YiShiWu-YuCangJian.xml_7,我与奸贼不共戴天！,6542719.10093773,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_11,但愿得杨六郎心如石坚，,6550530.042295838,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_3,耳听笙歌闹喧哗。,6568296.2609843705,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,6598554.564925497,0.1
lsxp-ZhangGongDao-ZhuangYuanPu.xml_4,怕将（呃）来老天爷无（哇）有果报，,6671454.43488642,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_3,乱军中多亏他救我回还。,6697276.333833523,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,6723440.834584783,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_5,杀猪（喏）沽（哇）酒款待于他，,6744947.915951424,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_0,老爹爹清晨起前去出首，,6750085.8245360395,0.1
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,6766427.1184912,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,6773010.384269107,0.1
sdxp-SuLongWei-WuJiaPo.xml_22,一马双跨到西凉。,6802384.525102053,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,6873039.337271427,0.0
lsxp-QingGongYan-FaDongWu.xml_0,庆功宴上把酒饮，,6891549.81560986,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,6981756.667321454,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,7004214.002044665,0.1
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,7014808.716120352,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,7019083.472954247,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,7029617.495612395,0.0
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,7073678.92662295,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,7107605.084821601,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,7111641.719666469,0.1
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,7163445.180589323,0.0
lseh-ZiNaRi-HongYangDong.xml_3,那乃是萧天佐以（呀）假成真；,7167491.379612604,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_5,望千岁恕学生礼貌不周。,7227181.729085666,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,7253304.360710849,0.1
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,7262469.766670027,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,7323750.932146521,0.0
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,7333248.92520051,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_1,各为其主统貔貅，,7339472.237008058,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_3,为千岁懒观五凤楼。,7355908.97699685,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,7378308.368294384,0.0
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,7378595.493292196,0.0
lseh-ZiNaRi-HongYangDong.xml_0,自（喏）那日朝罢归身（呐）染重病，,7398475.325717965,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,7411830.305983294,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,7414632.90555509,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,7425534.822582047,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,7426126.719960013,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,7498762.178945714,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_10,我好（哇）比哀哀长空雁，,7515574.249881023,0.1
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,7517895.504305594,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_2,管待三（哪）军要宽厚，,7522104.2487548655,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,7526976.091297585,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_0,老爹爹请息怒容儿细讲，,7550538.973330164,0.1
lseh-LaoZhangBu-WuPenJi.xml_5,抓一（呀）把沙土扬灰尘。,7555100.766132902,0.0
lsxp-ZouYingLong-DaYanSong.xml_11,我本当金（哪）殿奏一本怎奈我官卑职小不能够参大臣。,7577683.3235417,0.1
lsxp-ZiGuDao-HuangHeLou.xml_5,四将军保架料也无妨。,7606827.798953946,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,7607237.441916351,0.0
sdxp-WoHeNi-SiLangTanMu.xml_20,黄沙盖脸尸骨不全。,7638980.314667903,0.1
lsxp-ZiGuDao-HuangHeLou.xml_0,自古道吉人有天相，,7647773.11151938,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_5,靠山近水把管收。,7712115.326581646,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,7713607.962562266,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,7765732.9441442825,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,7795933.777666592,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_9,宋天子主婚姻此事成全。,7805941.635820588,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,7820741.474842573,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,7835947.073270367,0.1
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,7861091.328036916,0.1
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,7861302.154861678,0.1
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,7865749.4763202835,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_10,我好（呃）比哀哀长空雁，,7870926.797260647,0.1
lseh-ZiNaRi-HongYangDong.xml_7,去了我左右膀难以飞行。,7890374.87443703,0.1
lseh-NiangZiBu-SouGuJiuGu.xml_13,哀求娘子（喏）舍亲（呐）生。,7895527.907554771,0.0
lseh-JinZhongXiang-ShangTianTai.xml_2,文凭着邓先生策划有准，,7899233.835802952,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_0,自从千岁离朝后，,7906100.614059936,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_0,徐茂公阴阳多奥妙，,7923921.043698641,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_9,宋天子主婚姻此事成全。,7935072.398382011,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,7956232.251794826,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,7972400.971406533,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,7983574.371596671,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,8018966.398655657,0.1
lsxp-ZhangGongDao-ZhuangYuanPu.xml_1,陈伯愚年半百无有后苗。,8024022.440109788,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,8026322.587776889,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,8037773.232667765,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_4,左手拉住了李左车，,8067431.976828898,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,8086254.9018494645,0.0
lsxp-ZiGuDao-HuangHeLou.xml_1,主公不必加愁肠。,8093808.898427013,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,8102277.782182167,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_5,杀猪（喏）沽酒款待与他，,8123021.1050698375,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,8125589.018246391,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_1,请先生到江边即刻登舟。,8149214.0755842645,0.1
sdxp-SuLongWei-WuJiaPo.xml_20,为何来在大道边。,8152908.323256629,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,8160365.466691519,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,8167316.1512652105,0.0
lsxp-WeiCengKai-QiYuanBao.xml_6,行至在中途把雨降，,8177353.9319045115,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,8192314.172009538,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,8203003.886286883,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,8207318.284662214,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,8209489.899599276,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,8211511.29704435,0.1
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,8215054.393687005,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,8233560.2456619,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,8247603.66358335,0.1
lseh-XuMaoGong-QinQiongFaPei.xml_2,既是为我前来到，,8249884.928356109,0.2
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,8255908.023342227,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,8259992.142893058,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_12,听谯楼打罢了二（喏）更鼓下，,8268075.02446919,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_11,但愿得杨六郎心如石坚。,8270889.461695747,0.0
