二次里命孟良番营来进,1,二次（喏）里命孟良番营来进，
lseh-YiLunMing-ZhuoFangCao-2.xml_9,年迈老丈命染黄沙。,3941644.2638544342,0.1
lseh-ZiNaRi-HongYangDong.xml_4,二次（喏）里命孟良番营来进，,4119268.4015642237,1.0
lseh-ZiNaRi-HongYangDong.xml_8,为此事终（啊）日里忧成疾病，,4913717.792184351,0.1
lseh-YiLunMing-ZhuoFangCao-2.xml_5,杀猪沽酒款待与他。,4970920.584050119,0.0
lseh-XiRiLi-BaoLianDeng.xml_10,首阳山前冻饿死（喏）。,5244748.4844401125,0.0
lseh-YangYanZhao-PengBei.xml_5,又恐怕惊动了年迈之人。,5248966.758300558,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_9,年迈的老丈命（呐）染黄沙。,5302628.304269701,0.1
lsxp-WoZhuYe-ZhuiHanXin.xml_14,撩袍端带我把金殿上，,5351674.451227678,0.0
daxp-DangRiLi-SuoLinNang.xml_2,在轿中只觉得天昏地暗。,5485164.041196813,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,5571516.616708248,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_6,又谁知此贼的疑心（呐）太（呀）大，,5717568.149501175,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,5719963.86453935,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,5903440.572389952,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_3,为千岁懒观五凤楼。,6052489.814044149,0.0
lseh-JinZhongXiang-ShangTianTai.xml_5,又听得殿角下大放悲声。,6117898.913751743,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_5,杀猪（喏）沽（哇）酒款待于他，,6165326.402746935,0.0
daxp-DangRiLi-SuoLinNang.xml_12,那时节奴妆奁不下百万，,6200332.610529116,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,6215508.693092583,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,6256780.092270119,0.1
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,6289977.731462995,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,6313965.547248399,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_23,我岂肯放虎归山又（哇）把人抓。,6327792.487624871,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_6,又谁知此贼的疑心太大，,6359265.45018341,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_9,年迈的老丈命（呐）染黄沙。,6374505.177434747,0.1
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,6421731.128872677,0.0
daxp-DangRiLi-SuoLinNang.xml_4,那花轿必定是因陋就简，,6507874.207965164,0.0
lseh-YangYanZhao-PengBei.xml_3,又只见老爹爹瞌睡沉沉。,6519024.800279627,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,6540864.988212214,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,6614248.318535792,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,6673747.067252551,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,6700628.631859416,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,6703835.6079735,0.0
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,6730709.317686342,0.1
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,6733840.874379772,0.1
lsxp-TingTaYan-ZhuoFangCao-1.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,6739844.256487477,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,6739844.256487477,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,6778469.022105925,0.1
lseh-ZiNaRi-HongYangDong.xml_6,老军报他二人在洪洋（呃）洞丧（呃）命，,6792640.5232016565,0.2
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,6875891.082483014,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_20,贼好比蛟龙未生鳞甲，,6912604.757783952,0.0
