又谁知焦克明他私自后跟,11,又谁知焦克明他私（呀）自后跟（呐），
lseh-YiLunMing-WenZhaoGuan-1.xml_10,我好（哇）比哀哀长空雁，,4775878.426401045,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_10,我好（呃）比哀哀长空雁，,4817627.185474352,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_1,行不安坐不宁情态缠绵。,5965640.046415143,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_13,想当初在朝为官宦，,6592303.184624104,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_29,想当初在朝为官宦，,6592303.184624104,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_8,俺伍员好一似丧家犬，,6838732.686163847,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_4,吕伯奢可算得义气大，,6850166.741163103,0.0
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,6871086.297726712,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,6883647.544213372,0.0
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,7024482.306328161,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_4,幸遇那东皋公行方便，,7062369.296262651,0.0
lseh-ZiNaRi-HongYangDong.xml_5,又谁知焦克明他私（呀）自后跟（呐），,7067087.975642741,1.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,7098693.1148503,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_8,你今舍了亲生子，,7107024.220592742,0.0
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,7122211.709865858,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_0,听他言听得我心（呐）惊胆怕，,7252727.2503354335,0.09090909090909091
lsxp-TingTaYan-ZhuoFangCao-2.xml_0,听他言吓得我心（呐）惊胆怕，,7252727.2503354335,0.09090909090909091
lseh-YiLunMing-WenZhaoGuan-2.xml_8,俺伍员好一似丧家犬，,7357482.319444016,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_10,屈死的怨鬼魂休要怨（呐）咱，,7386459.81971934,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_2,实指望到吴国借兵回转，,7500473.252740655,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,7509480.563136638,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_4,幸遇那东皋公行方便，,7572487.399659674,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,7577106.062597416,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_7,贼好比那司马师搅乱中华。,7615450.17090094,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_4,吕伯奢可算得义气（呀）大，,7763188.864811282,0.0
daxp-ChunQiuTing-SuoLinNang.xml_20,人情冷暖凭天造，,7797259.879628658,0.0
lsxp-DaHeYi-SiLangTanMu.xml_23,本帅开言把他问，,7859889.354541459,0.09090909090909091
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,7899372.108525295,0.0
lsxp-WoBenShi-KongChengJi-2.xml_8,闲无（呃）事在敌楼（呃）我亮一亮琴（呢）音，,7915075.206267737,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_2,实指（惹）望到吴国借兵回转，,7919102.036902113,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,7982118.457522872,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,7987963.230448131,0.0
lseh-XiRiLi-BaoLianDeng.xml_14,打死了别家子父能作主，,7999637.329811737,0.0
lseh-XiRiLi-BaoLianDeng.xml_1,伯夷叔齐二大贤人，,8013364.183573247,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,8058875.522871738,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_8,一路上秋毫无犯军威壮，,8087000.997765564,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,8164671.2042858945,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,8174104.047045451,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,8217439.89433392,0.0
lsxp-WoBenShi-KongChengJi-1.xml_8,闲无哇事在敌楼哇我亮（呃）一亮琴哪音，,8324506.090989259,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_12,我好（哇）比鱼儿吞了钩线，,8351048.998434207,0.0
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,8362639.151530722,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_7,老天爷不绝我的后代根。,8370931.428176181,0.09090909090909091
lsxp-WoZhuYe-ZhuiHanXin.xml_11,反将我主贬汉王。,8419537.699706957,0.0
lsxp-ZouYingLong-DaYanSong.xml_4,我问顽童啼哭因何故，,8451440.968274262,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_12,我好（呃）比鱼儿吞了钩线，,8466025.80780352,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_1,拔剑斩蛇天下扬。,8467735.48650169,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_2,在长安是你夸大话，,8479710.037521536,0.0
