老军报他二人在洪羊洞丧命,0,老军报他二人在洪洋（呃）洞丧（呃）命，
lseh-ZiNaRi-HongYangDong.xml_6,老军报他二人在洪洋（呃）洞丧（呃）命，,3541820.0270807818,0.9166666666666666
lseh-XiRiLi-BaoLianDeng.xml_4,那叔齐分长幼不能担任，,5069335.54722357,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_8,一家人倶丧在宝剑之下，,5461068.9925260125,0.25
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,5603621.253363092,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_6,又谁知此贼的疑心（呐）太（呀）大，,5757808.189260676,0.0
lsxp-ZouYingLong-DaYanSong.xml_4,我问顽童啼哭因何故，,5768377.53084179,0.0
lseh-XiRiLi-BaoLianDeng.xml_1,伯夷叔齐二大贤人，,5887105.348331843,0.16666666666666666
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,5902071.038636358,0.0
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,5915657.04116585,0.0
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,5932779.6001288,0.08333333333333333
lseh-XiRiLi-BaoLianDeng.xml_8,那伯夷出午门无（哇）有踪（呃）影，,6022911.322295039,0.0
lsxp-JiangShenEr-SanJiaDian.xml_3,二不是歹人（呐）把城偷。,6023094.152297689,0.16666666666666666
lseh-XuMaoGong-QinQiongFaPei.xml_4,是是是（呀）来我明白了，,6029327.065273917,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_12,听谯楼打罢了二（喏）更鼓下，,6052811.4882322755,0.08333333333333333
lseh-NiangZiBu-SouGuJiuGu.xml_2,赵屠二家有仇恨，,6089446.810090908,0.08333333333333333
lseh-YiLunMing-ZhuoFangCao-1.xml_8,一家人倶丧在宝剑之（喏）下，,6101637.084659175,0.25
lseh-YiLunMing-ZhuoFangCao-1.xml_13,越思越想把事来作差。,6109879.151168811,0.0
daeh-SunShangXiang-BieHuangGong.xml_4,与周郎定巧计把皇叔来骗，,6121666.103072568,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,6147319.762082664,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,6172359.706416809,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,6280718.923546153,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_0,听他言听得我心（呐）惊胆怕，,6357779.104484034,0.08333333333333333
lsxp-TingTaYan-ZhuoFangCao-2.xml_0,听他言吓得我心（呐）惊胆怕，,6357779.104484034,0.08333333333333333
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,6385127.074233246,0.08333333333333333
lsxp-ZheYiFeng-DingJunShan.xml_1,天助黄忠成功劳。,6527607.0174447885,0.0
lsxp-JiangShenEr-SanJiaDian.xml_14,眼见得红日坠落在西山后，,6564245.44658321,0.08333333333333333
lseh-YiLunMing-ZhuoFangCao-2.xml_6,又谁知此贼的疑心太大，,6577317.654705499,0.0
lseh-YangYanZhao-PengBei.xml_1,在中途得一信甚是不明。,6628995.230549868,0.08333333333333333
daxp-WoZhuYe-SiLangTanMu.xml_1,众文武扶哀家执掌军房。,6652740.604719708,0.08333333333333333
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,6776163.013856456,0.0
