三人同把那鬼门关上爬,855,三人同把那鬼门关上爬，
lsxp-CiShiJian-HuaiHeYing-2.xml_3,为什么事到如今耍奸滑？,3472643.8879551296,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_10,屈死的冤鬼魂休要怨咱，,3719827.964000572,0.1
lsxp-CiShiJian-HuaiHeYing-1.xml_3,为什么事到如今耍奸滑。,3799365.0765450783,0.0
lsxp-WeiCengKai-QiYuanBao.xml_1,尊一声太爷听端详。,3930758.745825536,0.0
lsxp-ZouYingLong-DaYanSong.xml_0,忽听得万岁宣应龙，,4137544.150622766,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_13,想当初在朝为官宦，,4349587.420113144,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_29,想当初在朝为官宦，,4349587.420113144,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_10,屈死的怨鬼魂休要怨（呐）咱，,4455901.549016744,0.1
lsxp-ZouYingLong-DaYanSong.xml_5,他言道严嵩老贼害他的举家一满门。,4474358.696554924,0.1
lseh-YiLunMing-ZhuoFangSuDian.xml_2,悔不该心猿并意马，,4524403.400342978,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_6,三人同把那鬼门关上踏，,4646596.343680114,0.9
lsxp-WoZhuYe-ZhuiHanXin.xml_7,一路上得遇陆贾、郦生与张良。,5019890.676119888,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_14,思来想去我的肝肠断，,5027293.840053936,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,5100709.48941054,0.0
lseh-XiRiLi-BaoLianDeng.xml_7,兄（呃）推弟来两不能够担承。,5159291.6385449525,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,5198617.2396795135,0.0
lsxp-ZouYingLong-DaYanSong.xml_7,站立在殿角用目来观定，,5303507.183201355,0.0
lseh-XiRiLi-BaoLianDeng.xml_14,打死了别家子父能作主，,5359703.680662899,0.0
lseh-WeiKaiYan-RangXuZhou.xml_1,天卸重任我就要（哇）你担承。,5504530.2313693985,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_2,今日里斩宗保娘把儿怪，,5562745.666296959,0.1
daxp-ChunQiuTing-SuoLinNang.xml_21,谁能移动他半分毫。,5685896.25960777,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_2,悔不该心猿并意马，,5721593.328086159,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_4,吕伯奢可算得义气（呀）大，,5765939.833187882,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_20,若是真心来救我，,5780830.109534554,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_4,若是真心来救我，,5780830.109534554,0.0
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,5842195.913174551,0.1
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,5875115.827198279,0.0
lsxp-ZheYiFeng-DingJunShan.xml_2,站立在营门三军叫，,5937258.943313736,0.2
sdxp-WoHeNi-SiLangTanMu.xml_25,有什么心腹事你只管明言。,5983661.115070809,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_3,哭啼啼坐宝帐所为何来。,6014117.374073425,0.0
lsxp-DaHeYi-SiLangTanMu.xml_10,火堪寨上有家门。,6279379.042586596,0.2
lseh-YiLunMing-WenZhaoGuan-1.xml_28,越思越想好伤惨，,6326026.103575017,0.0
daxp-ErTingDe-SuoLinNang.xml_18,人情冷暖凭空造，,6399427.9432348255,0.1
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,6537062.91220122,0.0
lsxp-WeiCengKai-QiYuanBao.xml_2,家住在南阳太平庄，,6547867.900008062,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_2,既是为我前来到，,6578522.384175145,0.0
lseh-LaoZhangBu-WuPenJi.xml_1,我有言来你是（喏）听。,6631398.430745444,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_19,安眠好似并底之蛙，,6644390.354610385,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_1,卑（呀）人言来你是（喏）听。,6666852.339746095,0.1
lseh-NiangZiBu-SouGuJiuGu.xml_5,他舍命来你我舍亲生。,6739994.209259736,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_1,拔剑斩蛇天下扬。,6813003.942257404,0.0
lseh-YangYanZhao-PengBei.xml_4,我本当将此事对他来论，,6845031.966371977,0.0
lsxp-JiangShenEr-SanJiaDian.xml_2,一不是响马与贼寇，,6851255.704756506,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_7,（啊）生死二字（喏）且由他。,6900651.260706125,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_1,行不安坐不宁情态缠绵。,6905982.012755093,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_1,我也曾平服了塞北西东。,6929226.403216266,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_8,俺伍员好一似丧家犬，,6953123.184348218,0.0
sdxp-SuLongWei-WuJiaPo.xml_18,我与你露水的夫妻就过几年（呐）。,6953455.296782878,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_5,眼睁（呐）睁有何人去（呀）把纸烧。,7010791.1496760575,0.2
lseh-XiRiLi-BaoLianDeng.xml_1,伯夷叔齐二大贤人，,7039700.4132874645,0.1
lseh-YiLunMing-ZhuoFangCao-1.xml_18,观此贼睡卧真（呐）潇洒，,7041362.965008467,0.0
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,7064534.824477882,0.0
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,7064534.824477882,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,7089766.853760701,0.0
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,7095143.7157778125,0.1
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,7110916.787452976,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_8,俺伍员好一似丧家犬，,7137458.620774176,0.0
lseh-WeiKaiYan-RangXuZhou.xml_3,老朽年迈我也不能够担承。,7166980.182075064,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_15,到如今夜宿在荒村院，,7195532.279315945,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_31,到如今夜宿在荒村院，,7195532.279315945,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,7209069.868838714,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_22,贪图富贵来害我，,7216583.802480276,0.0
sdxp-SuLongWei-WuJiaPo.xml_25,苏龙魏虎是内亲。,7218171.949623337,0.0
daeh-WuDuanQiao-BiYuZan.xml_4,今生若被郎轻贱，,7246008.491082423,0.0
lsxp-JiangShenEr-SanJiaDian.xml_13,娘想儿来泪双流。,7249812.86984417,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_2,实指（惹）望到吴国借兵回转，,7279065.332318417,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_14,思来想去我的肝肠断，,7279154.588054066,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,7289535.538398919,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_24,执宝剑将贼的（呀）头割下，,7292026.26280564,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,7359763.9049288025,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,7364862.177119906,0.3
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,7392162.557015771,0.1
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,7394664.464789545,0.3
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,7400565.102272678,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_6,贪图富贵来害我，,7409536.484257755,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,7415880.335642295,0.1
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,7429265.67888345,0.1
