啊、生死二字且由他,0,（啊）生死二字（喏）且由他。
lsxp-CiShiJian-HuaiHeYing-1.xml_7,（啊）生死二字（喏）且由他。,1337673.357237417,0.8888888888888888
lsxp-CiShiJian-HuaiHeYing-2.xml_5,右手再把栾布拉，,3043939.187553905,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,3572406.2448729575,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,3762005.539597247,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,3860871.2356102215,0.1111111111111111
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,3900019.819180943,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,3900019.819180943,0.1111111111111111
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,4002102.5427961336,0.1111111111111111
lsxp-WeiCengKai-QiYuanBao.xml_4,奉母命京城往，,4097671.6976716407,0.0
sdxp-SuLongWei-WuJiaPo.xml_1,苏龙魏虎为媒证，,4166131.89462473,0.0
lsxp-DaHeYi-SiLangTanMu.xml_11,我父令公官极品，,4218295.880601404,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_0,深宫无（哇）处不飞花，,4297697.112624324,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_6,百姓们闺房乐如花美眷，,4569256.75612357,0.0
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,4574579.884740105,0.1111111111111111
daeh-LiYanFei-ErJinGong.xml_5,我只得怀抱太子两泪汪汪口口声声哭的是先王。,4586189.9447949985,0.0
lsxp-ZheYiFeng-DingJunShan.xml_2,站立在营门三军叫，,4638790.7759753745,0.0
lsxp-ZiGuDao-HuangHeLou.xml_4,今日主公把宴上，,4656168.612346357,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_3,悔不该随他人到吕家，,4666398.976848323,0.1111111111111111
lseh-XinZhongYou-WenZhaoGuan.xml_11,鸡鸣犬吠五更（呃）天，,4672072.046218666,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,4716308.324564158,0.1111111111111111
lseh-NiangZiBu-SouGuJiuGu.xml_6,舍子搭救忠（呃）良的后，,4755125.931182847,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_27,鸡鸣犬吠五更（哪）天，,4852425.681150565,0.0
lsxp-ZouYingLong-DaYanSong.xml_1,在朝房来了我这保国忠。,4906356.876954726,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_11,反将我主贬汉王。,4932592.147742014,0.0
lsxp-WeiCengKai-QiYuanBao.xml_1,尊一声太爷听端详。,5006776.583540087,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_2,今日里斩宗保娘把儿怪，,5007800.476623235,0.0
lsxp-DaHeYi-SiLangTanMu.xml_21,龙行虎步非凡等，,5069654.853850382,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_3,悔不该随他人到吕家。,5089012.695006952,0.1111111111111111
lseh-YiLunMing-ZhuoFangCao-1.xml_19,安眠好似并底之蛙，,5185446.877182734,0.0
lsxp-JiangShenEr-SanJiaDian.xml_1,尊一声过往的宾朋听从头：,5277925.847619836,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,5301100.176832671,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,5311268.346929125,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,5320521.757327607,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,5335343.729914686,0.0
lsxp-DaHeYi-SiLangTanMu.xml_12,我母佘氏老太君。,5358179.685496461,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_3,满门的家着血染红。,5363583.744218804,0.0
sdxp-SuLongWei-WuJiaPo.xml_13,腰中取出银一锭，,5373071.011980502,0.0
sdxp-SuLongWei-WuJiaPo.xml_15,这锭银、三两三，,5379240.960498591,0.1111111111111111
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,5420262.003054029,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,5436833.761335987,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,5437637.610476412,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,5448359.835596943,0.1111111111111111
lsxp-WoZhuYe-ZhuiHanXin.xml_1,拔剑斩蛇天下扬。,5482120.087550145,0.0
