为什么事到如今耍奸滑,0,为什么事到如今耍奸滑？
lsxp-CiShiJian-HuaiHeYing-2.xml_3,为什么事到如今耍奸滑？,2226821.9220679495,1.0
lsxp-CiShiJian-HuaiHeYing-1.xml_3,为什么事到如今耍奸滑。,2669157.8516576807,1.0
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,3557621.456422535,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_7,一路上得遇陆贾、郦生与张良。,3845701.567879843,0.0
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,3851001.292105874,0.0
lsxp-DaHeYi-SiLangTanMu.xml_13,十五年前沙滩会，,3865782.0930389115,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_22,贪图富贵来害我，,3996229.082338691,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_6,贪图富贵来害我，,4009246.1622018674,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_6,三人同把那鬼门关上踏，,4053335.804722131,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_2,在长安是你夸大话，,4162962.031703118,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_0,昨日里斩八将头挂营外，,4296062.358556584,0.0
lsxp-JianMaSu-ZhanMaSu.xml_1,不由老夫咬钢牙，,4633700.873101512,0.0
lsxp-ZiGuDao-HuangHeLou.xml_5,四将军保架料也无妨。,4754364.68284473,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_2,在长安是你夸大话，,4834428.381040739,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_12,我好（呃）比鱼儿吞了钩线，,4856690.874477038,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_2,既是为我前来到，,4861112.986143659,0.2
lsxp-ZouYingLong-DaYanSong.xml_7,站立在殿角用目来观定，,4925257.664576856,0.0
lsxp-ZouYingLong-DaYanSong.xml_10,他本是我朝中上欺天子下压臣谋朝篡位卖国的奸贼他名叫严嵩，,4934962.292799786,0.1
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,5006360.602989599,0.0
lsxp-ZheYiFeng-DingJunShan.xml_2,站立在营门三军叫，,5042288.2839503065,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,5094438.806020913,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_13,想当初在朝为官宦，,5098405.676433154,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_29,想当初在朝为官宦，,5098405.676433154,0.1
lseh-YiLunMing-WenZhaoGuan-1.xml_12,我好（哇）比鱼儿吞了钩线，,5098583.62604813,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_24,哭一声爹娘不能相见，,5126603.786992225,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,5228394.866222411,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_30,朝臣待漏（哇）五更寒，,5267359.194187867,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,5294308.885547648,0.0
lsxp-ZouYingLong-DaYanSong.xml_5,他言道严嵩老贼害他的举家一满门。,5322835.046737924,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,5329477.974121873,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,5402870.84228117,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_3,哭啼啼坐宝帐所为何来。,5418136.31694998,0.1
lsxp-ZhangGongDao-ZhuangYuanPu.xml_5,眼睁（呐）睁有何人去（呀）把纸烧。,5422416.851839857,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,5430192.410101185,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,5440173.740173593,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_8,哭一声爹娘不能相见，,5444236.447504408,0.0
lseh-XiRiLi-BaoLianDeng.xml_14,打死了别家子父能作主，,5458605.908471028,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,5478378.838531781,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,5519118.2873548195,0.1
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,5547320.45467568,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_2,今日里斩宗保娘把儿怪，,5565282.9032568075,0.1
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,5576564.758368381,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,5578162.705615812,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_1,诬杀赵家一满门。,5594029.322891049,0.0
lsxp-ZouYingLong-DaYanSong.xml_4,我问顽童啼哭因何故，,5608809.730439719,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_0,张公道三十五六（哇）子有靠，,5631550.88382125,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_18,观此贼睡卧真（呐）潇洒，,5632838.306949829,0.0
lsxp-JiangShenEr-SanJiaDian.xml_3,二不是歹人（呐）把城偷。,5710445.663532835,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,5725156.17880359,0.0
sdxp-SuLongWei-WuJiaPo.xml_18,我与你露水的夫妻就过几年（呐）。,5739237.878492563,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,5755222.979879706,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,5790360.011119002,0.1
lsxp-YiShiWu-YuCangJian.xml_0,一事无成两鬓斑，,5795093.345385433,0.1
sdxp-SuLongWei-WuJiaPo.xml_15,这锭银、三两三，,5810588.530271944,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,5811687.353808464,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,5826443.168765309,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_7,（啊）生死二字（喏）且由他。,5830919.067556612,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_11,我好比龙游在浅沙滩。,5870447.672515603,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,5876501.053932719,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_11,我好比龙游在浅沙滩。,6002800.246058839,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,6013547.606446484,0.3
lsxp-WeiCengKai-QiYuanBao.xml_1,尊一声太爷听端详。,6040557.775812,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_28,越思越想好伤惨，,6050698.120531262,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,6082310.038132205,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_14,思来想去我的肝肠断，,6083876.04586701,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_10,屈死的冤鬼魂休要怨咱，,6090021.507312111,0.0
lsxp-DaHeYi-SiLangTanMu.xml_20,见一番汉帐中行。,6094510.416449673,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,6107144.779854399,0.1
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,6118288.7994376235,0.0
lsxp-JiangShenEr-SanJiaDian.xml_2,一不是响马与贼寇，,6119027.513721217,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,6131127.132375836,0.0
lsxp-DaHeYi-SiLangTanMu.xml_15,六弟下位把兄认，,6134659.52044706,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_4,吕伯奢可算得义气（呀）大，,6139472.074372103,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,6156725.305372234,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,6228864.899628593,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,6270771.076389525,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,6292951.1220871145,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_1,受逼迫去捡柴泪如雨下，,6301183.518556073,0.1
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,6317566.786270195,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_6,又谁知此贼的疑心太大，,6328228.253880402,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,6333265.799496634,0.0
lsxp-DaHeYi-SiLangTanMu.xml_3,迈步且把宝帐（呀）进，,6354079.894522776,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_12,听谯楼打罢了二（喏）更鼓下，,6385817.7142832605,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_0,王春娥坐草堂自思自叹，,6438485.815054669,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,6443758.102271401,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,6466387.901277223,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,6470000.138193792,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_11,鸡鸣犬吠五更（呃）天，,6485791.858260543,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_8,一路上秋毫无犯军威壮，,6495654.004921118,0.0
lsxp-ZouYingLong-DaYanSong.xml_11,我本当金（哪）殿奏一本怎奈我官卑职小不能够参大臣。,6509320.506126679,0.0
daeh-NuZiYou-TouJunBieYao.xml_0,奴自幼在闺阁娇生惯养，,6511205.799718396,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,6516917.2160347095,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_4,是是是（呀）来我明白了，,6527514.339393506,0.0
daeh-SunShangXiang-BieHuangGong.xml_8,恨只恨我兄长把事错办，,6530636.075493424,0.1
sdxp-SuLongWei-WuJiaPo.xml_14,将银放在地平川。,6536166.7141462695,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,6541746.899125269,0.1
lseh-XiRiLi-BaoLianDeng.xml_1,伯夷叔齐二大贤人，,6544264.744382909,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_19,叫人难解巧机关，,6547129.463560927,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_15,悔不该弃县今抛却了乌（哇）纱，,6562088.767371891,0.1
lsxp-ZuoRiLi-YuanMenZhanZi.xml_1,老娘亲为什么不讲情来？,6593073.041198224,0.3
lsxp-JiangShenEr-SanJiaDian.xml_14,眼见得红日坠落在西山后，,6595632.467878405,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_20,若是真心来救我，,6609752.068756748,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_4,若是真心来救我，,6609752.068756748,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,6614709.132830613,0.0
lsxp-ZouYingLong-DaYanSong.xml_0,忽听得万岁宣应龙，,6641333.799092965,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,6642442.304161733,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_3,叫人难解巧机关。,6687169.950517667,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_14,思来想去我的肝肠断，,6691968.192334812,0.0
lsxp-DaHeYi-SiLangTanMu.xml_31,走上前来忙松捆，,6697569.411443983,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,6719668.984435354,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,6730935.70117005,0.1
sdxp-WoHeNi-SiLangTanMu.xml_11,公主虽然不阻拦，,6747750.012667869,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,6760831.509143724,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,6775351.861978564,0.0
lsxp-WeiCengKai-QiYuanBao.xml_4,奉母命京城往，,6808047.674693684,0.0
