左手拉住了李左车,0,左手拉住了李左车，
lsxp-CiShiJian-HuaiHeYing-1.xml_4,左手拉住了李左车，,2531648.8876150344,1.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,2977795.9893715894,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,3003195.9159778776,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_8,哭一声爹娘不能相见，,3047071.794405222,0.0
sdxp-DangNianHan-SanJiZhang.xml_3,小奴才真个不孝顺，,3104361.018872889,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_24,哭一声爹娘不能相见，,3379719.2305620853,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,3410301.4646636103,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,3454338.476278726,0.125
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,3456756.561268225,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_13,想当初在朝为官宦，,3474181.2887518513,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_29,想当初在朝为官宦，,3474181.2887518513,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_15,到如今夜宿在荒村院，,3515900.3291770443,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_31,到如今夜宿在荒村院，,3515900.3291770443,0.0
lsxp-ZouYingLong-DaYanSong.xml_13,在品级台（呀）前臣见君。,3640158.9985594098,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,3697511.697513809,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_9,我也曾约法定过三章。,3711222.4966795677,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,3801870.8918063487,0.125
lseh-XuMaoGong-QinQiongFaPei.xml_4,是是是（呀）来我明白了，,3818471.2197096637,0.125
lseh-YangYanZhao-PengBei.xml_1,在中途得一信甚是不明。,3827802.8604286527,0.0
lsxp-DaHeYi-SiLangTanMu.xml_23,本帅开言把他问，,3863203.122555741,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_25,险些儿把事（喏）又（哇）作差。,3874534.557110954,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,3902405.3553231577,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,3946111.344215819,0.0
lseh-ZiNaRi-HongYangDong.xml_8,为此事终（啊）日里忧成疾病，,3947483.492526986,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,3999278.0750483023,0.0
lsxp-DaHeYi-SiLangTanMu.xml_12,我母佘氏老太君。,4001849.8356691822,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,4011107.6771553773,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,4028583.7985037058,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_2,既是为我前来到，,4030936.158747481,0.0
sdxp-WoHeNi-SiLangTanMu.xml_17,公主叫我盟誓愿，,4092520.6413860363,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_13,哀求娘子（喏）舍亲（呐）生。,4113166.7813795083,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_12,听谯楼打罢了二（喏）更鼓下，,4125081.497833646,0.125
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,4147076.647318229,0.0
lseh-ZiNaRi-HongYangDong.xml_3,那乃是萧天佐以（呀）假成真；,4171942.0513161914,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_22,虎在笼中我不打，,4248057.580142028,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,4336011.8736961335,0.0
lseh-XiRiLi-BaoLianDeng.xml_3,传口诏命次子即位为君，,4344132.572934878,0.0
lseh-XiRiLi-BaoLianDeng.xml_14,打死了别家子父能作主，,4371326.038232007,0.125
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,4374521.9076108895,0.0
lsxp-DaHeYi-SiLangTanMu.xml_29,众将与爷忙掩（哪）门，,4409381.469655738,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,4443096.2899060985,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_4,此一番领兵去镇守，,4463975.900090728,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_0,自从千岁离朝后，,4481655.870030591,0.0
sdxp-SuLongWei-WuJiaPo.xml_14,将银放在地平川。,4535938.530058948,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_5,杀猪（喏）沽（哇）酒款待于他，,4542256.763283221,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_22,贪图富贵来害我，,4558000.516168897,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,4587666.389751681,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_0,徐茂公阴阳多奥妙，,4591197.330267878,0.0
lseh-JinZhongXiang-ShangTianTai.xml_3,武仗着姚皇兄保定乾坤。,4598504.971433505,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_0,此时间不可闹笑话，,4613081.248586022,0.0
lsxp-ZheYiFeng-DingJunShan.xml_9,到明天午时三刻要成功劳。,4644741.420016725,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_10,但愿得令公令婆别无异见，,4679504.1140339095,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,4706809.682182242,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,4716886.600232171,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,4718455.0795931835,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,4721341.197434201,0.0
sdxp-WoHeNi-SiLangTanMu.xml_7,萧天佐摆天门两国交战，,4725848.787057015,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_8,一路上秋毫无犯军威壮，,4731490.998094077,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_6,贪图富贵来害我，,4777780.943887083,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_2,眼见得忠良无救应，,4804121.682080746,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_4,左手拉住了李左车，,4812028.853524085,1.0
lsxp-ZouYingLong-DaYanSong.xml_4,我问顽童啼哭因何故，,4817121.317316311,0.0
sdxp-SuLongWei-WuJiaPo.xml_13,腰中取出银一锭，,4825356.910458408,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_3,满门的家着血染红。,4838029.77868644,0.0
sdxp-WoHeNi-SiLangTanMu.xml_3,杨廷辉有一日愁眉得展，,4847209.393364153,0.0
sdxp-WoHeNi-SiLangTanMu.xml_19,我若探母不回转，,4871327.7071633795,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,4879973.75078382,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,4953248.628942268,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,4971763.954369963,0.0
lseh-YangYanZhao-PengBei.xml_3,又只见老爹爹瞌睡沉沉。,4975130.586806707,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_11,我好比龙游在浅沙滩。,4975934.898906533,0.0
