右手再把栾布拉,0,右手再把栾布拉。
lsxp-CiShiJian-HuaiHeYing-1.xml_5,右手再把栾布拉。,2237916.93661737,1.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,2976454.5353620136,0.0
lseh-XiRiLi-BaoLianDeng.xml_11,留得美名万古存，,3108992.1484454405,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,3207682.2538055545,0.0
sdxp-WoHeNi-SiLangTanMu.xml_4,誓不忘贤公主恩重如山。,3399505.388116276,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,3413433.34446464,0.0
lsxp-WoBenShi-KongChengJi-2.xml_3,算就了汉家的业鼎足（呃）三分。,3492955.943598415,0.0
lsxp-JiangShenEr-SanJiaDian.xml_12,儿想娘亲难叩首，,3535476.5234239213,0.0
sdxp-SuLongWei-WuJiaPo.xml_16,送与大嫂把家安。,3540211.412231822,0.14285714285714285
lsxp-WeiCengKai-QiYuanBao.xml_5,贩卖绸缎转还乡。,3664014.5303175505,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,3672534.1967070536,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,3698241.0335610863,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,3701341.86469565,0.14285714285714285
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,3844720.896566116,0.14285714285714285
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,3930511.451646899,0.0
sdxp-DangNianHan-SanJiZhang.xml_6,句句话儿伤父心。,3966882.146063198,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,4020118.3918074113,0.0
lsxp-DaHeYi-SiLangTanMu.xml_29,众将与爷忙掩（哪）门，,4021766.621057701,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,4069636.6155113005,0.14285714285714285
lsxp-CiShiJian-HuaiHeYing-1.xml_2,在长安是你夸大话，,4133506.7289368515,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,4160882.0802412843,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_9,我也曾约法定过三章。,4172344.749825966,0.0
sdxp-WoHeNi-SiLangTanMu.xml_8,我的娘押粮草来到北番。,4303413.7193219075,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_3,大事还要问程婴。,4307476.666781907,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,4390213.027992441,0.14285714285714285
