将身儿来至在大街口,0,将身儿来至在大街口，
lsxp-JiangShenEr-SanJiaDian.xml_0,将身儿来至在大街口，,996246.3811220564,1.0
lsxp-JiangShenEr-SanJiaDian.xml_6,舍不得太爷的恩情厚，,3025246.125758024,0.0
sdxp-WoHeNi-SiLangTanMu.xml_8,我的娘押粮草来到北番。,3139387.0579825696,0.1111111111111111
lsxp-JiangShenEr-SanJiaDian.xml_10,娘生儿连心肉，,3222621.2931294297,0.1111111111111111
lsxp-ZouYingLong-DaYanSong.xml_12,罢、罢、罢，暂且忍却我的心头恨，,3415253.01800216,0.0
lseh-XiRiLi-BaoLianDeng.xml_11,留得美名万古存，,3549708.806208619,0.0
lsxp-JiangShenEr-SanJiaDian.xml_12,儿想娘亲难叩首，,3581230.3441245407,0.1111111111111111
lseh-XinZhongYou-WenZhaoGuan.xml_3,叫人难解巧机关。,3650778.9029615507,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,3708508.904701201,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_9,来年必定降麒麟。,3807462.861522333,0.1111111111111111
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,3887429.5100217666,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,3890782.598564261,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_4,吕伯奢可算得义气大，,3976215.075805315,0.1111111111111111
lseh-NiangZiBu-SouGuJiuGu.xml_11,不舍娇儿难救孤身。,3976916.620619124,0.2222222222222222
lsxp-JiangShenEr-SanJiaDian.xml_14,眼见得红日坠落在西山后，,4098936.140125245,0.1111111111111111
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,4099767.245742423,0.0
lsxp-JiangShenEr-SanJiaDian.xml_4,杨林与我来争斗，,4107926.7154407636,0.1111111111111111
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,4201878.61974824,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_14,撩袍端带我把金殿上，,4254527.90333075,0.0
