尊一声过往的宾朋听从头,0,尊一声过往的宾朋听从头：
lsxp-JiangShenEr-SanJiaDian.xml_1,尊一声过往的宾朋听从头：,844977.5705063746,1.0
sdxp-DangNianHan-SanJiZhang.xml_5,我的儿说话言不逊，,2342919.9520017025,0.09090909090909091
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,2362760.606220134,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,2401994.7216256987,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_0,深宫无（哇）处不飞花，,2460301.582369331,0.0
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,2701126.0403198386,0.0
lsxp-DaHeYi-SiLangTanMu.xml_21,龙行虎步非凡等，,2724070.217139627,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,2839228.1136443303,0.36363636363636365
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,2887516.125176035,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,2920974.7660648143,0.09090909090909091
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,3039413.25920788,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,3100364.294886303,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,3253195.837310248,0.09090909090909091
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,3262072.668773473,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,3289849.2981856037,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,3300907.9133212315,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_8,一路上秋毫无犯军威壮，,3356893.7791356663,0.09090909090909091
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,3367325.9106886405,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,3393066.9707502173,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,3404161.394751316,0.0
lsxp-ZheYiFeng-DingJunShan.xml_2,站立在营门三军叫，,3407558.5653410675,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,3422984.6613867166,0.0
sdxp-WoHeNi-SiLangTanMu.xml_5,非是我这几日愁眉不展，,3462201.1962209838,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,3467842.9101906638,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,3487216.2326438585,0.0
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,3494173.0288926177,0.0
lsxp-WeiCengKai-QiYuanBao.xml_4,奉母命京城往，,3494678.698537918,0.09090909090909091
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,3570946.2835148205,0.0
sdxp-SuLongWei-WuJiaPo.xml_13,腰中取出银一锭，,3602095.893746428,0.09090909090909091
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,3611623.9472817546,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,3634993.5413021855,0.09090909090909091
