二不是歹人把城偷,0,二不是歹人（呐）把城偷。
lsxp-JiangShenEr-SanJiaDian.xml_3,二不是歹人（呐）把城偷。,1739959.540961942,1.0
lsxp-WoZhuYe-ZhuiHanXin.xml_14,撩袍端带我把金殿上，,2020340.8784586422,0.125
lseh-LaoZhangBu-WuPenJi.xml_3,我本屈死一鬼魂。,2248140.714465887,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,2284269.5437281625,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_0,此时间不可闹笑话，,2712612.285413373,0.125
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,2751072.993535306,0.125
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,2782526.9990290888,0.125
lsxp-DaHeYi-SiLangTanMu.xml_31,走上前来忙松捆，,2882432.641448364,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,2946321.6770001333,0.125
lsxp-LiangGuoJiao-ShiJieTing-1.xml_0,两国交（哇）锋龙虎斗，,2959179.077381865,0.0
lsxp-DaHeYi-SiLangTanMu.xml_1,大喝一声（哪）如雷震，,2994448.1126120635,0.0
lsxp-DaHeYi-SiLangTanMu.xml_5,弟兄们分别十五春，,3025274.5710734646,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,3040145.4070884935,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_3,两路分（呐）兵定咸阳。,3049322.915611213,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,3175805.897112038,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,3204146.17449522,0.125
lseh-YiLunMing-ZhuoFangCao-1.xml_20,贼好比蛟龙未生鳞甲，,3237228.657621155,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_0,自从千岁离朝后，,3367225.9790730635,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,3369020.4810011047,0.125
lseh-YiLunMing-ZhuoFangSuDian.xml_9,年迈的老丈命（呐）染黄沙。,3405297.7135536387,0.0
sdxp-SuLongWei-WuJiaPo.xml_14,将银放在地平川。,3420633.800141382,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,3482695.242352548,0.25
lsxp-WeiCengKai-QiYuanBao.xml_0,未曾开言泪汪汪，,3541661.207556099,0.0
lsxp-DaHeYi-SiLangTanMu.xml_19,本帅帐中用目睁，,3594699.2603575094,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_9,年迈老丈命染黄沙。,3603581.46511978,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,3625130.105333578,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,3633056.4571063886,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,3657485.215453794,0.0
lsxp-DaHeYi-SiLangTanMu.xml_29,众将与爷忙掩（哪）门，,3681290.458152699,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,3732644.1152303116,0.0
lsxp-DaHeYi-SiLangTanMu.xml_12,我母佘氏老太君。,3747490.4077002746,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_2,管待三（哪）军要宽厚，,3754107.437062622,0.0
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,3772747.6025762074,0.125
lsxp-YiShiWu-YuCangJian.xml_2,日月轮流催晓（哇）箭，,3819333.63716477,0.0
sdxp-WoHeNi-SiLangTanMu.xml_13,公主赠我的金鈚箭，,3837897.926866254,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,3849272.01278978,0.0
lseh-XiRiLi-BaoLianDeng.xml_10,首阳山前冻饿死（喏）。,3859934.3680360215,0.0
lsxp-DaHeYi-SiLangTanMu.xml_15,六弟下位把兄认，,3874450.346119501,0.125
lseh-XiRiLi-BaoLianDeng.xml_8,那伯夷出午门无（哇）有踪（呃）影，,3916533.1628749603,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_24,哭一声爹娘不能相见，,3922035.080147556,0.125
lsxp-YiShiWu-YuCangJian.xml_9,行至在昭关有阻拦。,3955004.8361103865,0.0
lsxp-JianMaSu-ZhanMaSu.xml_3,失去了街亭差不差。,3973559.524006054,0.125
lsxp-WoZhuYe-ZhuiHanXin.xml_2,怀王也曾把旨降，,3979487.2559361947,0.125
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,4018253.7619752735,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_4,叫焦赞将宝剑悬挂帐外，,4018891.0766555346,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,4051621.3901999663,0.125
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,4055870.8943792307,0.25
sdxp-SuLongWei-WuJiaPo.xml_15,这锭银、三两三，,4092647.481615479,0.0
lsxp-YiShiWu-YuCangJian.xml_4,恨平王无道纲常乱，,4152540.2459429894,0.0
daxp-LaoDieDie-YuZhouFeng.xml_2,倘若是有道君皇恩浩荡，,4154445.8832895453,0.125
lsxp-YiShiWu-YuCangJian.xml_8,实指（喏）望到吴国借兵（呐）转，,4237033.605330354,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,4240252.331354316,0.0
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,4249744.323933225,0.125
lseh-NiangZiBu-SouGuJiuGu.xml_2,赵屠二家有仇恨，,4262451.263852681,0.125
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,4319822.022290428,0.25
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,4342979.458812532,0.25
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,4343014.722862102,0.125
lseh-XinZhongYou-WenZhaoGuan.xml_15,到如今夜宿在荒村院，,4353401.2577196555,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_31,到如今夜宿在荒村院，,4353401.2577196555,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_9,满腹的含冤我向谁言（哪）！,4361832.760680005,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_9,满腹的含冤我向谁言（喏）。,4361832.760680005,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_25,险些儿把事（喏）又（哇）作差。,4377197.833641935,0.125
lseh-TuZeiZuo-SouGuJiuGu.xml_3,大事还要问程婴。,4380676.15455961,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_5,杀猪（喏）沽（哇）酒款待于他，,4387110.945089797,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,4412315.252109973,0.125
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,4417636.657107891,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,4424545.538608564,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_6,也是我主洪福广，,4430275.481475853,0.125
lsxp-CiShiJian-HuaiHeYing-2.xml_2,在长安是你夸大话，,4443484.793656652,0.125
lseh-YiLunMing-ZhuoFangCao-1.xml_9,年迈的老丈命（呐）染黄沙。,4446157.586232249,0.0
lsxp-DaHeYi-SiLangTanMu.xml_3,迈步且把宝帐（呀）进，,4455872.696376615,0.125
lseh-XuMaoGong-QinQiongFaPei.xml_4,是是是（呀）来我明白了，,4473413.195190578,0.125
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,4477851.5059022615,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,4478347.556855011,0.25
lseh-YiLunMing-ZhuoFangSuDian.xml_6,又谁知此贼的疑心（呐）太（呀）大，,4507966.7862600405,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,4511784.053734643,0.0
lsxp-JiangShenEr-SanJiaDian.xml_6,舍不得太爷的恩情厚，,4522923.616661637,0.125
lsxp-YiShiWu-YuCangJian.xml_0,一事无成两鬓斑，,4527071.767600048,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_4,此一番领兵去镇守，,4536893.087948845,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_7,拔出剑将他的满门杀，,4563109.828347814,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,4587752.4473788515,0.125
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,4588788.015341407,0.0
lsxp-QingGongYan-FaDongWu.xml_0,庆功宴上把酒饮，,4596111.8186560385,0.125
lseh-XinZhongYou-WenZhaoGuan.xml_8,哭一声爹娘不能相见，,4603159.458865428,0.125
lseh-XuMaoGong-QinQiongFaPei.xml_2,既是为我前来到，,4610853.167239286,0.125
lsxp-DaHeYi-SiLangTanMu.xml_27,听罢言来才知情，,4612509.8679563645,0.0
sdxp-WoHeNi-SiLangTanMu.xml_11,公主虽然不阻拦，,4622838.600719503,0.125
daeh-TanHongYan-HuoXiaoYu.xml_2,薄幸冤家音信无有，,4657309.191870326,0.0
lsxp-JiangShenEr-SanJiaDian.xml_0,将身儿来至在大街口，,4682977.65322611,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_6,又谁知此贼的疑心太大，,4708149.632758363,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_0,娘子不（哇）必太烈性，,4719197.969570061,0.125
lsxp-ZouYingLong-DaYanSong.xml_4,我问顽童啼哭因何故，,4738490.284464044,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,4748166.661400155,0.125
lsxp-HenPingWang-WenZhaoGuan.xml_0,恨平王无道乱楚宫（兀），,4758005.859192757,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,4785741.92259157,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_9,来年必定降麒麟。,4789537.5437705675,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,4803860.090689715,0.0
lseh-XiRiLi-BaoLianDeng.xml_4,那叔齐分长幼不能担任，,4804082.096625044,0.125
lsxp-JiangShenEr-SanJiaDian.xml_11,儿行千里母担忧。,4804202.611593294,0.0
lsxp-ZheYiFeng-DingJunShan.xml_6,向前各各有赏犒，,4835666.831801855,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_3,为千岁懒观五凤楼。,4836829.596423783,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,4837413.407662157,0.25
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,4847061.768395925,0.0
lsxp-DaHeYi-SiLangTanMu.xml_20,见一番汉帐中行。,4852591.207892132,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,4865903.729599321,0.125
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,4865944.034152966,0.125
sdxp-WoHeNi-SiLangTanMu.xml_19,我若探母不回转，,4871293.936293362,0.125
lsxp-ZuoRiLi-YuanMenZhanZi.xml_1,老娘亲为什么不讲情来？,4901654.825029901,0.125
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,4919157.969058172,0.0
lseh-ZiNaRi-HongYangDong.xml_8,为此事终（啊）日里忧成疾病，,4938078.88982631,0.0
lseh-ZiNaRi-HongYangDong.xml_4,二次（喏）里命孟良番营来进，,4950531.719893416,0.125
lseh-XinZhongYou-WenZhaoGuan.xml_19,父母的冤仇化尘烟，,4957555.016556542,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,4963784.587967724,0.0
lseh-XiRiLi-BaoLianDeng.xml_11,留得美名万古存，,4966040.899694658,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,4983204.867662692,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,4985538.819383724,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_13,哀求娘子（喏）舍亲（呐）生。,4990800.361554445,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_5,为何几日他不言，,5032790.502581782,0.125
lseh-XinZhongYou-WenZhaoGuan.xml_3,叫人难解巧机关。,5039666.181331442,0.125
sdxp-WoHeNi-SiLangTanMu.xml_8,我的娘押粮草来到北番。,5040279.4128789045,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,5063012.9388088565,0.0
lsxp-DaHeYi-SiLangTanMu.xml_17,弟兄对坐叙寒温。,5089836.526297932,0.0
daxp-QiaoLouShang-HuangShanLei.xml_2,对孤灯思远道心神不定，,5125949.079267386,0.125
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,5133283.047715066,0.125
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,5136086.67808727,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,5139348.78221041,0.125
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,5143926.679214213,0.0
lseh-ZenNengGou-BaDaChui.xml_1,前后话对文龙细说衷情。,5150387.586686167,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,5152111.580419256,0.0
