杨林与我来争斗,0,杨林与我来争斗，
lsxp-JiangShenEr-SanJiaDian.xml_4,杨林与我来争斗，,1288823.4804321385,1.0
lsxp-WoZhuYe-ZhuiHanXin.xml_6,也是我主洪福广，,2765547.151854056,0.14285714285714285
lsxp-JiangShenEr-SanJiaDian.xml_12,儿想娘亲难叩首，,2843211.4141519563,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_11,不舍娇儿难救孤身。,3359185.257323153,0.0
lsxp-JiangShenEr-SanJiaDian.xml_10,娘生儿连心肉，,3433703.1210371363,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_30,朝臣待漏（哇）五更寒，,3576895.9896906316,0.0
lsxp-ZouYingLong-DaYanSong.xml_2,那一日打从大街进，,3794921.7345454437,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_10,项羽不遵怀王约，,3964235.6222104165,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_2,怀王也曾把旨降，,4067929.8565810868,0.0
lseh-XiRiLi-BaoLianDeng.xml_1,伯夷叔齐二大贤人，,4473086.034267201,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,4754341.002888924,0.0
lseh-LaoZhangBu-WuPenJi.xml_3,我本屈死一鬼魂。,4840812.48681532,0.14285714285714285
lseh-YiLunMing-ZhuoFangSuDian.xml_6,又谁知此贼的疑心（呐）太（呀）大，,4883268.445982903,0.0
lseh-ZenNengGou-BaDaChui.xml_1,前后话对文龙细说衷情。,4943996.646471917,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_4,吕伯奢可算得义气大，,5033620.627861125,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_6,又谁知此贼的疑心太大，,5044428.792912509,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_14,撩袍端带我把金殿上，,5177319.863371367,0.14285714285714285
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,5291057.783711419,0.0
lsxp-JiangShenEr-SanJiaDian.xml_0,将身儿来至在大街口，,5302209.668534563,0.14285714285714285
lseh-XinZhongYou-WenZhaoGuan.xml_14,朝臣待漏五更寒。,5385037.707501914,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_9,来年必定降麒麟。,5461391.3594897,0.14285714285714285
lseh-YiLunMing-ZhuoFangCao-1.xml_13,越思越想把事来作差。,5571850.032982671,0.14285714285714285
lsxp-TingTaYan-ZhuoFangCao-1.xml_2,我先前只望他宽宏量（呃）大，,5609255.166774208,0.14285714285714285
lsxp-TingTaYan-ZhuoFangCao-2.xml_2,我先前只望他宽宏量（呃）大，,5609255.166774208,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,5611697.950963817,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_3,叫人难解巧机关。,5733012.465667875,0.0
lseh-XiRiLi-BaoLianDeng.xml_12,为父的怎比得孤竹君，,5843014.247210138,0.0
lsxp-JiangShenEr-SanJiaDian.xml_6,舍不得太爷的恩情厚，,5861267.92623062,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_19,叫人难解巧机关，,5912552.0130531015,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_8,你今舍了亲生子，,6048649.693734562,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,6289553.6510125995,0.0
lseh-ZiNaRi-HongYangDong.xml_5,又谁知焦克明他私（呀）自后跟（呐），,6504015.611845992,0.0
lsxp-DaHeYi-SiLangTanMu.xml_13,十五年前沙滩会，,6555325.527644684,0.0
lsxp-ZouYingLong-DaYanSong.xml_7,站立在殿角用目来观定，,6603776.884960009,0.14285714285714285
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,6665801.482158256,0.0
lsxp-JiangShenEr-SanJiaDian.xml_3,二不是歹人（呐）把城偷。,6889700.897286462,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,6913446.152961168,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_13,但愿得言听计从重整汉家邦、一同回故乡。,6925843.786936333,0.0
lseh-XiRiLi-BaoLianDeng.xml_6,弟让兄来兄不能应（呐）允，,7044331.54748682,0.14285714285714285
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,7090262.324190206,0.14285714285714285
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,7219561.6087647015,0.0
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,7304620.853029519,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_1,诬杀赵家一满门。,7310544.792867965,0.0
lseh-LaoZhangBu-WuPenJi.xml_7,望求老丈把冤伸。,7327581.648335439,0.0
lsxp-DaHeYi-SiLangTanMu.xml_23,本帅开言把他问，,7670652.008970591,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,7770866.144074811,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_20,贼好比蛟龙未生鳞甲，,7787727.820160931,0.0
lsxp-ZouYingLong-DaYanSong.xml_12,罢、罢、罢，暂且忍却我的心头恨，,7864506.763799368,0.14285714285714285
lsxp-JiangShenEr-SanJiaDian.xml_14,眼见得红日坠落在西山后，,7876794.329203778,0.0
lseh-XiRiLi-BaoLianDeng.xml_10,首阳山前冻饿死（喏）。,7900901.089411086,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,7923344.12091335,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_4,幸遇那东皋公行方便，,7971385.611828004,0.0
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,8025899.613198102,0.0
lsxp-ZouYingLong-DaYanSong.xml_4,我问顽童啼哭因何故，,8028164.517628744,0.14285714285714285
lsxp-CiShiJian-HuaiHeYing-2.xml_2,在长安是你夸大话，,8062683.116631124,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,8084170.311940598,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,8084170.311940598,0.0
lsxp-JiangShenEr-SanJiaDian.xml_2,一不是响马与贼寇，,8161396.1400597235,0.14285714285714285
lseh-YiLunMing-ZhuoFangSuDian.xml_4,吕伯奢可算得义气（呀）大，,8187145.411545055,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_1,老娘亲为什么不讲情来？,8191540.251905493,0.14285714285714285
lseh-YiLunMing-WenZhaoGuan-2.xml_4,幸遇那东皋公行方便，,8213001.260898777,0.0
daeh-TanHongYan-HuoXiaoYu.xml_0,叹红颜薄命前生就，,8227952.628533396,0.0
lseh-YangYanZhao-PengBei.xml_3,又只见老爹爹瞌睡沉沉。,8307895.692298426,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,8311021.244682627,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,8325691.917053739,0.0
lsxp-YiShiWu-YuCangJian.xml_9,行至在昭关有阻拦。,8340227.403786941,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_9,年迈的老丈命（呐）染黄沙。,8508598.392004518,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,8526193.009760836,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,8539253.30591723,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,8540452.038053706,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_2,赵屠二家有仇恨，,8600882.943791714,0.0
lseh-XiRiLi-BaoLianDeng.xml_4,那叔齐分长幼不能担任，,8716532.468891252,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,8792716.606294373,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,8807680.090558223,0.0
lseh-ZiNaRi-HongYangDong.xml_4,二次（喏）里命孟良番营来进，,8872947.580580954,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,8912630.272049358,0.0
lseh-XiRiLi-BaoLianDeng.xml_8,那伯夷出午门无（哇）有踪（呃）影，,8930323.287246365,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,8969695.770187477,0.14285714285714285
lseh-YiLunMing-ZhuoFangCao-1.xml_8,一家人倶丧在宝剑之（喏）下，,9002782.081998326,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,9155291.047443056,0.2857142857142857
lsxp-HenPingWang-WenZhaoGuan.xml_0,恨平王无道乱楚宫（兀），,9181469.820219543,0.0
lsxp-ZheYiFeng-DingJunShan.xml_1,天助黄忠成功劳。,9203797.332496023,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,9210572.921944126,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_3,老薛保你不必苦哀告，,9214928.691623745,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,9250173.345594577,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_6,一连几天我的眉不（哇）展，,9251177.090706222,0.14285714285714285
lseh-YiLunMing-ZhuoFangCao-1.xml_25,险些儿把事（喏）又（哇）作差。,9251903.610839443,0.0
sdxp-WoHeNi-SiLangTanMu.xml_8,我的娘押粮草来到北番。,9257304.594190547,0.2857142857142857
lseh-YiLunMing-ZhuoFangCao-1.xml_9,年迈的老丈命（呐）染黄沙。,9276266.216889568,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_2,既是为我前来到，,9330714.698286086,0.2857142857142857
lseh-YiLunMing-WenZhaoGuan-2.xml_6,一连几天我的眉不（呃）展，,9366058.380397785,0.14285714285714285
lsxp-CiShiJian-HuaiHeYing-1.xml_2,在长安是你夸大话，,9404507.596441472,0.0
