因此上发配到登州,0,因此上发配到登州。
lsxp-JiangShenEr-SanJiaDian.xml_5,因此上发配到登州。,1116022.171824116,1.0
lsxp-ZouYingLong-DaYanSong.xml_13,在品级台（呀）前臣见君。,2224658.5867348965,0.0
lsxp-ZiGuDao-HuangHeLou.xml_2,曾记得当年赴河梁，,2296673.5712940865,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,2416919.762789554,0.0
lsxp-DaHeYi-SiLangTanMu.xml_9,家住后山磁州郡，,2671372.1561233825,0.125
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,2912421.3745158957,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,2933036.4635331677,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,2940160.7174275275,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_3,等候了你妻子同见阎罗。,3053437.1042517847,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,3086250.62168857,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_24,哭一声爹娘不能相见，,3111678.276791163,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,3111993.003123136,0.0
sdxp-SuLongWei-WuJiaPo.xml_13,腰中取出银一锭，,3116349.5901071164,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_0,徐茂公阴阳多奥妙，,3150737.0667848117,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,3186183.776243021,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,3309523.0372663517,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,3335350.2631423995,0.125
lsxp-DaHeYi-SiLangTanMu.xml_25,家住哪州并哪郡？,3341368.5543622025,0.125
lsxp-DaHeYi-SiLangTanMu.xml_22,灯光之下看不真。,3366212.21192414,0.0
lsxp-WeiCengKai-QiYuanBao.xml_9,望求太爷与我作主张（啊）。,3380193.6854808675,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_8,哭一声爹娘不能相见，,3391395.2038408956,0.0
sdxp-SuLongWei-WuJiaPo.xml_8,为军哪怕到官前。,3438555.2379196393,0.125
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,3451889.1751521924,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,3459862.687790425,0.0
daxp-ErTingDe-SuoLinNang.xml_15,薛良与我去问一遭。,3470833.3108570063,0.0
sdxp-WoHeNi-SiLangTanMu.xml_7,萧天佐摆天门两国交战，,3528150.9528471697,0.0
lseh-YangYanZhao-PengBei.xml_2,迈虎步我且把宝帐来进，,3529235.3364644307,0.0
