实难舍街坊四邻与我的好朋友,0,实难舍街坊四邻与我的好朋友，
lsxp-JiangShenEr-SanJiaDian.xml_8,实难舍街坊四邻与我的好朋友，,1290263.6614287884,1.0
sdxp-SuLongWei-WuJiaPo.xml_16,送与大嫂把家安。,3689394.3906985605,0.07692307692307693
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,3979758.0907811555,0.0
sdxp-WoHeNi-SiLangTanMu.xml_8,我的娘押粮草来到北番。,3988584.065892287,0.15384615384615385
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,4153565.826851663,0.07692307692307693
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,4198572.537083985,0.0
lseh-XiRiLi-BaoLianDeng.xml_10,首阳山前冻饿死（喏）。,4223610.760907988,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_2,在长安是你夸大话，,4365528.332166515,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_2,在长安是你夸大话，,4399505.531985363,0.0
sdxp-WoHeNi-SiLangTanMu.xml_4,誓不忘贤公主恩重如山。,4430203.4638755685,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,4471440.16967928,0.07692307692307693
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,4531399.692685986,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,4550139.777469022,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,4652628.077273901,0.0
lsxp-ZheYiFeng-DingJunShan.xml_1,天助黄忠成功劳。,4681188.665158254,0.0
lsxp-DaHeYi-SiLangTanMu.xml_19,本帅帐中用目睁，,4691109.619239068,0.0
lsxp-ZouYingLong-DaYanSong.xml_12,罢、罢、罢，暂且忍却我的心头恨，,4698378.248782846,0.15384615384615385
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,4719812.60918737,0.0
lsxp-ZouYingLong-DaYanSong.xml_3,偶遇见小小的顽童放悲声，,4825626.744452336,0.07692307692307693
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,4859093.983599506,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_21,为何几日他不言。,4965979.238091657,0.0
lsxp-JiangShenEr-SanJiaDian.xml_6,舍不得太爷的恩情厚，,5035441.913126446,0.15384615384615385
lsxp-JiangShenEr-SanJiaDian.xml_14,眼见得红日坠落在西山后，,5058136.992689264,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_12,我好（呃）比鱼儿吞了钩线，,5120133.742805257,0.15384615384615385
lseh-YiLunMing-WenZhaoGuan-1.xml_14,思来想去我的肝肠断，,5171876.777944389,0.15384615384615385
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,5212876.929708845,0.15384615384615385
sdxp-WoHeNi-SiLangTanMu.xml_9,我有心回宋营见母一面，,5240462.27184486,0.07692307692307693
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,5241788.02644557,0.15384615384615385
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,5301623.904335696,0.0
lseh-XiRiLi-BaoLianDeng.xml_11,留得美名万古存，,5310757.060868239,0.0
lsxp-JiangShenEr-SanJiaDian.xml_3,二不是歹人（呐）把城偷。,5326873.880356931,0.0
lsxp-WeiCengKai-QiYuanBao.xml_5,贩卖绸缎转还乡。,5327806.4988773065,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,5344508.3587138755,0.0
sdxp-DangNianHan-SanJiZhang.xml_7,要退、要退、偏要退！,5344768.27268585,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,5355255.008333399,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,5413623.463971471,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_0,昨日里斩八将头挂营外，,5423757.221828912,0.0
lsxp-ZouYingLong-DaYanSong.xml_5,他言道严嵩老贼害他的举家一满门。,5446593.899734261,0.07692307692307693
lsxp-HenPingWang-WenZhaoGuan.xml_3,满门的家着血染红。,5532565.580638879,0.07692307692307693
lseh-YiLunMing-WenZhaoGuan-1.xml_12,我好（哇）比鱼儿吞了钩线，,5543852.531612931,0.15384615384615385
lsxp-WoZhuYe-ZhuiHanXin.xml_14,撩袍端带我把金殿上，,5570023.876814821,0.07692307692307693
lseh-YiLunMing-WenZhaoGuan-1.xml_19,叫人难解巧机关，,5661129.854013708,0.07692307692307693
daeh-NaRiFeng-YuanXiaoMi.xml_0,那日风波平地起，,5669752.647695425,0.0
lsxp-DaHeYi-SiLangTanMu.xml_23,本帅开言把他问，,5678609.741368506,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,5689441.487865409,0.07692307692307693
lsxp-JiangShenEr-SanJiaDian.xml_0,将身儿来至在大街口，,5729732.273455833,0.07692307692307693
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,5736717.154922454,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_0,我主爷起义在芒砀，,5757344.641274809,0.07692307692307693
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,5759078.5893019,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_3,叫人难解巧机关。,5790914.908644691,0.07692307692307693
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,5808700.029337315,0.07692307692307693
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,5818877.557195158,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,5838453.277989258,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,5839470.613860275,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_3,两路分（呐）兵定咸阳。,5841189.712859148,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_1,背转身自埋怨我自（呃）已做差。,5842389.770323687,0.07692307692307693
lsxp-TingTaYan-ZhuoFangCao-1.xml_1,背转身只埋怨我自（呃）己作差，,5842389.770323687,0.07692307692307693
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,5847716.774078126,0.07692307692307693
lseh-XinZhongYou-WenZhaoGuan.xml_5,为何几日他不言，,5870548.278886253,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_13,但愿得言听计从重整汉家邦、一同回故乡。,5902623.741992827,0.0
sdxp-SuLongWei-WuJiaPo.xml_20,为何来在大道边。,5935486.5385976555,0.0
sdxp-SuLongWei-WuJiaPo.xml_11,好一个贞节王宝钏，,5935596.891530483,0.07692307692307693
lseh-NiangZiBu-SouGuJiuGu.xml_9,来年必定降麒麟。,5954278.372199839,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,6024516.430363971,0.15384615384615385
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,6080172.791535554,0.0
lseh-LaoZhangBu-WuPenJi.xml_3,我本屈死一鬼魂。,6080585.343608307,0.07692307692307693
lseh-YiLunMing-ZhuoFangCao-2.xml_8,一家人倶丧在宝剑之下，,6108743.8680996895,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,6118795.521739238,0.07692307692307693
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,6148479.684374789,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_12,无奈何我只得双（呃）膝跪，,6165938.876967808,0.07692307692307693
lseh-YiLunMing-ZhuoFangCao-1.xml_3,悔不该随他人到吕家，,6172657.175998394,0.0
lsxp-ZouYingLong-DaYanSong.xml_4,我问顽童啼哭因何故，,6184858.955423941,0.07692307692307693
daeh-WangChunE-SanNiangJiaoZi.xml_6,将身儿来至在机房织绢，,6206851.81318363,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,6249445.499334393,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,6253680.6716224,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,6277388.534946438,0.0
lsxp-ZheYiFeng-DingJunShan.xml_6,向前各各有赏犒，,6294538.906738636,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,6306367.615197084,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,6329933.572001493,0.07692307692307693
daeh-ZaoBuXing-HeHouMaDian.xml_6,贼好比秦赵高指鹿为马，,6335077.126946382,0.07692307692307693
