舍不得老娘白了头,0,舍不得老娘（呃）白了头。
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,1507658.3939785135,1.0
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,1539997.6387759221,0.5
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,2043988.0207407647,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,2395224.2177575743,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,2409907.3003562614,0.0
lsxp-JianMaSu-ZhanMaSu.xml_1,不由老夫咬钢牙，,2466925.6718323645,0.25
lseh-YiLunMing-WenZhaoGuan-1.xml_22,贪图富贵来害我，,2755068.3258214304,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_6,贪图富贵来害我，,2853305.6381296637,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,2927725.1754214154,0.125
lsxp-ZouYingLong-DaYanSong.xml_4,我问顽童啼哭因何故，,3046523.887881123,0.0
lsxp-DaHeYi-SiLangTanMu.xml_20,见一番汉帐中行。,3054947.914871398,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,3081852.431834393,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_24,哭一声爹娘不能相见，,3293703.7713248157,0.25
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,3376355.716786325,0.125
lsxp-WoZhuYe-ZhuiHanXin.xml_3,两路分（呐）兵定咸阳。,3389863.9325876315,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_9,来年必定降麒麟。,3406551.315080029,0.0
lsxp-DaHeYi-SiLangTanMu.xml_31,走上前来忙松捆，,3414171.4634375405,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_9,年迈的老丈命（呐）染黄沙。,3442878.135819522,0.125
lsxp-WeiCengKai-QiYuanBao.xml_8,赵大夫妻图财害命害我一命亡，,3467965.6357910144,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_2,管待三（哪）军要宽厚，,3595633.4136995506,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_1,老娘亲为什么不讲情来？,3648110.434334963,0.375
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,3693529.926096977,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_5,杀猪（喏）沽（哇）酒款待于他，,3696127.1572125754,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,3709259.9807469337,0.0
lseh-XiRiLi-BaoLianDeng.xml_6,弟让兄来兄不能应（呐）允，,3735514.568736994,0.125
lseh-XinZhongYou-WenZhaoGuan.xml_8,哭一声爹娘不能相见，,3744238.319746616,0.25
sdxp-SuLongWei-WuJiaPo.xml_8,为军哪怕到官前。,3807083.9238046096,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_2,赵屠二家有仇恨，,3826480.5032117018,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_9,年迈的老丈命（呐）染黄沙。,3864428.723055319,0.125
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_4,有生之日责当尽，,3893196.253613384,0.0
