娘生儿，连心肉,0,娘生儿连心肉，
lsxp-JiangShenEr-SanJiaDian.xml_10,娘生儿连心肉，,1947525.0407223485,1.0
lsxp-JiangShenEr-SanJiaDian.xml_0,将身儿来至在大街口，,3443862.8057439243,0.2857142857142857
lsxp-WoZhuYe-ZhuiHanXin.xml_14,撩袍端带我把金殿上，,3797743.9496804434,0.14285714285714285
lsxp-WoZhuYe-ZhuiHanXin.xml_6,也是我主洪福广，,3917418.992152376,0.14285714285714285
lseh-XiRiLi-BaoLianDeng.xml_12,为父的怎比得孤竹君，,4457772.607123209,0.14285714285714285
lsxp-WoZhuYe-ZhuiHanXin.xml_2,怀王也曾把旨降，,4484582.834865445,0.14285714285714285
lseh-YiLunMing-ZhuoFangSuDian.xml_6,又谁知此贼的疑心（呐）太（呀）大，,4590085.476999327,0.2857142857142857
lsxp-WoZhuYe-ZhuiHanXin.xml_10,项羽不遵怀王约，,4809964.406536927,0.14285714285714285
sdxp-SuLongWei-WuJiaPo.xml_19,是烈女就该在家院，,4832279.138365676,0.14285714285714285
lseh-YiLunMing-ZhuoFangSuDian.xml_9,年迈的老丈命（呐）染黄沙。,4890640.072937034,0.0
lsxp-JiangShenEr-SanJiaDian.xml_12,儿想娘亲难叩首，,4939437.142766293,0.42857142857142855
lseh-YiLunMing-ZhuoFangCao-1.xml_9,年迈的老丈命（呐）染黄沙。,5052541.6257268265,0.0
lsxp-JiangShenEr-SanJiaDian.xml_4,杨林与我来争斗，,5085825.196257928,0.14285714285714285
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,5127765.39674667,0.14285714285714285
lsxp-ZouYingLong-DaYanSong.xml_2,那一日打从大街进，,5137627.141957017,0.14285714285714285
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,5220085.247637409,0.14285714285714285
lseh-ZiNaRi-HongYangDong.xml_5,又谁知焦克明他私（呀）自后跟（呐），,5248901.804745805,0.14285714285714285
lseh-NiangZiBu-SouGuJiuGu.xml_11,不舍娇儿难救孤身。,5335313.016637473,0.14285714285714285
lseh-YiLunMing-ZhuoFangCao-1.xml_20,贼好比蛟龙未生鳞甲，,5351684.144995026,0.2857142857142857
lseh-NiangZiBu-SouGuJiuGu.xml_8,你今舍了亲生子，,5391268.128126185,0.2857142857142857
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,5862090.538655371,0.14285714285714285
lseh-LaoZhangBu-WuPenJi.xml_3,我本屈死一鬼魂。,5879803.358032261,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,5881169.531595472,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,5881169.531595472,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,5883719.064017619,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_6,又谁知此贼的疑心太大，,5918441.458970543,0.2857142857142857
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,5951045.596912902,0.14285714285714285
lseh-YiLunMing-ZhuoFangCao-2.xml_4,吕伯奢可算得义气大，,5953015.373634835,0.14285714285714285
lseh-NiangZiBu-SouGuJiuGu.xml_9,来年必定降麒麟。,6228999.3867454985,0.0
lsxp-JiangShenEr-SanJiaDian.xml_6,舍不得太爷的恩情厚，,6316497.136490236,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,6368863.878153085,0.14285714285714285
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,6371346.813776391,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_4,叫梅香你把那好言相告，,6376251.155560818,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,6393663.481009927,0.14285714285714285
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,6477557.161093541,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,6559439.02289517,0.0
lseh-XiRiLi-BaoLianDeng.xml_1,伯夷叔齐二大贤人，,6747136.346099966,0.14285714285714285
lsxp-WoBenShi-KongChengJi-2.xml_3,算就了汉家的业鼎足（呃）三分。,6780703.1463318495,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_2,我先前只望他宽宏量（呃）大，,6793655.868897774,0.14285714285714285
lsxp-TingTaYan-ZhuoFangCao-2.xml_2,我先前只望他宽宏量（呃）大，,6793655.868897774,0.14285714285714285
lseh-YiLunMing-ZhuoFangSuDian.xml_7,拔出剑将他的满门杀，,6871537.898430056,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,6917758.469209619,0.0
lseh-XiRiLi-BaoLianDeng.xml_6,弟让兄来兄不能应（呐）允，,6936105.130181957,0.14285714285714285
lsxp-ZouYingLong-DaYanSong.xml_12,罢、罢、罢，暂且忍却我的心头恨，,6977872.267610355,0.2857142857142857
lseh-YiLunMing-WenZhaoGuan-2.xml_4,幸遇那东皋公行方便，,6991749.722912344,0.14285714285714285
lseh-YiLunMing-ZhuoFangSuDian.xml_5,杀猪（喏）沽酒款待与他，,7033964.29365274,0.14285714285714285
lseh-ZenNengGou-BaDaChui.xml_1,前后话对文龙细说衷情。,7087970.7624465935,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,7121312.446690878,0.14285714285714285
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,7231964.195223608,0.14285714285714285
lseh-YiLunMing-ZhuoFangCao-1.xml_13,越思越想把事来作差。,7286271.598221619,0.0
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,7296050.44550487,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_6,一连几天我的眉不（呃）展，,7317387.354665184,0.2857142857142857
lseh-LaoZhangBu-WuPenJi.xml_7,望求老丈把冤伸。,7326489.140580482,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_3,大事还要问程婴。,7372380.048699458,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_13,但愿得言听计从重整汉家邦、一同回故乡。,7436910.612802588,0.0
daxp-ChunQiuTing-SuoLinNang.xml_16,叫梅香你把那好言相告，,7461980.49439011,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,7507351.2532311715,0.14285714285714285
lseh-TuZeiZuo-SouGuJiuGu.xml_1,诬杀赵家一满门。,7512976.259225959,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,7731534.43804395,0.14285714285714285
lseh-YiLunMing-ZhuoFangCao-2.xml_7,拔出剑将他的满门杀。,7740793.023714287,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_16,我只说贼是个宽宏量大，,7773387.69505675,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,7814928.088797633,0.14285714285714285
lseh-XiRiLi-BaoLianDeng.xml_8,那伯夷出午门无（哇）有踪（呃）影，,7836653.749302029,0.14285714285714285
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,7866415.26318445,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,7868541.62072992,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,7878905.909147187,0.2857142857142857
sdxp-WoHeNi-SiLangTanMu.xml_3,杨廷辉有一日愁眉得展，,7917115.955025769,0.14285714285714285
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,7925109.058421973,0.14285714285714285
lsxp-WoZhuYe-ZhuiHanXin.xml_15,扬尘舞蹈见大王。,7967426.544049573,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_4,幸遇那东皋公行方便，,8005752.382277198,0.14285714285714285
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,8009307.074021446,0.14285714285714285
lsxp-DaHeYi-SiLangTanMu.xml_23,本帅开言把他问，,8011983.974585653,0.14285714285714285
lseh-YiLunMing-ZhuoFangCao-1.xml_7,拔出剑将他的满门杀，,8068160.016726062,0.14285714285714285
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,8123197.275695109,0.14285714285714285
lseh-YiLunMing-ZhuoFangCao-1.xml_6,又谁知此贼的疑心（呐）太（呀）大，,8175060.134012839,0.2857142857142857
lsxp-ZuoRiLi-YuanMenZhanZi.xml_1,老娘亲为什么不讲情来？,8176878.414580463,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,8200108.1497398475,0.0
sdxp-SuLongWei-WuJiaPo.xml_16,送与大嫂把家安。,8208219.515263396,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,8296528.8093742095,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,8305778.024972806,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_3,叫人难解巧机关。,8382526.326944742,0.0
lseh-YangYanZhao-PengBei.xml_5,又恐怕惊动了年迈之人。,8400785.894994855,0.0
daxp-ErTingDe-SuoLinNang.xml_2,莫不是夫郎丑难谐女貌，,8406347.189499022,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,8440217.193339106,0.0
lsxp-WoBenShi-KongChengJi-1.xml_3,算就了汉家的业鼎足哇三分。,8467293.502912227,0.0
lsxp-YiShiWu-YuCangJian.xml_9,行至在昭关有阻拦。,8515726.236191755,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_8,一家人倶丧在宝剑之（喏）下，,8526531.000390539,0.14285714285714285
lsxp-JiangShenEr-SanJiaDian.xml_3,二不是歹人（呐）把城偷。,8531701.081184318,0.0
lseh-JinZhongXiang-ShangTianTai.xml_5,又听得殿角下大放悲声。,8685011.01400117,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,8686298.408705924,0.14285714285714285
lseh-ZiNaRi-HongYangDong.xml_4,二次（喏）里命孟良番营来进，,8696949.405978529,0.14285714285714285
lsxp-DaHeYi-SiLangTanMu.xml_19,本帅帐中用目睁，,8714812.665381022,0.14285714285714285
lsxp-ZouYingLong-DaYanSong.xml_4,我问顽童啼哭因何故，,8737838.52848482,0.14285714285714285
sdxp-WoHeNi-SiLangTanMu.xml_9,我有心回宋营见母一面，,8779783.869271042,0.2857142857142857
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,8803613.856266141,0.14285714285714285
lseh-YiLunMing-WenZhaoGuan-1.xml_6,一连几天我的眉不（哇）展，,8804458.893584998,0.2857142857142857
lseh-XiRiLi-BaoLianDeng.xml_10,首阳山前冻饿死（喏）。,8816745.277758319,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_5,为何几日他不言，,8818339.773078,0.14285714285714285
lsxp-WoZhuYe-ZhuiHanXin.xml_3,两路分（呐）兵定咸阳。,8844754.366746483,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_19,叫人难解巧机关，,8864761.241882376,0.14285714285714285
lseh-NiangZiBu-SouGuJiuGu.xml_2,赵屠二家有仇恨，,8905457.947317585,0.14285714285714285
sdxp-WoHeNi-SiLangTanMu.xml_8,我的娘押粮草来到北番。,8908399.865264352,0.14285714285714285
lseh-YiLunMing-ZhuoFangCao-2.xml_9,年迈老丈命染黄沙。,8939808.93095079,0.0
lsxp-ZouYingLong-DaYanSong.xml_7,站立在殿角用目来观定，,9073518.655035982,0.14285714285714285
dldeh-ShouBiPo-ChunQiuPei.xml_7,全（呐）不顾你身有病气力不佳。,9106413.907243917,0.0
daxp-LaoDieDie-DaYuShaJia-2.xml_2,将身儿坐至在草堂等候，,9111173.58031888,0.2857142857142857
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,9149624.177760767,0.14285714285714285
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,9165738.373661803,0.2857142857142857
lseh-YiLunMing-WenZhaoGuan-1.xml_21,为何几日他不言。,9172245.365264546,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_4,叫焦赞将宝剑悬挂帐外，,9218419.780430717,0.14285714285714285
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,9243348.523345739,0.2857142857142857
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,9249850.434340639,0.0
lseh-ZiNaRi-HongYangDong.xml_6,老军报他二人在洪洋（呃）洞丧（呃）命，,9331974.571946885,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-2.xml_15,愿邦家从此后国泰民安。,9367887.76857562,0.0
lseh-XiRiLi-BaoLianDeng.xml_4,那叔齐分长幼不能担任，,9481263.487663036,0.14285714285714285
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,9484841.369784726,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_8,一家人倶丧在宝剑之（喏）下，,9497030.392441753,0.14285714285714285
lseh-YiLunMing-ZhuoFangCao-2.xml_5,杀猪沽酒款待与他。,9698975.030920193,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_5,其中必有这巧（哇）妙高。,9747264.381918736,0.0
lseh-YangYanZhao-PengBei.xml_3,又只见老爹爹瞌睡沉沉。,9775375.792401476,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,9824279.14362807,0.14285714285714285
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,9854108.6145689,0.14285714285714285
lseh-YiLunMing-WenZhaoGuan-1.xml_30,朝臣待漏（哇）五更寒，,9861899.289104763,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,9900697.540630613,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,9912973.161862688,0.14285714285714285
lseh-XiRiLi-BaoLianDeng.xml_11,留得美名万古存，,9954738.566225182,0.14285714285714285
lseh-YiLunMing-ZhuoFangSuDian.xml_4,吕伯奢可算得义气（呀）大，,9961998.645386072,0.14285714285714285
lseh-YiLunMing-ZhuoFangCao-1.xml_5,杀猪（喏）沽（哇）酒款待于他，,9978709.632069474,0.14285714285714285
lsxp-DaHeYi-SiLangTanMu.xml_15,六弟下位把兄认，,10011111.660175204,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,10028997.690283839,0.14285714285714285
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,10065738.587623475,0.14285714285714285
lsxp-ZuoRiLi-YuanMenZhanZi.xml_0,昨日里斩八将头挂营外，,10071998.012006039,0.14285714285714285
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,10123462.4419178,0.14285714285714285
lsxp-CiShiJian-HuaiHeYing-1.xml_2,在长安是你夸大话，,10154297.352682417,0.14285714285714285
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,10154999.804710936,0.14285714285714285
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,10165383.696997182,0.14285714285714285
lsxp-WeiCengKai-QiYuanBao.xml_8,赵大夫妻图财害命害我一命亡，,10170290.940789297,0.14285714285714285
sdxp-SuLongWei-WuJiaPo.xml_22,一马双跨到西凉。,10184627.087467076,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_4,是是是（呀）来我明白了，,10235438.385650141,0.14285714285714285
lsxp-WeiCengKai-QiYuanBao.xml_0,未曾开言泪汪汪，,10292369.395671463,0.14285714285714285
lseh-XinZhongYou-WenZhaoGuan.xml_8,哭一声爹娘不能相见，,10317696.132882155,0.2857142857142857
