儿行千里母担忧,0,儿行千里母担忧。
lsxp-JiangShenEr-SanJiaDian.xml_11,儿行千里母担忧。,1380858.308536616,1.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,2459360.2998416275,0.0
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,2474876.982436259,0.14285714285714285
lsxp-WeiCengKai-QiYuanBao.xml_5,贩卖绸缎转还乡。,2507761.5823711674,0.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,2543549.469924254,0.0
lsxp-WeiCengKai-QiYuanBao.xml_7,借宿一宵起祸殃。,2598594.2019307124,0.0
lsxp-WeiCengKai-QiYuanBao.xml_3,姓刘名安字世昌。,2674837.699257814,0.0
lsxp-DaHeYi-SiLangTanMu.xml_2,杨家将令鬼神惊。,2815456.820578562,0.0
lsxp-ZheYiFeng-DingJunShan.xml_0,这一封（呃）书信来得巧，,3033921.0747845178,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,3066843.338421508,0.0
sdxp-SuLongWei-WuJiaPo.xml_7,大嫂说话礼不端，,3131319.729983177,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,3362925.829303106,0.14285714285714285
lseh-YiLunMing-ZhuoFangCao-1.xml_17,汉室后来贼是个惹祸的根芽。,3583118.056135873,0.0
lsxp-QingGongYan-FaDongWu.xml_0,庆功宴上把酒饮，,3804268.354138068,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_0,此时间不可闹笑话，,3848499.8798070564,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_0,此时间不可闹笑话，,3849829.4216755303,0.0
sdxp-SuLongWei-WuJiaPo.xml_20,为何来在大道边。,3858325.118255647,0.0
lsxp-ZheYiFeng-DingJunShan.xml_6,向前各各有赏犒，,3873449.5411738968,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,3896575.8959822115,0.0
lsxp-DaHeYi-SiLangTanMu.xml_1,大喝一声（哪）如雷震，,3910595.509122468,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_9,年迈的老丈命（呐）染黄沙。,3932414.275333488,0.0
lsxp-ZouYingLong-DaYanSong.xml_8,上面坐的是有道君，,3960071.7395370216,0.0
lseh-ZiNaRi-HongYangDong.xml_3,那乃是萧天佐以（呀）假成真；,4049175.162103312,0.0
lsxp-DaHeYi-SiLangTanMu.xml_29,众将与爷忙掩（哪）门，,4104684.1954323896,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,4153132.165984882,0.14285714285714285
lsxp-YiShiWu-YuCangJian.xml_4,恨平王无道纲常乱，,4185433.3589214482,0.0
sdxp-DangNianHan-SanJiZhang.xml_6,句句话儿伤父心。,4194219.634227429,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,4195446.122374527,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,4209498.301471833,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,4221275.614926801,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_14,悔不该把家属一（呀）旦撇下，,4241706.4872547425,0.0
