儿想娘亲难叩首,0,儿想娘亲难叩首，
lsxp-JiangShenEr-SanJiaDian.xml_12,儿想娘亲难叩首，,979261.0645366301,1.0
lsxp-JiangShenEr-SanJiaDian.xml_4,杨林与我来争斗，,2165397.0985231623,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_3,叫人难解巧机关。,2462501.994021414,0.14285714285714285
lsxp-JiangShenEr-SanJiaDian.xml_0,将身儿来至在大街口，,2674996.8646278786,0.14285714285714285
lsxp-ZouYingLong-DaYanSong.xml_2,那一日打从大街进，,2980076.846678397,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,3027631.4051848976,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_5,右手再把栾布拉。,3032929.539005147,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_20,贼好比蛟龙未生鳞甲，,3043430.7811344345,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_16,我只说贼是个宽宏量大，,3063426.6540234485,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,3074311.393885025,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,3125032.1353428797,0.0
lseh-XiRiLi-BaoLianDeng.xml_10,首阳山前冻饿死（喏）。,3132044.1968262824,0.14285714285714285
lseh-YiLunMing-ZhuoFangCao-1.xml_21,贼好比猛虎未（呀）曾长牙，,3135812.533239647,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_10,项羽不遵怀王约，,3197795.3748999247,0.0
lseh-ZiNaRi-HongYangDong.xml_4,二次（喏）里命孟良番营来进，,3212466.045058331,0.0
sdxp-SuLongWei-WuJiaPo.xml_16,送与大嫂把家安。,3390288.2134209434,0.0
sdxp-WoHeNi-SiLangTanMu.xml_8,我的娘押粮草来到北番。,3395211.4775628587,0.14285714285714285
lseh-YiLunMing-WenZhaoGuan-1.xml_19,叫人难解巧机关，,3516172.709535367,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,3598933.541812862,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_6,又谁知此贼的疑心太大，,3600535.4795207772,0.0
lsxp-ZouYingLong-DaYanSong.xml_7,站立在殿角用目来观定，,3627426.0509873414,0.0
lsxp-JiangShenEr-SanJiaDian.xml_6,舍不得太爷的恩情厚，,3676306.947341556,0.0
lseh-XiRiLi-BaoLianDeng.xml_11,留得美名万古存，,3720823.5050665545,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,3749687.6839174884,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,3751377.3234290294,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_14,撩袍端带我把金殿上，,3770108.8965698984,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_11,不舍娇儿难救孤身。,3804623.922444015,0.2857142857142857
lseh-YiLunMing-ZhuoFangCao-1.xml_13,越思越想把事来作差。,3870366.948568486,0.14285714285714285
sdxp-WoHeNi-SiLangTanMu.xml_3,杨廷辉有一日愁眉得展，,3875276.047497396,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,3998597.788278351,0.0
lsxp-JiangShenEr-SanJiaDian.xml_3,二不是歹人（呐）把城偷。,4001429.2706185207,0.0
lseh-LaoZhangBu-WuPenJi.xml_3,我本屈死一鬼魂。,4081165.9978689174,0.0
lseh-ZenNengGou-BaDaChui.xml_1,前后话对文龙细说衷情。,4094902.0443256386,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,4103970.2122546853,0.14285714285714285
