娘想儿来泪双流,3,娘想儿来泪双流。
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,649395.430423665,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,1923027.483807666,0.14285714285714285
lsxp-DaHeYi-SiLangTanMu.xml_3,迈步且把宝帐（呀）进，,2197631.7957102517,0.0
lsxp-JiangShenEr-SanJiaDian.xml_13,娘想儿来泪双流。,2515730.2603169833,1.0
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,2635024.664669788,0.0
lsxp-ZouYingLong-DaYanSong.xml_4,我问顽童啼哭因何故，,2747111.4001506153,0.0
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,2827244.7121097287,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,2930756.8973521786,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,2942335.847689868,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,2969288.3656529733,0.14285714285714285
lsxp-JianMaSu-ZhanMaSu.xml_1,不由老夫咬钢牙，,3047607.228027176,0.0
lseh-XiRiLi-BaoLianDeng.xml_6,弟让兄来兄不能应（呐）允，,3077427.3286875836,0.14285714285714285
lsxp-ZouYingLong-DaYanSong.xml_12,罢、罢、罢，暂且忍却我的心头恨，,3236580.3929782896,0.0
lsxp-DaHeYi-SiLangTanMu.xml_20,见一番汉帐中行。,3280108.9896200737,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_24,哭一声爹娘不能相见，,3291532.420837206,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,3333197.8791921395,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,3355251.709040638,0.14285714285714285
lseh-XinZhongYou-WenZhaoGuan.xml_8,哭一声爹娘不能相见，,3358617.9860087084,0.14285714285714285
lsxp-LiangGuoJiao-ShiJieTing-1.xml_2,管待三（哪）军要宽厚，,3420821.815023972,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_22,贪图富贵来害我，,3440495.089744688,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,3443649.557546462,0.0
lsxp-WeiCengKai-QiYuanBao.xml_8,赵大夫妻图财害命害我一命亡，,3455842.4386552647,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,3515974.787159878,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_6,贪图富贵来害我，,3533356.652858919,0.14285714285714285
lseh-XinZhongYou-WenZhaoGuan.xml_13,想当初在朝为官宦，,3549039.9835443273,0.14285714285714285
lseh-YiLunMing-WenZhaoGuan-1.xml_29,想当初在朝为官宦，,3549039.9835443273,0.14285714285714285
sdxp-SuLongWei-WuJiaPo.xml_8,为军哪怕到官前。,3596999.237271335,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_8,你今舍了亲生子，,3602639.4516510502,0.0
lsxp-WeiCengKai-QiYuanBao.xml_1,尊一声太爷听端详。,3659636.077485472,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_3,两路分（呐）兵定咸阳。,3745435.094272781,0.0
lsxp-YiShiWu-YuCangJian.xml_1,叹光明一去不回还（呐）；,3766959.4334408487,0.0
lsxp-JiangShenEr-SanJiaDian.xml_6,舍不得太爷的恩情厚，,3793239.3047549366,0.0
lseh-ZiNaRi-HongYangDong.xml_7,去了我左右膀难以飞行。,3826490.17462902,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_4,幸遇那东皋公行方便，,3850332.633151323,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,3883770.608554334,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,3886906.8512205966,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,3966461.7138196607,0.0
daxp-ChunQiuTing-SuoLinNang.xml_2,在隔帘只见这一花轿，,3990287.5547505217,0.0
