眼见得红日坠落在西山后,1,眼见得红日坠落在西山后，
lseh-XiRiLi-BaoLianDeng.xml_11,留得美名万古存，,2602162.111355912,0.09090909090909091
lsxp-JiangShenEr-SanJiaDian.xml_14,眼见得红日坠落在西山后，,2800871.2837959495,1.0
lsxp-JiangShenEr-SanJiaDian.xml_6,舍不得太爷的恩情厚，,2873461.831865569,0.09090909090909091
sdxp-WoHeNi-SiLangTanMu.xml_8,我的娘押粮草来到北番。,2913586.3640456535,0.0
lsxp-JiangShenEr-SanJiaDian.xml_0,将身儿来至在大街口，,2929392.6409868402,0.09090909090909091
lseh-YiLunMing-WenZhaoGuan-1.xml_30,朝臣待漏（哇）五更寒，,3350718.8395691295,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_3,叫人难解巧机关。,3374384.459458576,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_19,叫人难解巧机关，,3428423.6792329964,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_14,朝臣待漏五更寒。,3431228.712241138,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,3466578.0740050306,0.0
lsxp-JiangShenEr-SanJiaDian.xml_12,儿想娘亲难叩首，,3958970.159104925,0.0
lsxp-JiangShenEr-SanJiaDian.xml_4,杨林与我来争斗，,4118511.7699879576,0.0
lseh-YangYanZhao-PengBei.xml_5,又恐怕惊动了年迈之人。,4129813.6230188,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,4380922.344554759,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_21,贼好比猛虎未（呀）曾长牙，,4413360.372953215,0.0
lseh-ZenNengGou-BaDaChui.xml_1,前后话对文龙细说衷情。,4501848.962106348,0.09090909090909091
lseh-YiLunMing-ZhuoFangCao-2.xml_4,吕伯奢可算得义气大，,4570911.498496211,0.09090909090909091
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,4638562.118246391,0.0
lseh-XiRiLi-BaoLianDeng.xml_10,首阳山前冻饿死（喏）。,4656069.631135736,0.09090909090909091
lseh-YiLunMing-ZhuoFangCao-1.xml_16,我只说贼是个宽宏量大，,4722863.727508542,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,4801420.978208534,0.0
lsxp-DaHeYi-SiLangTanMu.xml_23,本帅开言把他问，,4888867.361383011,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,4904499.413823336,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_9,来年必定降麒麟。,4923813.893711487,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,4965760.866929885,0.0
lsxp-ZouYingLong-DaYanSong.xml_12,罢、罢、罢，暂且忍却我的心头恨，,4970617.993305247,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_13,但愿得言听计从重整汉家邦、一同回故乡。,5060947.326463136,0.09090909090909091
lsxp-WeiCengKai-QiYuanBao.xml_5,贩卖绸缎转还乡。,5132395.19893816,0.0
lsxp-ZouYingLong-DaYanSong.xml_4,我问顽童啼哭因何故，,5180962.423509728,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_21,为何几日他不言。,5210269.019770894,0.09090909090909091
lseh-YiLunMing-ZhuoFangCao-1.xml_7,拔出剑将他的满门杀，,5312032.171402429,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,5312312.096905478,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,5416828.540060714,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,5485892.88006412,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_2,在长安是你夸大话，,5532548.285018573,0.09090909090909091
lseh-YiLunMing-ZhuoFangCao-2.xml_6,又谁知此贼的疑心太大，,5534616.645195231,0.0
lsxp-ZheYiFeng-DingJunShan.xml_1,天助黄忠成功劳。,5547771.6097931685,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,5552754.449150161,0.09090909090909091
lsxp-WoZhuYe-ZhuiHanXin.xml_10,项羽不遵怀王约，,5591476.102861558,0.0
sdxp-WoHeNi-SiLangTanMu.xml_4,誓不忘贤公主恩重如山。,5666790.5474713575,0.09090909090909091
lsxp-WeiCengKai-QiYuanBao.xml_3,姓刘名安字世昌。,5696651.349526124,0.0
lsxp-JiangShenEr-SanJiaDian.xml_10,娘生儿连心肉，,5703611.17056985,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_0,恨平王无道乱楚宫（兀），,5772055.905151221,0.0
