叫一声解差把店投,8,叫一声解差把店役。
lsxp-LiangGuoJiao-ShiJieTing-2.xml_0,两国交锋龙虎斗，,1866205.3335440222,0.0
lsxp-ZiGuDao-HuangHeLou.xml_2,曾记得当年赴河梁，,1947738.4387474004,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_4,此一番领（呃）兵去镇守，,2225560.518917071,0.125
lsxp-JiangShenEr-SanJiaDian.xml_5,因此上发配到登州。,2246314.0725611686,0.0
lseh-YangYanZhao-PengBei.xml_2,迈虎步我且把宝帐来进，,2266512.905293054,0.125
sdxp-WoHeNi-SiLangTanMu.xml_7,萧天佐摆天门两国交战，,2474099.2120507387,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_0,张公道三十五六（哇）子有靠，,2591435.581570516,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_2,管带三（呐）军要宽厚，,2600983.379990717,0.0
lsxp-JiangShenEr-SanJiaDian.xml_15,叫一声解差把店役。,2709305.8369183573,0.875
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,2748924.937654157,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_3,赏罚中公（呃）平莫要自由。,2855029.9298144723,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,2860832.3649545526,0.0
lsxp-ZheYiFeng-DingJunShan.xml_9,到明天午时三刻要成功劳。,2871783.269080523,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_1,各为其（呀）主统貔貅。,2895665.722622121,0.0
lsxp-DaHeYi-SiLangTanMu.xml_25,家住哪州并哪郡？,2913238.4155095373,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_13,哀求娘子（喏）舍亲（呐）生。,2928901.6226512594,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,2963135.508477867,0.125
lsxp-HenPingWang-WenZhaoGuan.xml_3,满门的家着血染红。,2990444.4900992718,0.0
