尊一声过往宾朋听从头,0,尊一声过往的宾朋听从头：
lsxp-JiangShenEr-SanJiaDian.xml_1,尊一声过往的宾朋听从头：,1963058.2790336325,1.0
lsxp-ShenGongWu-LongFengChengXiang.xml_0,深宫无（哇）处不飞花，,2263150.4162829295,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,2508051.0063229995,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,2668053.4277158123,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,2787828.3300984865,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,2913642.2293999526,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,3065274.749290825,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_0,两国交锋龙虎斗，,3076062.6019863468,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_2,管带三（呐）军要宽厚，,3099866.4941354953,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,3109619.598910394,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_13,哀求娘子（喏）舍亲（呐）生。,3224083.9971085303,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_11,我好比龙游在浅沙滩。,3253089.8464548057,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,3294485.7710194783,0.0
lsxp-ZiGuDao-HuangHeLou.xml_5,四将军保架料也无妨。,3300337.645090551,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,3302491.395419351,0.3
lsxp-DaHeYi-SiLangTanMu.xml_21,龙行虎步非凡等，,3356433.3514120644,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_4,此一番领（呃）兵去镇守，,3358027.2827068213,0.1
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,3379888.27662156,0.0
sdxp-WoHeNi-SiLangTanMu.xml_7,萧天佐摆天门两国交战，,3386029.1539936503,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,3388156.3735670215,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_0,张公道三十五六（哇）子有靠，,3388691.2899085325,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,3405453.198471192,0.0
sdxp-SuLongWei-WuJiaPo.xml_5,西凉川四十单八站，,3437927.2075038454,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_11,我好比龙游在浅沙滩。,3439710.7048546025,0.0
