娘生儿，连心肉,0,娘生儿连心肉，
lsxp-JiangShenEr-SanJiaDian.xml_10,娘生儿连心肉，,2741695.297103927,1.0
lsxp-WoZhuYe-ZhuiHanXin.xml_6,也是我主洪福广，,2985575.055828554,0.14285714285714285
lsxp-WoZhuYe-ZhuiHanXin.xml_2,怀王也曾把旨降，,3139234.9116940666,0.14285714285714285
lsxp-JiangShenEr-SanJiaDian.xml_4,杨林与我来争斗，,3545318.0653373045,0.14285714285714285
lsxp-JiangShenEr-SanJiaDian.xml_12,儿想娘亲难叩首，,3772665.302006458,0.42857142857142855
lsxp-WoZhuYe-ZhuiHanXin.xml_14,撩袍端带我把金殿上，,3784492.2963431664,0.14285714285714285
lseh-YiLunMing-ZhuoFangSuDian.xml_6,又谁知此贼的疑心（呐）太（呀）大，,3910896.140089572,0.2857142857142857
lsxp-ZouYingLong-DaYanSong.xml_2,那一日打从大街进，,3943292.340691131,0.14285714285714285
lsxp-WoZhuYe-ZhuiHanXin.xml_10,项羽不遵怀王约，,3944586.283387754,0.14285714285714285
lsxp-JiangShenEr-SanJiaDian.xml_0,将身儿来至在大街口，,4093400.5583188557,0.2857142857142857
lseh-YiLunMing-ZhuoFangCao-1.xml_20,贼好比蛟龙未生鳞甲，,4276550.104757763,0.2857142857142857
lseh-NiangZiBu-SouGuJiuGu.xml_11,不舍娇儿难救孤身。,4306472.23122121,0.14285714285714285
lseh-XiRiLi-BaoLianDeng.xml_1,伯夷叔齐二大贤人，,4721227.476801759,0.14285714285714285
lseh-LaoZhangBu-WuPenJi.xml_3,我本屈死一鬼魂。,4780589.071659147,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,5064042.431846807,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,5064042.431846807,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_9,年迈的老丈命（呐）染黄沙。,5079326.248225621,0.0
sdxp-SuLongWei-WuJiaPo.xml_42,买绫罗、做衣衫、买白纸、糊白幡、打首饰、做妆奁，,5198987.672161674,0.14285714285714285
lseh-XiRiLi-BaoLianDeng.xml_12,为父的怎比得孤竹君，,5315169.776382885,0.14285714285714285
lsxp-TingTaYan-ZhuoFangCao-1.xml_2,我先前只望他宽宏量（呃）大，,5672850.912803554,0.14285714285714285
lsxp-TingTaYan-ZhuoFangCao-2.xml_2,我先前只望他宽宏量（呃）大，,5672850.912803554,0.14285714285714285
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,5780713.934146645,0.14285714285714285
lseh-NiangZiBu-SouGuJiuGu.xml_8,你今舍了亲生子，,5785589.007227854,0.2857142857142857
lseh-YiLunMing-ZhuoFangCao-2.xml_6,又谁知此贼的疑心太大，,5842431.0747305695,0.2857142857142857
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,5881147.061463315,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,5955322.102862918,0.14285714285714285
lseh-YiLunMing-ZhuoFangCao-1.xml_13,越思越想把事来作差。,5998774.87630052,0.0
lseh-ZenNengGou-BaDaChui.xml_1,前后话对文龙细说衷情。,6029842.144537205,0.0
lsxp-JiangShenEr-SanJiaDian.xml_6,舍不得太爷的恩情厚，,6091922.00636237,0.14285714285714285
lseh-YiLunMing-ZhuoFangCao-2.xml_4,吕伯奢可算得义气大，,6120654.976093312,0.14285714285714285
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,6192978.108953726,0.14285714285714285
lsxp-JiangShenEr-SanJiaDian.xml_3,二不是歹人（呐）把城偷。,6193622.3442075215,0.0
lseh-ZiNaRi-HongYangDong.xml_4,二次（喏）里命孟良番营来进，,6277661.457503878,0.14285714285714285
lseh-YiLunMing-ZhuoFangCao-1.xml_9,年迈的老丈命（呐）染黄沙。,6293110.64161332,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,6368204.11279733,0.0
lseh-XiRiLi-BaoLianDeng.xml_8,那伯夷出午门无（哇）有踪（呃）影，,6395950.194966634,0.14285714285714285
lseh-NiangZiBu-SouGuJiuGu.xml_9,来年必定降麒麟。,6440053.815000214,0.0
sdxp-SuLongWei-WuJiaPo.xml_16,送与大嫂把家安。,6520386.517765757,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_6,又谁知此贼的疑心（呐）太（呀）大，,6565274.391563954,0.2857142857142857
daxp-ErTingDe-SuoLinNang.xml_26,这都是神话凭空造，,6571179.86722694,0.14285714285714285
lseh-ZiNaRi-HongYangDong.xml_5,又谁知焦克明他私（呀）自后跟（呐），,6582139.035606553,0.14285714285714285
lseh-TuZeiZuo-SouGuJiuGu.xml_1,诬杀赵家一满门。,6720801.259068156,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,6760786.347410616,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,6796577.643314687,0.14285714285714285
lseh-XiRiLi-BaoLianDeng.xml_10,首阳山前冻饿死（喏）。,6935968.979445774,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,6951331.308340755,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,6981737.071336566,0.14285714285714285
lseh-XiRiLi-BaoLianDeng.xml_6,弟让兄来兄不能应（呐）允，,7022342.512134627,0.14285714285714285
lsxp-WoZhuYe-ZhuiHanXin.xml_13,但愿得言听计从重整汉家邦、一同回故乡。,7102341.486241559,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_3,大事还要问程婴。,7105384.9735529125,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_7,拔出剑将他的满门杀，,7145027.275343262,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,7158363.341662295,0.0
lsxp-ZouYingLong-DaYanSong.xml_12,罢、罢、罢，暂且忍却我的心头恨，,7166419.291470816,0.2857142857142857
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,7179912.8942051325,0.14285714285714285
lseh-LaoZhangBu-WuPenJi.xml_7,望求老丈把冤伸。,7200630.320938963,0.0
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,7220228.033856515,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_4,幸遇那东皋公行方便，,7226813.148587189,0.14285714285714285
lseh-YiLunMing-WenZhaoGuan-1.xml_6,一连几天我的眉不（哇）展，,7287974.668070188,0.2857142857142857
lseh-YiLunMing-ZhuoFangCao-1.xml_16,我只说贼是个宽宏量大，,7308172.806904465,0.14285714285714285
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,7422065.0744842235,0.14285714285714285
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,7425478.379490128,0.14285714285714285
lseh-YiLunMing-WenZhaoGuan-2.xml_4,幸遇那东皋公行方便，,7537333.552251868,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,7658580.924896249,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_3,叫人难解巧机关。,7692607.485263141,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_7,拔出剑将他的满门杀。,7699271.391692467,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_5,杀猪（喏）沽（哇）酒款待于他，,7712188.223730612,0.14285714285714285
lseh-YiLunMing-WenZhaoGuan-2.xml_6,一连几天我的眉不（呃）展，,7712402.49924848,0.2857142857142857
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,7719478.72807952,0.0
lsxp-ZouYingLong-DaYanSong.xml_4,我问顽童啼哭因何故，,7753647.926427927,0.14285714285714285
sdxp-SuLongWei-WuJiaPo.xml_41,与你娘做一个安家钱。,7760120.466114819,0.14285714285714285
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,7795465.944107668,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,7912057.788748119,0.14285714285714285
