儿行千里母担忧,0,儿行千里母担忧。
lsxp-JiangShenEr-SanJiaDian.xml_11,儿行千里母担忧。,1969338.0770968557,1.0
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,2161153.9526798017,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_4,叫焦赞将宝剑悬挂帐外，,2199064.0623556757,0.0
lsxp-WeiCengKai-QiYuanBao.xml_3,姓刘名安字世昌。,2318433.633820406,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,2534983.83968026,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,2753410.3717776123,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,2832143.5062010977,0.14285714285714285
sdxp-DangNianHan-SanJiZhang.xml_11,淮阴漂母救韩信，,2854048.700595842,0.14285714285714285
lsxp-WeiCengKai-QiYuanBao.xml_5,贩卖绸缎转还乡。,2860961.252098523,0.0
lsxp-WeiCengKai-QiYuanBao.xml_0,未曾开言泪汪汪，,2915805.5883981525,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,3009227.4178289357,0.0
lsxp-QingGongYan-FaDongWu.xml_0,庆功宴上把酒饮，,3227715.9223717735,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_0,此时间不可闹笑话，,3229436.7409021757,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_0,自从千岁离朝后，,3245340.892983502,0.14285714285714285
lsxp-WeiCengKai-QiYuanBao.xml_7,借宿一宵起祸殃。,3252647.247370306,0.0
lsxp-YiShiWu-YuCangJian.xml_2,日月轮流催晓（哇）箭，,3289923.5795691507,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,3376165.984895594,0.0
lsxp-DaHeYi-SiLangTanMu.xml_1,大喝一声（哪）如雷震，,3393085.331227686,0.0
sdxp-SuLongWei-WuJiaPo.xml_20,为何来在大道边。,3465756.413571118,0.0
lsxp-DaHeYi-SiLangTanMu.xml_5,弟兄们分别十五春，,3482798.7417217433,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,3495865.831342332,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_0,两国交（哇）锋龙虎斗，,3520474.5311075533,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_19,父母的冤仇化尘烟，,3549119.6546830414,0.14285714285714285
lsxp-LiangGuoJiao-ShiJieTing-1.xml_2,管待三（哪）军要宽厚，,3622097.1341613005,0.0
sdxp-SuLongWei-WuJiaPo.xml_7,大嫂说话礼不端，,3623435.87659276,0.0
lsxp-ZouYingLong-DaYanSong.xml_8,上面坐的是有道君，,3664379.4980889754,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,3672451.646403085,0.0
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,3745460.1048760084,0.0
daxp-FeiShiWo-TaoHuaCun.xml_9,你必须眼观六路耳听八方。,3753557.2133107707,0.0
lsxp-JianMaSu-ZhanMaSu.xml_3,失去了街亭差不差。,3803208.5492492765,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,3815200.700099836,0.0
lsxp-YiShiWu-YuCangJian.xml_4,恨平王无道纲常乱，,3869000.327306381,0.0
lsxp-DaHeYi-SiLangTanMu.xml_29,众将与爷忙掩（哪）门，,3882736.6773314415,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,3886064.208785774,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,3895327.0233043632,0.14285714285714285
sdxp-SuLongWei-WuJiaPo.xml_22,一马双跨到西凉。,3937810.74270528,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_7,拔出剑将他的满门杀，,4003434.7915698877,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,4004624.6252046246,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,4009359.691444021,0.0
lsxp-ZheYiFeng-DingJunShan.xml_0,这一封（呃）书信来得巧，,4014197.9928153516,0.0
sdxp-DangNianHan-SanJiZhang.xml_6,句句话儿伤父心。,4058435.4091141596,0.14285714285714285
lseh-YiLunMing-WenZhaoGuan-1.xml_35,父母的冤仇化尘烟，,4060041.2077370356,0.14285714285714285
lsxp-QingGongYan-FaDongWu.xml_3,又谁知中途两离分。,4091838.188915767,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,4092217.078347033,0.14285714285714285
lseh-XiRiLi-BaoLianDeng.xml_11,留得美名万古存，,4103701.5382750756,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_0,此时间不可闹笑话，,4108253.9723285157,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_5,为何几日他不言，,4179070.0678570685,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,4188363.164689671,0.0
lseh-WeiKaiYan-RangXuZhou.xml_5,救生灵（呐）积阴（呐）功也免得我坐卧不宁。,4193249.836622664,0.0
