儿想娘亲难叩首,0,儿想娘亲难叩首，
lsxp-JiangShenEr-SanJiaDian.xml_12,儿想娘亲难叩首，,2054132.7547537577,1.0
lseh-XiRiLi-BaoLianDeng.xml_10,首阳山前冻饿死（喏）。,2241601.298525414,0.14285714285714285
lseh-ZiNaRi-HongYangDong.xml_4,二次（喏）里命孟良番营来进，,2702325.329633239,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_13,越思越想把事来作差。,3341875.614790212,0.14285714285714285
sdxp-SuLongWei-WuJiaPo.xml_16,送与大嫂把家安。,3382792.6566496,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,3625283.9379789936,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_20,贼好比蛟龙未生鳞甲，,3629269.8149703722,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_5,右手再把栾布拉。,3685265.6111710616,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,3717771.2290411466,0.0
lseh-YangYanZhao-PengBei.xml_3,又只见老爹爹瞌睡沉沉。,3787322.4962868183,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,3795825.9183386154,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_14,撩袍端带我把金殿上，,3855213.678539303,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,3984294.9385986878,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_9,年迈的老丈命（呐）染黄沙。,4084093.14593365,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,4104217.266942188,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,4142489.079796113,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_10,项羽不遵怀王约，,4283559.778855516,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_16,我只说贼是个宽宏量大，,4302607.769358248,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,4364330.474673353,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_9,年迈老丈命染黄沙。,4387554.190429582,0.0
lseh-XiRiLi-BaoLianDeng.xml_11,留得美名万古存，,4476784.640063757,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_0,此时间不可闹笑话，,4512754.898957204,0.0
