娘想儿来泪双流,14,娘想儿来泪双流。
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,2122201.3836558713,0.0
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,2965809.101406631,0.14285714285714285
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,3018799.3318252903,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,3097663.553892778,0.14285714285714285
lseh-XiRiLi-BaoLianDeng.xml_6,弟让兄来兄不能应（呐）允，,3263117.2582315034,0.14285714285714285
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,3476254.9972130554,0.0
lsxp-DaHeYi-SiLangTanMu.xml_20,见一番汉帐中行。,3665273.060240861,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_30,朝臣待漏（哇）五更寒，,3670766.8877695506,0.0
lsxp-DaHeYi-SiLangTanMu.xml_13,十五年前沙滩会，,3736814.2776765334,0.0
lsxp-DaHeYi-SiLangTanMu.xml_3,迈步且把宝帐（呀）进，,3839216.692853415,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,3873579.001517441,0.0
lsxp-JianMaSu-ZhanMaSu.xml_1,不由老夫咬钢牙，,3906335.508203621,0.0
lsxp-ZouYingLong-DaYanSong.xml_4,我问顽童啼哭因何故，,4072819.2253424563,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,4083306.21010094,0.0
lsxp-JiangShenEr-SanJiaDian.xml_13,娘想儿来泪双流。,4188041.4824193637,1.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,4209978.940650848,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,4214382.373628012,0.14285714285714285
lsxp-LiangGuoJiao-ShiJieTing-1.xml_2,管待三（哪）军要宽厚，,4251487.6403790545,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_22,贪图富贵来害我，,4339741.668022291,0.14285714285714285
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,4385740.753167288,0.14285714285714285
lseh-XinZhongYou-WenZhaoGuan.xml_6,贪图富贵来害我，,4520471.722068304,0.14285714285714285
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,4537624.048375146,0.2857142857142857
lsxp-WeiCengKai-QiYuanBao.xml_8,赵大夫妻图财害命害我一命亡，,4604477.773843643,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_8,哭一声爹娘不能相见，,4646334.991598609,0.14285714285714285
lsxp-DaHeYi-SiLangTanMu.xml_31,走上前来忙松捆，,4664226.400174713,0.14285714285714285
lseh-YiLunMing-WenZhaoGuan-1.xml_24,哭一声爹娘不能相见，,4709937.633701067,0.14285714285714285
lsxp-YiShiWu-YuCangJian.xml_8,实指（喏）望到吴国借兵（呐）转，,4716131.021217831,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_6,一连几天我的眉不（哇）展，,4791055.893098074,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,4791941.07753623,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,4840278.2987849135,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,4910886.130791492,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_1,诬杀赵家一满门。,4947875.2429720275,0.0
lseh-XiRiLi-BaoLianDeng.xml_1,伯夷叔齐二大贤人，,4950725.481138961,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_14,朝臣待漏五更寒。,4966496.003886885,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_13,想当初在朝为官宦，,5027058.647730196,0.14285714285714285
lseh-YiLunMing-WenZhaoGuan-1.xml_29,想当初在朝为官宦，,5027058.647730196,0.14285714285714285
lseh-YiLunMing-WenZhaoGuan-1.xml_4,幸遇那东皋公行方便，,5047800.567507271,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_11,不舍娇儿难救孤身。,5071978.510069883,0.14285714285714285
lsxp-JiangShenEr-SanJiaDian.xml_6,舍不得太爷的恩情厚，,5073115.916128419,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,5092031.037911979,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_11,反将我主贬汉王。,5093176.89029606,0.0
lsxp-ZouYingLong-DaYanSong.xml_12,罢、罢、罢，暂且忍却我的心头恨，,5130633.908730915,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,5142367.403897862,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_3,两路分（呐）兵定咸阳。,5150867.353302804,0.0
sdxp-SuLongWei-WuJiaPo.xml_15,这锭银、三两三，,5167268.343998714,0.0
sdxp-SuLongWei-WuJiaPo.xml_8,为军哪怕到官前。,5175095.40130631,0.0
lseh-LaoZhangBu-WuPenJi.xml_3,我本屈死一鬼魂。,5201963.908957929,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_2,赵屠二家有仇恨，,5245526.596600691,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_3,老薛保好一似浪里舟船。,5309242.845267896,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_1,老娘亲为什么不讲情来？,5327260.8047260875,0.2857142857142857
lseh-NiangZiBu-SouGuJiuGu.xml_8,你今舍了亲生子，,5331637.610652258,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_1,拔剑斩蛇天下扬。,5352536.159408633,0.0
lseh-ZiNaRi-HongYangDong.xml_5,又谁知焦克明他私（呀）自后跟（呐），,5360309.080164895,0.0
