眼见得红日坠落在西山后,19,眼见得红日坠落在西山后，
lsxp-JiangShenEr-SanJiaDian.xml_0,将身儿来至在大街口，,1793263.1348678079,0.09090909090909091
lseh-YiLunMing-WenZhaoGuan-1.xml_30,朝臣待漏（哇）五更寒，,2335327.6933673127,0.0
lsxp-JiangShenEr-SanJiaDian.xml_6,舍不得太爷的恩情厚，,2394981.6193674053,0.09090909090909091
lseh-XinZhongYou-WenZhaoGuan.xml_3,叫人难解巧机关。,2472084.427425074,0.0
lseh-XiRiLi-BaoLianDeng.xml_11,留得美名万古存，,2498376.2512395894,0.09090909090909091
lsxp-JiangShenEr-SanJiaDian.xml_12,儿想娘亲难叩首，,2535321.083093627,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_14,朝臣待漏五更寒。,2578283.7020237744,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_19,叫人难解巧机关，,2623319.831305924,0.0
lsxp-JiangShenEr-SanJiaDian.xml_4,杨林与我来争斗，,2929893.886319026,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_21,贼好比猛虎未（呀）曾长牙，,3256436.099099541,0.0
sdxp-WoHeNi-SiLangTanMu.xml_8,我的娘押粮草来到北番。,3314285.876819124,0.0
lseh-ZenNengGou-BaDaChui.xml_1,前后话对文龙细说衷情。,3463817.7373404657,0.09090909090909091
sdxp-WoHeNi-SiLangTanMu.xml_4,誓不忘贤公主恩重如山。,3470473.945034354,0.09090909090909091
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,3472110.936031937,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,3488028.6891688416,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_10,项羽不遵怀王约，,3651419.1470516925,0.0
lseh-YangYanZhao-PengBei.xml_5,又恐怕惊动了年迈之人。,3780228.2621556157,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,3878046.2196803177,0.0
lsxp-ZouYingLong-DaYanSong.xml_12,罢、罢、罢，暂且忍却我的心头恨，,3898913.394880385,0.0
lsxp-JiangShenEr-SanJiaDian.xml_14,眼见得红日坠落在西山后，,3924097.8601811556,1.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,3977895.995219857,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_21,为何几日他不言。,4027794.8266336755,0.09090909090909091
lseh-YiLunMing-ZhuoFangCao-2.xml_6,又谁知此贼的疑心太大，,4174369.937290344,0.0
lseh-XiRiLi-BaoLianDeng.xml_10,首阳山前冻饿死（喏）。,4251868.715432025,0.09090909090909091
lseh-NiangZiBu-SouGuJiuGu.xml_11,不舍娇儿难救孤身。,4298786.932279275,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_1,诬杀赵家一满门。,4353050.812248991,0.0
lseh-LaoZhangBu-WuPenJi.xml_7,望求老丈把冤伸。,4365778.599590413,0.0
lsxp-JiangShenEr-SanJiaDian.xml_10,娘生儿连心肉，,4397432.827276297,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_4,吕伯奢可算得义气大，,4439154.548939424,0.09090909090909091
lsxp-CiShiJian-HuaiHeYing-1.xml_2,在长安是你夸大话，,4522402.017000744,0.09090909090909091
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,4614663.530136108,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_9,来年必定降麒麟。,4694371.623110537,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,4771648.027078883,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,4787170.97570012,0.09090909090909091
lsxp-JiangShenEr-SanJiaDian.xml_3,二不是歹人（呐）把城偷。,4794059.007020833,0.0
daxp-XiRiLi-LongFengChengXiang.xml_4,月老本是乔国丈，,4857190.761627593,0.0
lsxp-ZouYingLong-DaYanSong.xml_4,我问顽童啼哭因何故，,4949342.307719755,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,4972531.040792693,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,4979212.770348173,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_13,但愿得言听计从重整汉家邦、一同回故乡。,4986991.754257786,0.09090909090909091
lsxp-CiShiJian-HuaiHeYing-2.xml_2,在长安是你夸大话，,5012593.09160706,0.09090909090909091
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,5019559.9259785265,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_6,又谁知此贼的疑心（呐）太（呀）大，,5026575.032995305,0.0
lsxp-DaHeYi-SiLangTanMu.xml_23,本帅开言把他问，,5037230.16752759,0.0
lsxp-DaHeYi-SiLangTanMu.xml_13,十五年前沙滩会，,5039940.773717175,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_4,贼好比王莽贼称孤道寡，,5060861.671251055,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_7,拔出剑将他的满门杀，,5138572.924797323,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_6,也是我主洪福广，,5205486.566118755,0.0
lseh-LaoZhangBu-WuPenJi.xml_3,我本屈死一鬼魂。,5280564.0648386385,0.0
lseh-XiRiLi-BaoLianDeng.xml_1,伯夷叔齐二大贤人，,5280752.00445906,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_5,右手再把栾布拉。,5281785.756915901,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,5447296.624654924,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,5532614.46824682,0.09090909090909091
lsxp-ZouYingLong-DaYanSong.xml_2,那一日打从大街进，,5571974.293598146,0.09090909090909091
daxp-DangRiLi-SuoLinNang.xml_20,这囊儿虽非是千古罕见，,5618084.497580072,0.09090909090909091
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,5628330.681018273,0.09090909090909091
lsxp-ZheYiFeng-DingJunShan.xml_1,天助黄忠成功劳。,5654352.593927722,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_2,怀王也曾把旨降，,5657980.755675981,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_14,撩袍端带我把金殿上，,5747960.5988238435,0.0
lseh-XiRiLi-BaoLianDeng.xml_8,那伯夷出午门无（哇）有踪（呃）影，,5751227.290553002,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_16,我只说贼是个宽宏量大，,5757722.761231983,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,5764326.737997553,0.0
