是响马并贼寇,110,一不是响马与贼寇，
lsxp-WoZhuYe-ZhuiHanXin.xml_14,撩袍端带我把金殿上，,2449609.3788672523,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_2,怀王也曾把旨降，,3123569.009276256,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_6,也是我主洪福广，,3178968.354426681,0.16666666666666666
lsxp-JiangShenEr-SanJiaDian.xml_12,儿想娘亲难叩首，,3302316.797042453,0.0
lsxp-JiangShenEr-SanJiaDian.xml_4,杨林与我来争斗，,3333787.9180327435,0.0
lseh-ZenNengGou-BaDaChui.xml_1,前后话对文龙细说衷情。,3339090.4576862627,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_11,不舍娇儿难救孤身。,3450958.0406959276,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_10,项羽不遵怀王约，,3643056.228780238,0.0
lsxp-ZouYingLong-DaYanSong.xml_2,那一日打从大街进，,3915847.2016072352,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_16,我只说贼是个宽宏量大，,4078102.1991242166,0.3333333333333333
lseh-YiLunMing-ZhuoFangCao-1.xml_20,贼好比蛟龙未生鳞甲，,4116446.5680821086,0.16666666666666666
lsxp-JiangShenEr-SanJiaDian.xml_10,娘生儿连心肉，,4297851.472886407,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_13,越思越想把事来作差。,4322196.487151995,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_6,又谁知此贼的疑心（呐）太（呀）大，,4361633.718938807,0.16666666666666666
lseh-YiLunMing-ZhuoFangSuDian.xml_9,年迈的老丈命（呐）染黄沙。,4363288.795821512,0.0
lsxp-JiangShenEr-SanJiaDian.xml_6,舍不得太爷的恩情厚，,4400422.203026343,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,4607576.783293991,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_4,吕伯奢可算得义气大，,4642746.750161951,0.0
lsxp-JiangShenEr-SanJiaDian.xml_0,将身儿来至在大街口，,4888620.236292739,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,4940013.923496508,0.16666666666666666
lseh-YiLunMing-ZhuoFangCao-2.xml_6,又谁知此贼的疑心太大，,4964512.854459111,0.16666666666666666
lseh-LaoZhangBu-WuPenJi.xml_3,我本屈死一鬼魂。,5057309.718348306,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_3,叫人难解巧机关。,5067889.655773316,0.0
lsxp-ZouYingLong-DaYanSong.xml_7,站立在殿角用目来观定，,5109351.756469964,0.0
lseh-XiRiLi-BaoLianDeng.xml_12,为父的怎比得孤竹君，,5711690.27638634,0.0
lseh-XiRiLi-BaoLianDeng.xml_10,首阳山前冻饿死（喏）。,5717875.942860309,0.0
lseh-ZiNaRi-HongYangDong.xml_4,二次（喏）里命孟良番营来进，,5919483.19266167,0.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,5949811.023493874,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_19,叫人难解巧机关，,5987006.435040118,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_9,年迈的老丈命（呐）染黄沙。,6017934.027217213,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_9,来年必定降麒麟。,6049552.579014107,0.0
lsxp-JiangShenEr-SanJiaDian.xml_14,眼见得红日坠落在西山后，,6064293.56556496,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,6080212.534978891,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,6080212.534978891,0.0
lseh-XiRiLi-BaoLianDeng.xml_4,那叔齐分长幼不能担任，,6108171.795447808,0.0
sdxp-WoHeNi-SiLangTanMu.xml_8,我的娘押粮草来到北番。,6134017.326560806,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_4,母女隔断三千里，,6206139.5520647885,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_3,大事还要问程婴。,6221263.711723472,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,6324860.808917025,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,6395261.624908144,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_14,愿天下有情人都成姻眷，,6405492.610248557,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_9,年迈老丈命染黄沙。,6530063.539061912,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_2,我先前只望他宽宏量（呃）大，,6572120.061675294,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_2,我先前只望他宽宏量（呃）大，,6572120.061675294,0.0
lseh-XiRiLi-BaoLianDeng.xml_8,那伯夷出午门无（哇）有踪（呃）影，,6638034.62678354,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,6689488.846422668,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_6,一连几天我的眉不（哇）展，,6699350.634219086,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_30,朝臣待漏（哇）五更寒，,6755813.984231126,0.0
lsxp-YiShiWu-YuCangJian.xml_9,行至在昭关有阻拦。,6789574.814859305,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,6847581.685191666,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_7,拔出剑将他的满门杀，,6881771.632186011,0.0
sdxp-SuLongWei-WuJiaPo.xml_16,送与大嫂把家安。,6882239.292282792,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_14,朝臣待漏五更寒。,6949689.406558683,0.0
lsxp-ZouYingLong-DaYanSong.xml_12,罢、罢、罢，暂且忍却我的心头恨，,6982882.750817085,0.0
lsxp-JiangShenEr-SanJiaDian.xml_3,二不是歹人（呐）把城偷。,6984931.794226903,0.16666666666666666
lsxp-DaHeYi-SiLangTanMu.xml_23,本帅开言把他问，,7008860.637989814,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,7107674.124721942,0.16666666666666666
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,7132812.204928071,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_6,一连几天我的眉不（呃）展，,7152029.473404752,0.0
sdxp-WoHeNi-SiLangTanMu.xml_9,我有心回宋营见母一面，,7175109.284082896,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,7237860.203663185,0.0
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,7303895.342065212,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_13,但愿得言听计从重整汉家邦、一同回故乡。,7316011.512708018,0.0
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,7394733.797654721,0.0
sdxp-WoHeNi-SiLangTanMu.xml_3,杨廷辉有一日愁眉得展，,7428761.384385206,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,7555418.745397428,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_0,恨平王无道乱楚宫（兀），,7606338.025316466,0.0
lseh-XiRiLi-BaoLianDeng.xml_6,弟让兄来兄不能应（呐）允，,7641175.766868265,0.0
daxp-ChunQiuTing-SuoLinNang.xml_14,莫不是夫郎丑难谐女貌？,7694773.152658822,0.16666666666666666
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,7703580.8777034525,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_3,两路分（呐）兵定咸阳。,7708595.013919773,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_25,险些儿把事（喏）又（哇）作差。,7755002.119326519,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,7758072.516125234,0.0
lseh-LaoZhangBu-WuPenJi.xml_7,望求老丈把冤伸。,7775434.073522614,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_4,幸遇那东皋公行方便，,7844205.911172155,0.0
