二不是歹人把城偷,0,二不是歹人（呐）把城偷。
lsxp-JiangShenEr-SanJiaDian.xml_3,二不是歹人（呐）把城偷。,1189471.9199675624,1.0
lseh-LaoZhangBu-WuPenJi.xml_3,我本屈死一鬼魂。,1354646.3252375403,0.0
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,2596211.78694473,0.125
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,2653842.9575550794,0.125
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,2776045.110129864,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,2929636.6571562653,0.125
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,3178665.2573023573,0.0
lseh-XiRiLi-BaoLianDeng.xml_6,弟让兄来兄不能应（呐）允，,3182122.115294143,0.125
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,3188345.823133558,0.125
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,3268738.7861495195,0.0
sdxp-SuLongWei-WuJiaPo.xml_15,这锭银、三两三，,3270069.437916996,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,3317962.625036077,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,3331124.9968498433,0.125
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,3462527.8407170097,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,3492538.271273995,0.25
lsxp-DaHeYi-SiLangTanMu.xml_13,十五年前沙滩会，,3555653.022832802,0.0
lsxp-JiangShenEr-SanJiaDian.xml_6,舍不得太爷的恩情厚，,3586623.647096031,0.125
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,3611681.6731339176,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_8,一家人倶丧在宝剑之（喏）下，,3662206.213640935,0.125
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,3674608.7386235003,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_5,后进咸阳扶保在朝纲。,3746614.520435576,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,3760529.956137247,0.125
lsxp-ZheYiFeng-DingJunShan.xml_1,天助黄忠成功劳。,3781919.048337069,0.0
