杨林与我来争斗,0,杨林与我来争斗，
lsxp-JiangShenEr-SanJiaDian.xml_4,杨林与我来争斗，,2314146.219030822,1.0
lsxp-JiangShenEr-SanJiaDian.xml_12,儿想娘亲难叩首，,3800172.4295905586,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_10,项羽不遵怀王约，,3971016.7270182758,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_11,不舍娇儿难救孤身。,4424155.848619646,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_6,也是我主洪福广，,4521874.187331783,0.14285714285714285
lseh-YiLunMing-WenZhaoGuan-1.xml_30,朝臣待漏（哇）五更寒，,4600111.262220144,0.0
lsxp-JiangShenEr-SanJiaDian.xml_10,娘生儿连心肉，,4863222.224547196,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_14,愿天下有情人都成姻眷，,4996102.869362398,0.0
lsxp-ZouYingLong-DaYanSong.xml_2,那一日打从大街进，,5056755.400218134,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_3,叫人难解巧机关。,5263875.9346823655,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_6,又谁知此贼的疑心太大，,5363016.999777125,0.0
lsxp-JiangShenEr-SanJiaDian.xml_6,舍不得太爷的恩情厚，,5363354.203639737,0.0
lseh-ZenNengGou-BaDaChui.xml_1,前后话对文龙细说衷情。,5441181.166589271,0.0
lseh-LaoZhangBu-WuPenJi.xml_3,我本屈死一鬼魂。,5530468.13525238,0.14285714285714285
lsxp-WoZhuYe-ZhuiHanXin.xml_2,怀王也曾把旨降，,5626323.45180317,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_6,又谁知此贼的疑心（呐）太（呀）大，,5681378.577467815,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_19,叫人难解巧机关，,5768229.372407683,0.0
lsxp-JiangShenEr-SanJiaDian.xml_0,将身儿来至在大街口，,5790849.379627759,0.14285714285714285
