因此上发配到登洲,0,因此上发配到登州。
lsxp-JiangShenEr-SanJiaDian.xml_5,因此上发配到登州。,870304.0384417644,0.875
sdxp-WoHeNi-SiLangTanMu.xml_18,将身跪在地平川。,1261179.9887570238,0.0
sdxp-WoHeNi-SiLangTanMu.xml_11,公主虽然不阻拦，,1469853.421426217,0.0
lsxp-DaHeYi-SiLangTanMu.xml_9,家住后山磁州郡，,1470099.1721497322,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_19,父母的冤仇化尘烟，,1599885.4104094538,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_2,管待三（哪）军要宽厚，,1691064.880156373,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_0,自从千岁离朝后，,1736374.0045141287,0.0
sdxp-WoHeNi-SiLangTanMu.xml_19,我若探母不回转，,1752292.9709948804,0.0
sdxp-WoHeNi-SiLangTanMu.xml_7,萧天佐摆天门两国交战，,1828692.5837507325,0.0
daxp-ChunQiuTing-SuoLinNang.xml_32,小小囊儿何足道，,1850860.952139324,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_35,父母的冤仇化尘烟，,1910017.5703375263,0.0
sdxp-WoHeNi-SiLangTanMu.xml_13,公主赠我的金鈚箭，,1924927.9252705742,0.0
lsxp-ZouYingLong-DaYanSong.xml_13,在品级台（呀）前臣见君。,1935957.2649337372,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_22,贪图富贵来害我，,1943725.2602188322,0.0
sdxp-WoHeNi-SiLangTanMu.xml_1,我和你好夫妻恩德不浅，,1953690.5995173713,0.0
lsxp-DaHeYi-SiLangTanMu.xml_1,大喝一声（哪）如雷震，,1978665.3080621555,0.0
daxp-ErTingDe-SuoLinNang.xml_30,小小囊儿何足道，,1985343.0763845635,0.0
lseh-XuMaoGong-QinQiongFaPei.xml_0,徐茂公阴阳多奥妙，,2016186.5016632963,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_24,哭一声爹娘不能相见，,2038847.5090850636,0.0
lsxp-DaHeYi-SiLangTanMu.xml_5,弟兄们分别十五春，,2040117.101732417,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_0,此时间不可闹笑话，,2043331.7336039261,0.125
lseh-XinZhongYou-WenZhaoGuan.xml_6,贪图富贵来害我，,2060003.092780403,0.0
lsxp-YiShiWu-YuCangJian.xml_8,实指（喏）望到吴国借兵（呐）转，,2080456.8832127084,0.125
lsxp-JiangShenEr-SanJiaDian.xml_15,叫一声解差把店役。,2083246.7723549453,0.0
lsxp-DaHeYi-SiLangTanMu.xml_3,迈步且把宝帐（呀）进，,2096371.93783455,0.0
lsxp-DaHeYi-SiLangTanMu.xml_14,失落番邦被贼擒。,2150198.5955337742,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_0,两国交（哇）锋龙虎斗，,2162620.5008486267,0.0
lsxp-ZouYingLong-DaYanSong.xml_8,上面坐的是有道君，,2172992.696064579,0.125
lseh-NiangZiBu-SouGuJiuGu.xml_13,哀求娘子（喏）舍亲（呐）生。,2207510.4802864045,0.0
lseh-YangYanZhao-PengBei.xml_2,迈虎步我且把宝帐来进，,2208866.246462147,0.0
lsxp-DaHeYi-SiLangTanMu.xml_27,听罢言来才知情，,2223628.455001945,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_2,眼见得忠良无救应，,2245161.4143266897,0.0
lsxp-ZiGuDao-HuangHeLou.xml_2,曾记得当年赴河梁，,2249979.4874351863,0.0
sdxp-WoHeNi-SiLangTanMu.xml_20,黄沙盖脸尸骨不全。,2253754.0107650883,0.0
lsxp-YiShiWu-YuCangJian.xml_0,一事无成两鬓斑，,2280556.0014213566,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_0,此时间不可闹笑话，,2287062.342565063,0.125
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,2289603.4238735135,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_0,两国交锋龙虎斗，,2339424.9884748273,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_2,管带三（呐）军要宽厚，,2369570.352481789,0.0
lsxp-DaHeYi-SiLangTanMu.xml_29,众将与爷忙掩（哪）门，,2392829.736584982,0.0
lsxp-ZheYiFeng-DingJunShan.xml_6,向前各各有赏犒，,2404886.488152622,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,2408038.230143345,0.0
sdxp-SuLongWei-WuJiaPo.xml_20,为何来在大道边。,2480348.0702386787,0.0
