实难舍街坊四邻与我的 好朋友,0,实难舍街坊四邻与我的好朋友，
lsxp-JiangShenEr-SanJiaDian.xml_8,实难舍街坊四邻与我的好朋友，,1429004.066834217,0.9285714285714286
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,2622106.8921464896,0.0
sdxp-SuLongWei-WuJiaPo.xml_16,送与大嫂把家安。,2629392.560287871,0.07142857142857142
lseh-XiRiLi-BaoLianDeng.xml_10,首阳山前冻饿死（喏）。,2903304.1764437826,0.0
sdxp-WoHeNi-SiLangTanMu.xml_8,我的娘押粮草来到北番。,3078843.2991264956,0.14285714285714285
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,3281480.3989144466,0.07142857142857142
lsxp-CiShiJian-HuaiHeYing-2.xml_2,在长安是你夸大话，,3336652.921304412,0.0
lsxp-ZheYiFeng-DingJunShan.xml_1,天助黄忠成功劳。,3389519.4167596684,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,3471245.120099868,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_12,我好（呃）比鱼儿吞了钩线，,3575598.6055980013,0.14285714285714285
lsxp-DaHeYi-SiLangTanMu.xml_19,本帅帐中用目睁，,3579036.7652943293,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_4,怒气不息在机房闷坐，,3607297.0028152117,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,3614803.4036020944,0.07142857142857142
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,3658263.5855078823,0.0
daxp-DangRiLi-SuoLinNang.xml_10,于归日理应当喜形于面，,3710409.5201068753,0.0
lsxp-JiangShenEr-SanJiaDian.xml_3,二不是歹人（呐）把城偷。,3819305.9518809826,0.0
daxp-QiaoLouShang-HuangShanLei.xml_14,我不免唤琏儿到街前探问，,3920060.2650460647,0.14285714285714285
lsxp-ZouYingLong-DaYanSong.xml_3,偶遇见小小的顽童放悲声，,3926449.871977641,0.07142857142857142
lseh-YiLunMing-WenZhaoGuan-1.xml_12,我好（哇）比鱼儿吞了钩线，,3976671.849584342,0.14285714285714285
lseh-XiRiLi-BaoLianDeng.xml_11,留得美名万古存，,3979290.5795749486,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_21,为何几日他不言。,3992186.418069517,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,4033082.9644852392,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_2,在长安是你夸大话，,4059416.2820820324,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_19,叫人难解巧机关，,4060763.104375004,0.07142857142857142
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,4068472.1403382076,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_3,叫人难解巧机关。,4181672.8790605995,0.07142857142857142
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,4197738.3837432135,0.14285714285714285
lsxp-ZuoRiLi-YuanMenZhanZi.xml_0,昨日里斩八将头挂营外，,4210247.481750566,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,4223406.25043232,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_12,无奈何我只得双（呃）膝跪，,4239326.105612488,0.07142857142857142
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,4289875.295060253,0.0
