舍不得老娘白了头,0,舍不得老娘（呃）白了头。
lsxp-JiangShenEr-SanJiaDian.xml_9,舍不得老娘（呃）白了头。,1813490.9586506032,1.0
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,1854512.9898815274,0.5
lseh-XiRiLi-BaoLianDeng.xml_6,弟让兄来兄不能应（呐）允，,2963049.7319360464,0.125
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,3274318.8535382384,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_2,赵屠二家有仇恨，,3276004.685558673,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_9,年迈的老丈命（呐）染黄沙。,3303975.2029887405,0.125
lsxp-LiangGuoJiao-ShiJieTing-1.xml_2,管待三（哪）军要宽厚，,3564707.424226706,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_9,年迈的老丈命（呐）染黄沙。,3611851.164590994,0.125
lseh-YiLunMing-WenZhaoGuan-1.xml_24,哭一声爹娘不能相见，,3775650.436807796,0.25
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,3819872.7615954014,0.0
lsxp-ZuoRiLi-YuanMenZhanZi.xml_4,叫焦赞将宝剑悬挂帐外，,4072087.627274274,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_22,贪图富贵来害我，,4175486.4615586004,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,4182040.330953437,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_6,贪图富贵来害我，,4200947.123906193,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_8,哭一声爹娘不能相见，,4247455.685379016,0.25
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,4330516.397594272,0.125
lsxp-DaHeYi-SiLangTanMu.xml_13,十五年前沙滩会，,4336958.537084192,0.0
lsxp-ZouYingLong-DaYanSong.xml_4,我问顽童啼哭因何故，,4364250.205836228,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,4489593.829486419,0.125
lseh-YiLunMing-ZhuoFangCao-1.xml_13,越思越想把事来作差。,4539949.803410202,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,4589698.418834076,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_5,杀猪（喏）沽（哇）酒款待于他，,4625159.0727541195,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,4630801.853894183,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_7,既同行共（呃）大事必须要劝解于他（呀呃）。,4630801.853894183,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_4,此一番领兵去镇守，,4664338.6376323905,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_11,不舍娇儿难救孤身。,4715174.782142847,0.25
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,4715613.960435141,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_12,听谯楼打罢了二（喏）更鼓下，,4735316.713699604,0.125
lseh-XiRiLi-BaoLianDeng.xml_1,伯夷叔齐二大贤人，,4743750.385511407,0.0
lsxp-JianMaSu-ZhanMaSu.xml_1,不由老夫咬钢牙，,4788477.357580565,0.25
lseh-YiLunMing-WenZhaoGuan-1.xml_6,一连几天我的眉不（哇）展，,4799803.929756608,0.125
lsxp-DaHeYi-SiLangTanMu.xml_20,见一番汉帐中行。,4818293.847056703,0.0
lsxp-YiShiWu-YuCangJian.xml_8,实指（喏）望到吴国借兵（呐）转，,4845062.816814555,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,4861500.536729008,0.125
lseh-ZiNaRi-HongYangDong.xml_3,那乃是萧天佐以（呀）假成真；,4936081.58763705,0.0
lseh-XiRiLi-BaoLianDeng.xml_12,为父的怎比得孤竹君，,4953512.968485775,0.125
lsxp-DaHeYi-SiLangTanMu.xml_15,六弟下位把兄认，,5006011.6541459495,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,5116624.191750128,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_9,来年必定降麒麟。,5146824.364915772,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_2,眼见得忠良无救应，,5191055.196612466,0.125
lsxp-ZuoRiLi-YuanMenZhanZi.xml_1,老娘亲为什么不讲情来？,5197533.865020273,0.375
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,5222697.549124612,0.0
lsxp-JiangShenEr-SanJiaDian.xml_3,二不是歹人（呐）把城偷。,5258387.248904193,0.125
lseh-LaoZhangBu-WuPenJi.xml_3,我本屈死一鬼魂。,5260714.985827884,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,5262318.188703351,0.0
lsxp-DaHeYi-SiLangTanMu.xml_23,本帅开言把他问，,5272976.005035154,0.0
lsxp-DaHeYi-SiLangTanMu.xml_31,走上前来忙松捆，,5314485.758370382,0.0
lsxp-DaHeYi-SiLangTanMu.xml_1,大喝一声（哪）如雷震，,5320220.730622349,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,5338703.741248216,0.0
