深宫无处不飞花,24,深宫无（哇）处不飞花，
lsxp-ZhangGongDao-ZhuangYuanPu.xml_0,张公道三十五六（哇）子有靠，,1862604.3041045533,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_6,贪图富贵来害我，,2098055.281196496,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_22,贪图富贵来害我，,2150947.191222462,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,2204134.4085163474,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,2383528.27785629,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,2407233.2634436707,0.0
lsxp-DaHeYi-SiLangTanMu.xml_3,迈步且把宝帐（呀）进，,2409749.664561301,0.0
lsxp-ZouYingLong-DaYanSong.xml_0,忽听得万岁宣应龙，,2535438.82833327,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_16,心中有事难合眼，,2565861.429099521,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,2579388.569064996,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,2586397.395486233,0.0
lsxp-ZiGuDao-HuangHeLou.xml_5,四将军保架料也无妨。,2659444.5425079702,0.14285714285714285
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,2725768.6973978207,0.14285714285714285
lsxp-DaHeYi-SiLangTanMu.xml_28,原来四哥回宋营。,2741361.461756473,0.0
sdxp-WoHeNi-SiLangTanMu.xml_7,萧天佐摆天门两国交战，,2766551.2319840323,0.0
lsxp-DaHeYi-SiLangTanMu.xml_27,听罢言来才知情，,2771400.095008036,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,2776604.8049813863,0.0
lsxp-DaHeYi-SiLangTanMu.xml_9,家住后山磁州郡，,2783738.345502525,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,2957529.4688327876,0.14285714285714285
lseh-YangYanZhao-PengBei.xml_2,迈虎步我且把宝帐来进，,2975443.008449142,0.0
lsxp-YiShiWu-YuCangJian.xml_0,一事无成两鬓斑，,3014710.792115747,0.14285714285714285
lseh-YiLunMing-WenZhaoGuan-1.xml_27,鸡鸣犬吠五更（哪）天，,3028957.9261455936,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_11,鸡鸣犬吠五更（呃）天，,3038380.265545293,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_0,心中有事难合眼，,3043473.1377665484,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_0,深宫无（哇）处不飞花，,3046070.6156470673,1.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,3048251.9008127092,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,3048251.9008127092,0.14285714285714285
lsxp-ZuoRiLi-YuanMenZhanZi.xml_5,老娘亲再讲情儿自刎头来。,3065855.578782143,0.0
sdxp-WoHeNi-SiLangTanMu.xml_13,公主赠我的金鈚箭，,3088165.755230201,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,3091087.6930365292,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,3104479.0388564137,0.14285714285714285
