朝欢暮乐无牵挂,0,朝欢暮乐无牵挂，
lsxp-ShenGongWu-LongFengChengXiang.xml_2,朝欢暮乐无牵挂，,2377069.399348474,1.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,2656056.7172903013,0.0
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,2676632.608227977,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,3605739.2128622113,0.0
lsxp-YiShiWu-YuCangJian.xml_3,靠山绿（哇）水常在面前。,3780474.429261293,0.0
daxp-ChunQiuTing-SuoLinNang.xml_1,何处悲声破寂寥。,3871586.6077133394,0.0
sdxp-SuLongWei-WuJiaPo.xml_2,王丞相是我的主婚人（哪）。,3886369.085580972,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,3936683.2170501747,0.0
lsxp-QingGongYan-FaDongWu.xml_2,弟兄们创业多艰难，,4184341.3716542465,0.0
lseh-XiRiLi-BaoLianDeng.xml_7,兄（呃）推弟来两不能够担承。,4324404.747185473,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_10,千言万（哪）语她不肯，,4393832.913444023,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,4410741.518847218,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,4455036.5974425,0.0
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,4517497.253505075,0.0
lsxp-JiangShenEr-SanJiaDian.xml_5,因此上发配到登州。,4550102.379098469,0.0
lsxp-DaHeYi-SiLangTanMu.xml_28,原来四哥回宋营。,4616484.287836392,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,4650321.485013179,0.0
lsxp-JiangShenEr-SanJiaDian.xml_1,尊一声过往的宾朋听从头：,4650996.619773828,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,4652315.051231678,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,4663977.555509007,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_3,三百余口命赴幽冥。,4714141.017477463,0.0
sdxp-DangNianHan-SanJiZhang.xml_4,仙女嫁的又是何人？,4749481.456672414,0.0
sdxp-SuLongWei-WuJiaPo.xml_5,西凉川四十单八站，,4778323.303405792,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,4848865.814124543,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,4854455.122730012,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,4884302.154609646,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,4884302.154609646,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_2,实指（惹）望到吴国借兵回转，,4911210.378989835,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,4922856.56083337,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,4956627.762133191,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,4963443.681107068,0.0
daxp-ChunQiuTing-SuoLinNang.xml_33,救她饥渴胜琼瑶。,4975275.857643659,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,4976078.2568826135,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,4976078.2568826135,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_2,实指望到吴国借兵回转，,4981023.486362371,0.0
lsxp-ZiGuDao-HuangHeLou.xml_2,曾记得当年赴河梁，,4986451.387655307,0.0
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,5021153.433941077,0.14285714285714285
lseh-YiLunMing-WenZhaoGuan-1.xml_27,鸡鸣犬吠五更（哪）天，,5030617.754863649,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_11,鸡鸣犬吠五更（呃）天，,5084702.843729098,0.0
lseh-XiRiLi-BaoLianDeng.xml_0,昔日里有一个孤竹君，,5100964.993058482,0.0
lsxp-JiangShenEr-SanJiaDian.xml_15,叫一声解差把店役。,5133873.588989476,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,5156695.881070841,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,5158318.79638966,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_2,家住在罗郡城魁星楼下，,5167700.599532076,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_1,我立志不嫁那状元才郎。,5184469.798205268,0.0
daxp-FeiShiWo-TaoHuaCun.xml_0,非是我嘱咐叮咛把话讲，,5329548.392347393,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,5333372.2729974855,0.14285714285714285
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,5334694.896420611,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_18,观此贼睡卧真（呐）潇洒，,5348885.589816156,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_4,马行在来道内我难（呐）以回（呀）马，,5359330.479894446,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_4,马行在来道内我难（呐）以回（呀）马，,5359330.479894446,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,5391437.405987521,0.0
lsxp-HenPingWang-WenZhaoGuan.xml_3,满门的家着血染红。,5414238.92369572,0.0
lsxp-WoBenShi-KongChengJi-1.xml_5,东西战南北剿博古通呃今。,5417728.553984221,0.0
sdxp-WoHeNi-SiLangTanMu.xml_25,有什么心腹事你只管明言。,5429900.411684393,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,5434633.595011099,0.0
daxp-ErTingDe-SuoLinNang.xml_31,救她饥渴胜琼瑶。,5449121.805057796,0.0
lsxp-WoBenShi-KongChengJi-2.xml_9,我面前却少个知（呃）音的人。,5497359.355520693,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,5510462.833398503,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,5526248.547393913,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,5534143.870015684,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,5544895.246192431,0.0
sdxp-DangNianHan-SanJiZhang.xml_14,在六国封相人上人。,5548025.332053684,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_19,安眠好似并底之蛙，,5553967.550346247,0.0
daxp-WoDeNiang-XinAnYi.xml_1,奴年交十九岁还守闺门。,5555119.395596279,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_1,胡言乱语怎瞒（呐）咱。,5563232.71432115,0.0
sdxp-DangNianHan-SanJiZhang.xml_5,我的儿说话言不逊，,5563283.126353222,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_6,这时候我只得暂且忍耐在心下，,5592685.834035353,0.0
lsxp-DaHeYi-SiLangTanMu.xml_10,火堪寨上有家门。,5594400.400130982,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_6,这时候我只得暂且忍耐在心下，,5595817.545275237,0.0
daeh-TanHongYan-HuoXiaoYu.xml_3,啼花泣月在暗里（呀）添愁。,5601273.407771339,0.0
daxp-XiRiLi-LongFengChengXiang.xml_1,今朝仙女会襄王。,5604907.143241093,0.14285714285714285
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,5608704.609321229,0.0
lseh-TanXiongDi-SangYuanJiZi.xml_0,叹兄兀弟遭不幸一旦丧命，,5625789.489241773,0.0
lseh-YangYanZhao-PengBei.xml_4,我本当将此事对他来论，,5626816.583960366,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,5628894.993429659,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,5692832.930588288,0.14285714285714285
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,5699085.5732652685,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_0,深宫无（哇）处不飞花，,5705629.372969176,0.14285714285714285
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,5734856.97215523,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,5760998.263627744,0.0
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,5784198.513253028,0.0
sdxp-WoHeNi-SiLangTanMu.xml_10,怎奈我身在番难以过关。,5794755.806942889,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_5,眼睁（呐）睁有何人去（呀）把纸烧。,5814756.147746455,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_0,两国交锋龙虎斗，,5816457.067959292,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,5840320.26439887,0.0
lsxp-ZiCongQian-ZhuLianZhai.xml_2,为千岁懒把朝房走，,5877611.14263865,0.14285714285714285
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,5884971.630329342,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,5903315.825777901,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_3,赏罚中公（呃）平莫要自由。,5926149.247353706,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,5959209.161803172,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,5960268.8447243795,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,5994033.127727932,0.0
sdxp-SuLongWei-WuJiaPo.xml_12,百般调戏也枉然。,5997664.76479239,0.0
lsxp-WoBenShi-KongChengJi-1.xml_9,我面前缺少个知呃音的人。,6019404.886415111,0.0
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,6025117.971140703,0.0
lsxp-WoBenShi-KongChengJi-2.xml_2,先帝（呀）爷下南阳（呃）御驾三（呃）请，,6029456.461039724,0.0
sdxp-SuLongWei-WuJiaPo.xml_4,咬定牙关他就不认承。,6049532.760383877,0.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,6053880.497920327,0.0
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,6057121.454634165,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,6071881.029633126,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_3,身不爽不由人瞌睡朦胧（呃）。,6085329.264231436,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,6096579.455944841,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,6097914.852255502,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_2,管带三（呐）军要宽厚，,6116700.4050320415,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_14,思来想去我的肝肠断，,6127662.910949035,0.0
sdxp-SuLongWei-WuJiaPo.xml_35,打板子、上夹棍、丢南牢、坐监禁、管叫你思前容易退后难。,6129328.840939709,0.0
lsxp-WoBenShi-KongChengJi-2.xml_5,东西战南北剿博古（呃）通（哦）今。,6132639.73655515,0.0
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,6136825.120172404,0.0
lseh-WeiGuoJia-HongYangDong-3.xml_0,为国家哪何曾半日闲空，,6160569.382225599,0.0
daxp-ChunQiuTing-SuoLinNang.xml_20,人情冷暖凭天造，,6167970.181950631,0.0
lsxp-CiShiJian-HuaiHeYing-2.xml_1,胡言乱语怎瞒（呐）咱！,6169446.444237611,0.0
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,6173393.428205314,0.14285714285714285
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,6176063.167765647,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_11,我好比龙游在浅沙滩。,6179580.596896636,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,6184001.6094464855,0.0
lsxp-DaHeYi-SiLangTanMu.xml_21,龙行虎步非凡等，,6199509.631057775,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,6208647.526633793,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,6210481.200409424,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_0,心中有事难合眼，,6212623.462595603,0.0
lsxp-DaHeYi-SiLangTanMu.xml_7,将身站在了阶前等，,6243502.012550791,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,6251574.348368317,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,6280705.700150549,0.0
lseh-ZenNengGou-BaDaChui.xml_2,前也思（喏）后又想无有计定，,6289374.908330118,0.14285714285714285
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,6301587.825769095,0.0
lseh-ZiNaRi-HongYangDong.xml_7,去了我左右膀难以飞行。,6309934.192016538,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,6316171.173420231,0.0
lsxp-DaHeYi-SiLangTanMu.xml_9,家住后山磁州郡，,6332034.135238253,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,6341414.734451464,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_26,要相逢陈非是梦（兀）里团圆。,6352819.42355295,0.0
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,6354950.716805058,0.0
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,6354950.716805058,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,6362481.685350463,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,6394229.986299406,0.0
lseh-YangYanZhao-PengBei.xml_0,杨延昭奉父命巡查大营，,6406536.377427596,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,6407188.434397668,0.14285714285714285
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,6412171.585348053,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_16,心中有事难合眼，,6418707.230818023,0.0
daxp-WoZhuYe-SiLangTanMu.xml_3,一心心要夺取宋室江山。,6421959.5351231415,0.0
lseh-WeiKaiYan-RangXuZhou.xml_0,未开言不由人（呐）珠泪滚滚，,6457222.368679142,0.0
