凭阴阳如反掌保定乾坤,1,凭阴阳如反掌保定乾坤。
lsxp-WoBenShi-KongChengJi-1.xml_1,论阴阳如反掌保定乾坤。,1463502.8609515247,0.9
lsxp-WoBenShi-KongChengJi-2.xml_1,凭阴阳如反掌保定乾坤。,1659693.6466892501,1.0
daxp-ErTingDe-SuoLinNang.xml_15,薛良与我去问一遭。,3871441.9367131167,0.0
sdxp-WoHeNi-SiLangTanMu.xml_15,宋营（哪）虽然路途远，,3920585.201552492,0.0
daxp-QiaoLouShang-HuangShanLei.xml_10,我不免引寒机伴奴坐等，,4377190.851468235,0.0
sdxp-SuLongWei-WuJiaPo.xml_9,衙里衙外我打点，,4385818.169312631,0.0
daxp-WoHeNi-SangYuanHui.xml_0,我和你有什么夫妻的情，,4769564.533695232,0.0
lsxp-DaHeYi-SiLangTanMu.xml_25,家住哪州并哪郡？,4817003.341637271,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,4955164.078512767,0.0
lseh-WeiGuoJia-HongYangDong-3.xml_1,我也曾平服了塞北西东。,5152863.656829078,0.0
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,5289793.217085984,0.0
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,5376464.907117888,0.0
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,5376464.907117888,0.0
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,5421228.92626789,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,5450809.1446067365,0.1
lsxp-WoBenShi-KongChengJi-1.xml_2,先帝呀爷下南阳御呀驾三请，,5503879.181815707,0.1
lsxp-TingTaYan-ZhuoFangCao-1.xml_0,听他言听得我心（呐）惊胆怕，,5513033.231741234,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_0,听他言吓得我心（呐）惊胆怕，,5513033.231741234,0.0
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,5559418.365222543,0.0
daxp-TingTaYan-ZuoGong.xml_5,尊一声驸马爷细听咱言。,5598422.947303883,0.0
daxp-DiTouLi-NvQiJie.xml_0,低头离了洪洞县，,5601620.221421375,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_1,公正的老爷细听分明。,5651143.434129664,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_1,我也曾平服了塞北西东。,5651845.9778949525,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_24,执宝剑将贼的（呀）头割下，,5658247.939459075,0.0
lseh-WeiGuoJia-HongYangDong-2.xml_1,我也曾平服了塞北西东。,5661252.5988154765,0.0
lsxp-WoBenShi-KongChengJi-2.xml_2,先帝（呀）爷下南阳（呃）御驾三（呃）请，,5695942.394834849,0.1
lsxp-JianMaSu-ZhanMaSu.xml_2,大胆不听我的话，,5722286.936374837,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,5750638.791721964,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,5792330.040253168,0.0
lseh-JinZhongXiang-ShangTianTai.xml_1,寡人喜的是五谷丰登。,5839164.241181323,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,5866673.550348061,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,5885798.756428342,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_8,幸喜得珍珠衫称心如愿，,5888775.616964184,0.1
sdxp-SuLongWei-WuJiaPo.xml_13,腰中取出银一锭，,5905966.191363502,0.0
sdxp-DangNianHan-SanJiZhang.xml_19,非是女儿言不逊，,5912042.938161716,0.0
sdxp-SuLongWei-WuJiaPo.xml_24,提起了旁人我不晓，,6004104.874959275,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,6015283.8340643365,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,6098931.418708759,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,6102063.15566765,0.0
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,6207933.279731339,0.0
lseh-TanXiongDi-SangYuanJiZi.xml_2,眼望着孤坟台珠泪难忍，,6226714.445032609,0.0
lseh-LaoZhangBu-WuPenJi.xml_1,我有言来你是（喏）听。,6257385.3260043,0.0
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,6270404.044149323,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,6297052.625385255,0.0
lsxp-WoBenShi-KongChengJi-2.xml_0,我本是卧龙岗散淡（呐）的人，,6329865.382636113,0.0
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,6357786.167943643,0.0
lsxp-WeiCengKai-QiYuanBao.xml_2,家住在南阳太平庄，,6426601.80742825,0.1
lsxp-JiangShenEr-SanJiaDian.xml_1,尊一声过往的宾朋听从头：,6490090.467093496,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,6588650.4071928365,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,6595775.571304413,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,6660817.7395081315,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,6674965.936359881,0.0
lsxp-ZheYiFeng-DingJunShan.xml_9,到明天午时三刻要成功劳。,6695484.713059634,0.0
lseh-TanXiongDi-SangYuanJiZi.xml_1,丢下了年幼儿好不伤情。,6701250.63569932,0.0
sdxp-DangNianHan-SanJiZhang.xml_1,登台拜帅是韩信，,6733974.49160755,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_1,问三娘发雷霆却是为何？,6734646.613312041,0.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,6757491.349570864,0.0
daxp-MuQinBu-FengHuanChao.xml_4,人生不知顾脸面，,6758921.6575432215,0.0
daxp-DuiLingHua-BiYuZan.xml_1,听她言不由人喜上眉尖。,6762404.360917907,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_11,自有那神灵（啊）天地鉴察。,6788724.349274681,0.0
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,6865320.76890906,0.0
lsxp-JiangShenEr-SanJiaDian.xml_5,因此上发配到登州。,6874614.123869569,0.0
sdxp-WoHeNi-SiLangTanMu.xml_32,适才叫咱盟誓愿，,6901075.8615722535,0.0
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,6930834.585112919,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,6954308.635400477,0.0
sdxp-WoHeNi-SiLangTanMu.xml_17,公主叫我盟誓愿，,7002197.021445107,0.0
lsxp-ZiGuDao-HuangHeLou.xml_2,曾记得当年赴河梁，,7034892.233707066,0.0
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,7043631.48929578,0.0
lseh-YangYanZhao-PengBei.xml_1,在中途得一信甚是不明。,7048310.747930587,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,7068315.091887511,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,7081977.385815717,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_11,自有那神灵儿天地鉴察。,7132562.114458013,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,7135497.368325863,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_10,千言万（哪）语她不肯，,7142883.553059784,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,7162788.289260068,0.0
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,7227012.9642294375,0.0
lsxp-JiangShenEr-SanJiaDian.xml_15,叫一声解差把店役。,7257190.469424165,0.0
lsxp-WoBenShi-KongChengJi-1.xml_0,我本是卧龙岗散淡哪的人，,7266872.380265282,0.0
daxp-ChunQiuTing-SuoLinNang.xml_15,莫不是强婚配鸦占鸾巢？,7278015.709151198,0.0
daxp-WoDeNiang-XinAnYi.xml_2,这几日身不爽心中烦闷，,7327040.232520306,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,7334901.429318597,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,7365876.942046312,0.0
lsxp-DaHeYi-SiLangTanMu.xml_9,家住后山磁州郡，,7374523.569071218,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_1,死里逃生甚惨凄。,7414676.137495483,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_10,但愿得令公令婆别无意见，,7426135.899429313,0.0
daxp-FeiShiWo-TaoHuaCun.xml_0,非是我嘱咐叮咛把话讲，,7460471.063157305,0.0
daxp-SuSanLi-NvQiJie.xml_0,苏三离了洪洞县，,7465913.612607387,0.0
sdxp-DangNianHan-SanJiZhang.xml_17,仙女配的是董永，,7465913.612607387,0.0
daxp-ErTingDe-SuoLinNang.xml_3,莫不是强婚配鸦占鸾巢。,7484295.114015789,0.0
lseh-LaoZhangBu-WuPenJi.xml_6,我和你远无冤近无有仇恨，,7495059.52122012,0.0
daxp-ErTingDe-SuoLinNang.xml_8,怜贫济困是正道，,7495069.162349042,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,7518582.499575046,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,7538899.990472243,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_22,虎在笼中我不打，,7596137.787307923,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_10,但愿得令公令婆别无异见，,7614101.707631704,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_3,赏罚中公（呃）平莫要自由。,7616184.394074274,0.0
lsxp-ZouYingLong-DaYanSong.xml_0,忽听得万岁宣应龙，,7620382.036898132,0.0
daxp-ErDeFu-HongNiGuan.xml_6,奴本当把关印付他执掌，,7621103.248605577,0.1
lsxp-WoZhuYe-ZhuiHanXin.xml_8,一路上秋毫无犯军威壮，,7627139.746068925,0.0
lsxp-DaHeYi-SiLangTanMu.xml_8,问我一言答一声。,7640775.713999837,0.0
sdxp-WoHeNi-SiLangTanMu.xml_30,宋营离此路途远，,7652414.87471568,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_4,先进咸阳为皇上，,7663952.17940867,0.1
lsxp-ZiGuDao-HuangHeLou.xml_3,二将军保架过长江。,7688406.179938929,0.1
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,7719565.907394494,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,7731877.081736914,0.0
daxp-XiRiLi-LongFengChengXiang.xml_0,昔日里梁鸿配孟光，,7753307.804045265,0.0
sdxp-SuLongWei-WuJiaPo.xml_38,西凉的鞑子将你斩，,7822402.255554962,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,7827364.356481541,0.0
lseh-ZenNengGou-BaDaChui.xml_2,前也思（喏）后又想无有计定，,7829494.245341566,0.1
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,7831010.440192111,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,7890458.258505808,0.0
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,7953861.747773006,0.0
sdxp-WoHeNi-SiLangTanMu.xml_22,讲什么夫妻情恩德不浅，,7998207.266881009,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_0,深宫无（哇）处不飞花，,8038253.567735879,0.0
lsxp-ZheYiFeng-DingJunShan.xml_5,三通鼓刀出鞘四通（呃）鼓把兵交。,8080726.791794825,0.0
lseh-WeiGuoJia-HongYangDong-3.xml_2,官封到节度史（喏）皇王恩重，,8116941.4290065495,0.0
lsxp-ZouYingLong-DaYanSong.xml_13,在品级台（呀）前臣见君。,8131977.32259582,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,8157046.822419122,0.0
lsxp-WoBenShi-KongChengJi-2.xml_9,我面前却少个知（呃）音的人。,8187295.449798328,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_0,一轮明月照窗下，,8192930.1448375415,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_6,百姓们闺房乐如花美眷，,8199030.492314127,0.1
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,8210219.5538227465,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,8218741.320842274,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_2,家住在罗郡城魁星楼下，,8223180.062588754,0.0
sdxp-DangNianHan-SanJiZhang.xml_3,小奴才真个不孝顺，,8226772.066417181,0.0
daxp-TingTaYan-ZuoGong.xml_1,十五载到今日才吐真言。,8229519.256655311,0.0
daxp-DangRiLi-SuoLinNang.xml_5,隔帘儿我也曾侧目偷观。,8236188.528705373,0.0
lseh-XiRiLi-BaoLianDeng.xml_2,都只为孤（哇）竹君身染重病（哪），,8255841.552916777,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,8256998.471724447,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,8259849.169328131,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,8270079.382707384,0.1
lseh-LaoZhangBu-WuPenJi.xml_4,我忙将树（呃）枝摆摇（哇）动，,8274999.773898938,0.0
lsxp-DaHeYi-SiLangTanMu.xml_22,灯光之下看不真。,8378150.805796146,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_0,一轮明月照窗下，,8387862.205406984,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_26,要相逢陈非是梦（兀）里团圆。,8452218.508309897,0.0
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,8490980.82342995,0.0
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,8493555.468891412,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,8505346.048374023,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,8532847.217698183,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,8580394.1833184,0.0
lseh-ZiNaRi-HongYangDong.xml_2,我前番命孟良骸骨搬（呐）请，,8594608.597025707,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_2,父休笑薛平贵是花郎模样，,8613797.22047641,0.0
daeh-LiYanFei-DaBaoGuo.xml_7,宣太师上金殿披红插花。,8638405.267351674,0.0
lsxp-ZiGuDao-HuangHeLou.xml_0,自古道吉人有天相，,8645120.639757415,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,8650194.161298739,0.0
lseh-JinZhongXiang-ShangTianTai.xml_0,金钟响玉磬应王登龙庭，,8683996.66735807,0.0
daxp-ChunQiuTing-SuoLinNang.xml_12,耳听得悲声惨心中如捣，,8710532.730720961,0.1
lseh-WeiGuoJia-HongYangDong-2.xml_2,官封到节度使（喏）皇王恩重，,8711255.414974567,0.0
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,8719783.035867225,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_0,一轮明月照窗前，,8739307.012323892,0.0
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,8773038.025167894,0.0
lseh-WeiKaiYan-RangXuZhou.xml_3,老朽年迈我也不能够担承。,8795384.659635304,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,8797079.068516597,0.1
daxp-TingTaYan-ZuoGong.xml_3,他思家乡想骨肉就不能团圆。,8797347.861419186,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_2,朝欢暮乐无牵挂，,8798995.291674824,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,8821017.777764654,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,8832696.487118145,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,8850784.024212997,0.1
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,8853622.127827927,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,8922123.085689185,0.0
sdxp-DangNianHan-SanJiZhang.xml_5,我的儿说话言不逊，,8922983.815370774,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_1,陈伯愚年半百无有后苗。,8943465.48489578,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,8956177.601084689,0.0
lseh-YiLunMing-ZhuoFangCao-2.xml_2,悔不该心猿并意马，,8963772.72548295,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,8987950.388933238,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,9043011.81736668,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_3,耳听笙歌闹喧哗。,9069121.46685179,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,9083647.144380245,0.0
lseh-ZiNaRi-HongYangDong.xml_0,自（喏）那日朝罢归身（呐）染重病，,9124464.411635725,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_0,一轮明月照窗前，,9135910.217469938,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_2,官封到节度使（喏）皇王恩重，,9188532.928849563,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,9197570.899772782,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,9223212.62479445,0.0
lseh-YiLunMing-ZhuoFangSuDian.xml_2,悔不该心猿并意马，,9223636.140182303,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_5,不知道他与我是否一般。,9230561.743856462,0.0
daxp-ChunQiuTing-SuoLinNang.xml_20,人情冷暖凭天造，,9261965.684377065,0.1
lseh-YiLunMing-ZhuoFangSuDian.xml_0,一轮明月照窗下，,9270353.760668103,0.0
sdxp-SuLongWei-WuJiaPo.xml_3,他三人与我有仇恨，,9287837.148024965,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,9318000.879396321,0.0
lsxp-ZhangGongDao-ZhuangYuanPu.xml_4,怕将（呃）来老天爷无（哇）有果报，,9342428.734895147,0.0
lsxp-DaHeYi-SiLangTanMu.xml_10,火堪寨上有家门。,9343187.951177657,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,9371894.216004504,0.0
sdxp-DangNianHan-SanJiZhang.xml_15,未央宫斩的是韩信，,9374154.891257087,0.0
daxp-NiDeFu-FenHeWan.xml_2,把弓带和鱼镖与儿带定，,9402235.020245379,0.1
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,9410066.703811187,0.0
lseh-XiRiLi-BaoLianDeng.xml_14,打死了别家子父能作主，,9429648.968087204,0.0
daxp-DangRiLi-SuoLinNang.xml_7,哪有这短花帘，旧花幔，参差流苏，残破不全。,9459927.881688537,0.0
daxp-DangRiLi-SuoLinNang.xml_6,虽然是古青庐以朴为俭，,9460358.62503717,0.0
