先帝爷下南阳御驾三请,0,先帝（呀）爷下南阳（呃）御驾三（呃）请，
lsxp-WoBenShi-KongChengJi-2.xml_2,先帝（呀）爷下南阳（呃）御驾三（呃）请，,934506.8316583799,1.0
lsxp-WoBenShi-KongChengJi-1.xml_2,先帝呀爷下南阳御呀驾三请，,1233154.8947115133,1.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,4918861.111861102,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_1,虽然是不相识我就不得不答。,4932622.07928782,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,4995613.419345781,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,5160994.363740373,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_15,今夜晚怎能够盼到明天。,5205517.633218233,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,5206032.185903791,0.0
lsxp-CiShiJian-HuaiHeYing-1.xml_7,（啊）生死二字（喏）且由他。,5290576.405653777,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_15,今夜晚怎能够盼到明天。,5330530.904413652,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,5427310.692122941,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,5427310.692122941,0.0
lsxp-JiangShenEr-SanJiaDian.xml_1,尊一声过往的宾朋听从头：,5546068.063117203,0.0
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,5658849.069305542,0.0
lsxp-ZouYingLong-DaYanSong.xml_0,忽听得万岁宣应龙，,5710417.302663974,0.0
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,5828935.9017974995,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,5871195.933642067,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_6,百姓们闺房乐如花美眷，,5936144.960251803,0.0
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,6005529.609899145,0.1
daxp-ErDeFu-HongNiGuan.xml_2,奴这里只把那结婚思量，,6030582.338475104,0.0
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,6044937.579606772,0.0
lsxp-WoBenShi-KongChengJi-1.xml_1,论阴阳如反掌保定乾坤。,6163163.781837674,0.1
sdxp-SuLongWei-WuJiaPo.xml_40,这锭银子奴不要，,6225673.508242367,0.0
sdxp-SuLongWei-WuJiaPo.xml_32,我进相府对父言，,6225673.508242367,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,6264397.513879147,0.0
lseh-NiangZiBu-SouGuJiuGu.xml_3,三百余口命赴幽冥。,6339291.08796273,0.1
lseh-WeiKaiYan-RangXuZhou.xml_0,未开言不由人（呐）珠泪滚滚，,6403324.550637238,0.0
lseh-TanXiongDi-SangYuanJiZi.xml_0,叹兄兀弟遭不幸一旦丧命，,6480989.904592369,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,6484549.102329846,0.1
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,6528715.044871481,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_4,先进咸阳为皇上，,6616177.349801458,0.2
lsxp-ShenGongWu-LongFengChengXiang.xml_0,深宫无（哇）处不飞花，,6616195.925819462,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,6658466.146259779,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,6706833.455943503,0.0
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,6711110.077782835,0.0
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,6711110.077782835,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,6721940.308176226,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,6768828.47646172,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_0,一轮明月照窗下，,6773359.889036079,0.1
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,6782960.101163015,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,6798154.84784862,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_0,听他言听得我心（呐）惊胆怕，,6801482.000459854,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_0,听他言吓得我心（呐）惊胆怕，,6801482.000459854,0.0
daxp-TingTaYan-ZuoGong.xml_5,尊一声驸马爷细听咱言。,6826874.135983861,0.1
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,6829300.147063375,0.0
daxp-WoZhuYe-SiLangTanMu.xml_1,众文武扶哀家执掌军房。,6846791.802665416,0.0
daeh-TanHongYan-HuoXiaoYu.xml_3,啼花泣月在暗里（呀）添愁。,6899196.011891668,0.0
daxp-XiRiLi-LongFengChengXiang.xml_1,今朝仙女会襄王。,6927299.003614549,0.0
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,6978175.815479099,0.1
sdxp-WoHeNi-SiLangTanMu.xml_15,宋营（哪）虽然路途远，,6998964.82512111,0.0
lseh-TanXiongDi-SangYuanJiZi.xml_2,眼望着孤坟台珠泪难忍，,7054587.308601198,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,7066532.801084749,0.0
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,7122174.159998252,0.0
lseh-ZiNaRi-HongYangDong.xml_1,三更时梦（呃）见（呐）了年迈爹尊（呐）。,7124101.884774153,0.1
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,7150952.289949267,0.0
daxp-SuSanLi-NvQiJie.xml_0,苏三离了洪洞县，,7154365.249918133,0.1
sdxp-DangNianHan-SanJiZhang.xml_17,仙女配的是董永，,7154365.249918133,0.0
lseh-WeiKaiYan-RangXuZhou.xml_3,老朽年迈我也不能够担承。,7156567.773309938,0.0
lsxp-WeiCengKai-QiYuanBao.xml_1,尊一声太爷听端详。,7156903.261916679,0.1
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,7167058.386160016,0.0
lsxp-ZheYiFeng-DingJunShan.xml_2,站立在营门三军叫，,7174103.492543482,0.1
lseh-WeiGuoJia-HongYangDong-2.xml_2,官封到节度使（喏）皇王恩重，,7183948.869166672,0.0
daxp-ChunQiuTing-SuoLinNang.xml_20,人情冷暖凭天造，,7208147.309140758,0.0
lsxp-DaHeYi-SiLangTanMu.xml_10,火堪寨上有家门。,7233135.142448987,0.0
lseh-ZenNengGou-BaDaChui.xml_2,前也思（喏）后又想无有计定，,7233522.934506292,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,7240609.9038168825,0.0
lseh-YiLunMing-WenZhaoGuan-2.xml_13,我好（呃）比波浪中失舵的舟船（喏）。,7242263.442302038,0.0
