周文王访姜尚周室大振,0,周文王访姜尚周室大振，
lsxp-WoBenShi-KongChengJi-2.xml_6,周文王访姜尚周室大振，,1029368.6990758508,1.0
lsxp-WoBenShi-KongChengJi-1.xml_6,周文王访姜尚周室大振，,1274271.5437709184,1.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_2,管带三（呐）军要宽厚，,2710444.9617556613,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_8,一路上秋毫无犯军威壮，,3020490.6761580314,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,3188589.927913823,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_0,两国交锋龙虎斗，,3452566.948662375,0.0
lsxp-ZheYiFeng-DingJunShan.xml_2,站立在营门三军叫，,3469054.611800344,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_24,哭一声爹娘不能相见，,3615523.6711594528,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_4,这桩事闷得我柔肠百转，,3667250.7359124236,0.0
sdxp-DangNianHan-SanJiZhang.xml_9,当年韩信与苏秦，,3696622.3782264814,0.0
lsxp-LiangGuoJiao-ShiJieTing-1.xml_2,管待三（哪）军要宽厚，,3844279.0565298,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,3960160.6824052664,0.0
lsxp-LiangGuoJiao-ShiJieTing-2.xml_4,此一番领（呃）兵去镇守，,3982366.858501775,0.0
daeh-ZiNaRi-ErJinGong.xml_11,想必是徐杨进了昭阳。,4013273.17634401,0.0
sdxp-SuLongWei-WuJiaPo.xml_28,我父在朝为官宦，,4028703.640644686,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,4043357.3204973307,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_4,这桩事闷得我柔肠百转，,4048611.9253989626,0.0
lsxp-YiShiWu-YuCangJian.xml_8,实指（喏）望到吴国借兵（呐）转，,4055900.0728388815,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,4196625.89664307,0.0
lseh-WeiGuoJia-HongYangDong-3.xml_1,我也曾平服了塞北西东。,4252857.0262795715,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,4260658.498168033,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,4264376.586063912,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_22,贪图富贵来害我，,4395560.761064553,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_6,贪图富贵来害我，,4407243.083951941,0.0
lseh-TuZeiZuo-SouGuJiuGu.xml_2,眼见得忠良无救应，,4437829.793639838,0.0
lsxp-WeiCengKai-QiYuanBao.xml_6,行至在中途把雨降，,4440217.295283342,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,4450814.632153987,0.0
daeh-SunShangXiang-BieHuangGong.xml_5,又谁知弄假成真反配凤鸾。,4490432.060747848,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,4500262.2194657,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_11,鸡鸣犬吠五更（呃）天，,4503892.893502873,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,4526547.422779768,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_27,鸡鸣犬吠五更（哪）天，,4531455.211176373,0.0
lseh-JinZhongXiang-ShangTianTai.xml_3,武仗着姚皇兄保定乾坤。,4559377.431995741,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,4586567.962984124,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,4586567.962984124,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,4593091.821659659,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,4593861.32777816,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,4596857.335483182,0.0
lsxp-JiangShenEr-SanJiaDian.xml_1,尊一声过往的宾朋听从头：,4694592.487713483,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_6,百姓们闺房乐如花美眷，,4716646.937314883,0.0
lsxp-DaHeYi-SiLangTanMu.xml_9,家住后山磁州郡，,4721082.633791873,0.0
lseh-WeiGuoJia-HongYangDong-2.xml_1,我也曾平服了塞北西东。,4747719.65932473,0.0
sdxp-DangNianHan-SanJiZhang.xml_5,我的儿说话言不逊，,4763678.270995336,0.0
lseh-WeiGuoJia-HongYangDong-1.xml_1,我也曾平服了塞北西东。,4768201.595671484,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,4851803.952817527,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,4874751.784619335,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,4891905.199061473,0.0
lsxp-ShenGongWu-LongFengChengXiang.xml_0,深宫无（哇）处不飞花，,4903312.422255709,0.0
lsxp-JiangShenEr-SanJiaDian.xml_7,舍不得衙役们众班头。,4917526.581692255,0.0
lseh-YiLunMing-WenZhaoGuan-1.xml_23,你就该把我献与昭关。,4953644.445985688,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_8,哭一声爹娘不能相见，,4959410.735118041,0.0
lsxp-ZouYingLong-DaYanSong.xml_4,我问顽童啼哭因何故，,4996824.600349737,0.0
daxp-XiShiNv-XiShi.xml_2,只为着守清寒柴门近水，,5024878.951784831,0.0
lsxp-DaHeYi-SiLangTanMu.xml_13,十五年前沙滩会，,5027343.2816000655,0.0
lsxp-DaHeYi-SiLangTanMu.xml_11,我父令公官极品，,5046274.648412842,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,5055493.2304090075,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,5070780.583323195,0.0
lsxp-WoZhuYe-ZhuiHanXin.xml_9,我也曾约法定过三章。,5076373.5580102345,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,5100196.363371505,0.0
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,5108823.409899852,0.0
lsxp-YiShiWu-YuCangJian.xml_0,一事无成两鬓斑，,5111846.821433397,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,5136978.137786845,0.0
lseh-ZiNaRi-HongYangDong.xml_1,三更时梦（呃）见（呐）了年迈爹尊（呐）。,5148472.9918011585,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,5149645.463831524,0.1
daxp-WoHeNi-SangYuanHui.xml_1,谁认你狼心狗肺的人！,5192080.75220561,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,5197796.742127361,0.0
lsxp-YiZhuangZhuang-QunYingHui.xml_0,一桩桩一件件倶已办就，,5202694.5899019,0.0
lsxp-DaHeYi-SiLangTanMu.xml_7,将身站在了阶前等，,5219887.40688231,0.0
daxp-ChunQiuTing-SuoLinNang.xml_18,听薛良一语来相告，,5222403.904308827,0.0
lsxp-DaHeYi-SiLangTanMu.xml_21,龙行虎步非凡等，,5225361.420661521,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,5229832.589609444,0.0
sdxp-WoHeNi-SiLangTanMu.xml_19,我若探母不回转，,5236466.344137325,0.0
daxp-ErTingDe-SuoLinNang.xml_16,听薛良一语来相告，,5245861.107191332,0.0
daeh-LiYanFei-ErJinGong.xml_3,想必是徐杨将进了昭阳。,5255504.080410952,0.0
lseh-XinZhongYou-WenZhaoGuan.xml_7,你就该把我献与昭关。,5257140.896654643,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,5259115.025759613,0.0
lsxp-ZouYingLong-DaYanSong.xml_11,我本当金（哪）殿奏一本怎奈我官卑职小不能够参大臣。,5260819.408922364,0.1
sdxp-WoHeNi-SiLangTanMu.xml_11,公主虽然不阻拦，,5272024.62236336,0.0
lsxp-TingTaYan-ZhuoFangCao-2.xml_4,马行在来道内我难（呐）以回（呀）马，,5273520.628621392,0.0
lsxp-TingTaYan-ZhuoFangCao-1.xml_4,马行在来道内我难（呐）以回（呀）马，,5273520.628621392,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,5304426.284942052,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,5327778.288807797,0.1
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,5394312.407839386,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,5396155.57850035,0.0
daxp-ChunQiuTing-SuoLinNang.xml_25,安他半世凤凰巢。,5411558.132329291,0.0
daxp-ErTingDe-SuoLinNang.xml_23,安她半世凤凰剿。,5411558.132329291,0.0
lsxp-DaHeYi-SiLangTanMu.xml_28,原来四哥回宋营。,5417988.846320317,0.0
lseh-YiLunMing-ZhuoFangCao-1.xml_12,听谯楼打罢了二（喏）更鼓下，,5457017.426648983,0.0
sdxp-WoHeNi-SiLangTanMu.xml_7,萧天佐摆天门两国交战，,5458514.679192851,0.0
