被纠缠陡想起婚时情景,0,被纠缠陡想起婚时情景，
danbz-BeiJiuChan-ChunGuiMeng.xml_0,被纠缠陡想起婚时情景，,639074.1087988615,1.0
danbz-KanDaWang-BaWangBieJi.xml_0,看大王在帐中和衣睡稳，,2466728.7000630526,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,3177902.867809013,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,3187479.6930207186,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,3208712.3855486298,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,3445205.8795540393,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_2,我不免去安排罗衾绣枕，,3449325.266194928,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,3483967.8228163472,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_0,老爹爹清晨起前去出前，,3496898.4129969398,0.1
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,3519168.7037023567,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,3521618.3424585629,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,3530523.0344465962,0.0
daxp-DangRiLi-SuoLinNang.xml_17,红珊瑚碧翡翠样样倶全。,3559234.7575360588,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,3564002.8440473867,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,3602180.9780881531,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,3682628.6167951762,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,3714979.7370630074,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_5,不知道他与我是否一般。,3720676.7949169818,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,3737942.6929329173,0.1
