原来是不耐烦已经睡困,0,原来是不耐烦已经睡困，
danbz-BeiJiuChan-ChunGuiMeng.xml_4,原来是不耐烦已经睡困，,2024122.2968780505,1.0
daxp-ErTingDe-SuoLinNang.xml_5,问那厢因何故痛哭无聊？,3868900.8185337815,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_7,帝王家深宫怨似水流年。,3894269.4019923927,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_7,帝王家深宫院似水流年。,4162280.0090139238,0.0
daxp-WoZhuYe-SiLangTanMu.xml_5,阅兵书看何人前来何安。,4304057.1811797582,0.1
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,4307718.6986628026,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_1,有谁知一时错被逐宫廷。,4462552.424007562,0.0
daspd-DuShouKong-WangJiangTing.xml_3,为避狂徒到此间。,4558320.8334818389,0.0
daxp-ChunQiuTing-SuoLinNang.xml_8,亦有饥寒悲怀抱，,4937769.2886557253,0.0
daeh-WuDuanQiao-BiYuZan.xml_3,落得孤身病恹恹。,4980811.5678291377,0.0
daxp-QiaoLouShang-HuangShanLei.xml_12,数更等交五鼓空房愈冷，,4984787.1671290593,0.0
daeh-NuZiYou-TouJunBieYao.xml_3,也不枉我二人苦度时光。,5035666.935691393,0.1
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,5053359.3103399398,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_4,想亲娘和老父心乱如麻。,5156225.4189375276,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_7,等候了薛倚儿转回家园。,5193240.3115840033,0.0
daeh-LiYanFei-DaBaoGuo.xml_1,文站东武列西朝贺哀家。,5366560.4343744116,0.0
sdxp-SuLongWei-WuJiaPo.xml_39,妻儿老小与奴一般。,5425905.7180424845,0.0
daxp-DangRiLi-SuoLinNang.xml_19,还有那赤金链，紫瑛簪，白玉环，双凤錾，八宝钗钏一个个宝孕光含。,5435281.1880400535,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,5468656.3116209544,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,5479260.7479402386,0.0
daeh-ZiNaRi-ErJinGong.xml_7,看一看不觉到八月中秋。,5490430.9388879808,0.1
sdxp-DangNianHan-SanJiZhang.xml_18,大孝之人也受贫。,5491721.137790814,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,5549006.7682790114,0.1
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,5562568.1925146906,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,5633608.6512488145,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_6,你继母心毒狠将你打骂，,5661317.5925829178,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,5682755.8799907314,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,5708886.782471559,0.1
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,5741984.0576415146,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,5746209.4640780641,0.1
daeh-ZuoChunGui-XiShi.xml_1,无限的闲愁恨尽上眉尖。,5769674.147980066,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,5774817.2312877579,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,5774953.4632651089,0.0
daxp-ZhiJianTa-WangJiangTing.xml_4,莫不是平地风波起，,5786745.9206974423,0.2
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,5817805.7668608185,0.0
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,5818307.9320192374,0.0
daxp-NiDeFu-FenHeWan.xml_1,全仗你打雁养娘亲，,5825389.4231619276,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,5855181.8074855367,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,5879095.7240956267,0.0
