待我来再与你重订鸳盟,0,待我来搀扶（哇）你重订鸳盟。
danbz-BeiJiuChan-ChunGuiMeng.xml_5,待我来搀扶（哇）你重订鸳盟。,783187.87973076862,0.8
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,1385039.7893126439,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,1430021.0875652123,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,2074720.539920443,0.1
daxp-GuanShiYin-TianNvSanHua.xml_1,有善才和龙女站立两厢；,2355561.4794707657,0.0
daxp-ErTingDe-SuoLinNang.xml_25,莫把姓名你信口哓。,2415565.5815325752,0.1
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,2434614.6864369945,0.1
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,2480908.1243398055,0.1
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,2681699.1962024616,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,2693463.41820266,0.1
daxp-ErTingDe-SuoLinNang.xml_10,蠢才问话太潦草，,2709978.3326339764,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,2712379.7840832365,0.1
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,2844220.2749440176,0.1
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,2885639.5036609927,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,2920658.3509299206,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,2933871.3055079468,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,2933871.3055079468,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,3004719.473097275,0.2
daxp-TingTaYan-ZuoGong.xml_6,早晚间休怪我言语怠慢，,3015855.3339088443,0.1
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,3051558.8725609756,0.0
daxp-ZheCaiShi-SuoLinNang.xml_5,善果心花可自豪。,3135339.6399757746,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,3190321.7315813727,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,3321280.2639586902,0.1
daxp-ErTingDe-SuoLinNang.xml_27,自把珠玉夸富豪。,3341096.9710018728,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,3417510.4928104226,0.1
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,3420001.6730380706,0.0
daxp-FeiShiWo-TaoHuaCun.xml_6,鼓打二更准时往，,3466146.133424846,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,3502037.9202972646,0.1
daxp-FeiShiWo-TaoHuaCun.xml_12,响一声你就还一掌，,3578970.7715861783,0.1
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,3618893.0938334092,0.1
danbz-KanDaWang-BaWangBieJi.xml_0,看大王在帐中和衣睡稳，,3619174.2987113702,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,3669827.05796781,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,3679142.238733069,0.1
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,3704701.565713773,0.0
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,3710118.1408591201,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,3717230.0290404144,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_2,舅父前来出主意，,3795003.687055436,0.1
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,3810491.8246542644,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,3810759.6271059858,0.1
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,3814516.3484808654,0.1
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,3815538.6447900115,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,3818183.040944491,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,3819232.8676782832,0.0
danbz-KanDaWang-BaWangBieJi.xml_3,猛抬头见碧落月色清明。,3850873.3938391139,0.0
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,3871161.3171395883,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,3881802.5244253241,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,3886256.193347876,0.1
danbz-BeiJiuChan-ChunGuiMeng.xml_0,被纠缠陡想起婚时情景，,3892542.0049989461,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,3910019.2893706006,0.0
daxp-DiTouLi-NvQiJie.xml_3,过往的君子听我言。,3910679.7763726115,0.1
