看大王在帐中合衣睡稳,0,看大王在帐中和衣睡稳，
danbz-KanDaWang-BaWangBieJi.xml_0,看大王在帐中和衣睡稳，,853262.55460338423,0.9
danbz-BeiJiuChan-ChunGuiMeng.xml_0,被纠缠陡想起婚时情景，,2172385.498070898,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,2452542.5607957426,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_5,待我来搀扶（哇）你重订鸳盟。,2514137.8394507426,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_1,唤起我破天门状志凌云。,2867813.8211899404,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,3009639.5126203834,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,3066266.1426594611,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_2,我不免去安排罗衾绣枕，,3085489.0719970283,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_2,将身儿坐至在草堂等候，,3343491.7367995107,0.1
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,3357149.2177347518,0.1
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,3392078.5615857309,0.0
daxp-GuanShiYin-TianNvSanHua.xml_1,有善才和龙女站立两厢；,3490219.3601268418,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,3510880.9010913218,0.0
daeh-LiYanFei-DaBaoGuo.xml_0,李艳妃设早朝龙书案下，,3587691.1072511594,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,3646584.8980965312,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,3664801.5894132913,0.0
daxp-DangRiLi-SuoLinNang.xml_21,换衣食也够她生活几年。,3705178.9719972773,0.1
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,3725803.2603776297,0.0
