猛抬头见碧落月色清明,0,猛抬头见碧落月色清明。
danbz-KanDaWang-BaWangBieJi.xml_3,猛抬头见碧落月色清明。,1969742.2086519294,1.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,2840040.366355821,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,3006029.7498027189,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,3156036.1061802544,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,3552101.6511371373,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,3576019.4945489326,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,3585628.4182809559,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,3673156.947524589,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,3784055.7776937857,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,3849576.1674877778,0.1
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,3859019.2102940641,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,3875275.02239868,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,3958084.324228568,0.0
daxp-ErTingDe-SuoLinNang.xml_9,哪有个袖手旁观在壁上瞧。,3984450.2317496617,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,4008008.2659143847,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_2,暗地堪笑我兄长，,4035483.7304154579,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,4043235.6710794684,0.1
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,4055421.8485539062,0.1
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,4075038.4942201129,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_5,每日里在书房苦读圣贤。,4112399.19321801,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,4164460.3615856855,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,4169217.4596544122,0.0
daeh-WuDuanQiao-BiYuZan.xml_0,无端巧计将人陷，,4170224.1668521413,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,4172073.8165332302,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,4173666.420373885,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,4181794.442986039,0.0
daxp-ErTingDe-SuoLinNang.xml_21,她为饥寒我为骄。,4214616.294630738,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,4228506.5476810485,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,4233531.0098334271,0.0
daeh-NuZiYou-TouJunBieYao.xml_2,但愿得去投军功名有望，,4243644.1033041654,0.0
daxp-QiaoLouShang-HuangShanLei.xml_9,看娇儿正酣睡恐被风侵。,4297605.5242871512,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,4298729.7729166541,0.1
daeh-LiYanFei-ErJinGong.xml_0,李艳妃坐昭阳自思自想，,4322623.1667351695,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,4334837.8889954882,0.0
daspd-DuShouKong-WangJiangTing.xml_0,独守空帏暗长叹，,4350107.8456830038,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,4359064.0456157122,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,4382092.5200017234,0.0
daxp-ChunQiuTing-SuoLinNang.xml_11,必有隐情在心潮。,4384595.3490203517,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,4386940.8090809248,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,4401445.4629006404,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,4404200.4948899001,0.0
sdxp-DangNianHan-SanJiZhang.xml_16,难道说文官他就不丧身？,4452467.6583917309,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_3,莫负他好春宵一刻千金。,4490181.2445879793,0.0
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,4493358.8104460966,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,4493358.8104460966,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,4521824.318882714,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_0,遭不幸老王爷晏了御驾，,4532850.3703827225,0.0
daxp-XiShiNv-XiShi.xml_1,难得有开怀事常锁双眉。,4541947.4992481768,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,4583543.8470628243,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_3,贫穷人得了志比富还强。,4592153.7197156139,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,4604360.797668797,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,4610055.8179792967,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,4618820.1455360465,0.0
daxp-DuiLingHua-BiYuZan.xml_2,果然是成佳偶两心欢恋，,4624585.0193102574,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,4629331.1056224229,0.0
daeh-SunShangXiang-BieHuangGong.xml_0,孙尚香坐宫院自思自叹，,4665263.5005629174,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,4667203.9859889345,0.0
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,4670645.4562924281,0.1
daeh-WuDuanQiao-BiYuZan.xml_2,独处闺房愁无限，,4673477.2113035768,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,4677007.1801767638,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,4708130.1063723993,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_5,待我来搀扶（哇）你重订鸳盟。,4712861.7869164823,0.0
daeh-LiYanFei-ErJinGong.xml_2,耳边厢又听得朝靴响亮，,4728223.6902568433,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,4729334.4713008748,0.0
daeh-CanQiQi-WuLongZuo.xml_0,惨凄凄唤苍天天不应响，,4741015.6447470244,0.0
daeh-LiYanFei-DaBaoGuo.xml_8,赐你的上方剑朝房问话，,4751069.3223036407,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,4760118.3316370035,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,4763223.6874673469,0.0
daxp-XiRiLi-LongFengChengXiang.xml_3,安排虎计害刘王。,4787760.2417107318,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,4797364.2378146481,0.0
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,4822321.0040588211,0.1
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_0,海岛冰轮初转腾；,4824581.2615476931,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,4830405.9511132706,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,4833251.5750146825,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,4838583.9392917883,0.1
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,4845300.6941211699,0.0
daxp-ChunQiuTing-SuoLinNang.xml_7,世上何尝尽富豪，,4855960.4139710162,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,4856238.830075359,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_1,虽然是男女别不得不答。,4868869.9626620151,0.0
daxp-TingTaYan-ZuoGong.xml_4,我这里走向前再把礼见，,4872853.2949680444,0.1
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,4903383.7740598638,0.0
daeh-ZuoChunGui-XiShi.xml_0,坐春闺只觉得光明似箭，,4909555.268684959,0.1
daeh-XiaoNuCai-SanNiangJiaoZi.xml_0,小奴才他一言问住我，,4924375.4389152061,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,4927592.3302978417,0.0
daeh-LiYanFei-DaBaoGuo.xml_3,各国的众王侯朝贺中华。,4972394.7386753671,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,4974997.5065074852,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,4992725.3587641772,0.0
daspd-DuShouKong-WangJiangTing.xml_2,孀居愁苦泪洗面，,5003593.6924967524,0.0
daxp-ErDeFu-HongNiGuan.xml_1,撇下了奴一人好不悲凉。,5004812.0556583991,0.0
daxp-DangRiLi-SuoLinNang.xml_9,她泪自弹、声续断、似杜鹃、啼别院、巴峡哀猿动人心弦，好不惨然。,5008760.2331122737,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,5010245.6482587857,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,5021760.7646683343,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,5035217.5613448648,0.0
daxp-DangRiLi-SuoLinNang.xml_8,轿中人必定有一腔幽怨，,5040433.9869769923,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_6,我今绝少人生趣，,5043741.0347012533,0.0
