见玉兔玉兔又早东升,1,见玉兔（哇）玉兔又早东升。
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,3416071.6495125457,0.1111111111111111
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_1,见玉兔（哇）玉兔又早东升。,3466079.8810393545,1.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,3483671.6226191293,0.0
daxp-LaoDieDie-SanJiZhang-1.xml_0,老爹爹请息（呀）怒容儿细讲，,3683929.3301847237,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,3814715.9104815312,0.0
daspd-DuShouKong-WangJiangTing.xml_2,孀居愁苦泪洗面，,3867931.382678472,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,3885344.6560583659,0.0
daeh-ZuoChunGui-XiShi.xml_2,奴这里心中痛玉颜清减，,3891149.1922357944,0.2222222222222222
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,3958356.8362763515,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,4066835.3926541526,0.0
daxp-QiaoLouShang-HuangShanLei.xml_5,猛听得窗儿外似有人行。,4116913.7711668112,0.0
daxp-QiaoLouShang-HuangShanLei.xml_11,又思来又想去越不安宁。,4160110.7690919521,0.1111111111111111
daxp-MengJunZi-ChunQiuPei-1.xml_0,蒙君子至殷勤再三问话，,4183202.2564027868,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,4236333.4270390812,0.1111111111111111
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,4253815.8700579805,0.1111111111111111
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,4273852.9506099196,0.0
daeh-ZiNaRi-ErJinGong.xml_10,耳边厢又听得朝靴响亮，,4278877.5970693361,0.1111111111111111
daxp-DuiLingHua-BiYuZan.xml_0,对菱花暗地里芳心自转，,4358076.0087901242,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,4364157.0549550578,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,4384429.4439399811,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,4404292.2216364406,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_4,在家中受不过继母拷打，,4420098.3406513417,0.0
daeh-SunShangXiang-BieHuangGong.xml_6,回荆州未三载诓我回转，,4426315.1437286716,0.0
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,4483673.5104950452,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,4493384.6369134048,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,4497750.1162098218,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,4535216.1088536773,0.0
daxp-XiShiNv-XiShi.xml_4,怕只怕损玉颜姣容自惜，,4545137.3977098269,0.2222222222222222
daeh-WangChunE-SanNiangJiaoZi.xml_1,想起了我老爷好不惨然。,4597423.5917946436,0.0
danbz-KanDaWang-BaWangBieJi.xml_3,猛抬头见碧落月色清明。,4652212.1567159146,0.1111111111111111
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,4661817.4489937462,0.1111111111111111
daxp-MengJunZi-ChunQiuPei-2.xml_4,身有病还受那继母拷打，,4671461.7402725285,0.0
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,4678955.4799379176,0.0
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,4709944.7821530197,0.0
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,4709944.7821530197,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,4742337.7416291311,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,4754081.9950904883,0.0
daeh-LiYanFei-DaBaoGuo.xml_2,太师爷奏一本进贡年下，,4754298.2694166722,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,4787798.8654039353,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,4805962.7427549567,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,4838166.2038846575,0.0
daxp-DangRiLi-SuoLinNang.xml_3,耳听得风声断，雨声喧，雷声乱，乐声阑珊，人声呐喊，都道说是大雨倾天。,4839306.1333865998,0.0
daeh-ZiNaRi-ErJinGong.xml_1,独坐在寒宫院闷闷悠悠。,4840674.8389736237,0.0
daxp-XiShiNv-XiShi.xml_5,对清溪时照影自整罗农。,4857543.1870685685,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,4863055.2541844128,0.0
sdxp-SuLongWei-WuJiaPo.xml_25,苏龙魏虎是内亲。,4869517.9971206533,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,4870347.0777722076,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,4895800.5218227264,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,4899050.5085297031,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,4899050.5085297031,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,4965340.1807581559,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,4966913.153499336,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_5,贼好比曹阿瞒半点不差，,4970646.6964666694,0.0
daeh-ZiNaRi-ErJinGong.xml_12,有一句话儿不好言讲，,4974622.9101163512,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_9,只骂得贼昏王扭转身驱、闭目合晴、羞羞惭惭一语不发，,4979007.8841371853,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,5055334.1098190127,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_10,只骂得贼昏王无言对答。,5066063.1416303711,0.0
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,5088898.2804022161,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,5123389.6899487739,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,5125214.5638116822,0.0
daxp-DangRiLi-SuoLinNang.xml_14,急切里想起了锁麟囊一（呀）件，,5125454.624634197,0.0
daeh-LiYanFei-ErJinGong.xml_4,有几句话儿我不好言讲，,5143718.7108512297,0.0
daeh-NuZiYou-TouJunBieYao.xml_1,为薛郎我父女断绝情长。,5151130.0458639376,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,5153285.4377757944,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_11,两旁的文武臣珠泪如麻，,5200728.9878029544,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,5221798.7196815768,0.0
daxp-QiaoLouShang-HuangShanLei.xml_0,谯楼上二更鼓声声送听，,5226564.1139636561,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_12,搬一把金交椅娘且坐下，,5232347.9572814275,0.0
daeh-TanHongYan-HuoXiaoYu.xml_4,枕边泪（呀）共（那）阶前雨，,5236563.0428421795,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_0,被纠缠陡想起婚时情景，,5250742.6762264483,0.0
daxp-NiDeFu-FenHeWan.xml_3,不等到日落及早回程。,5258212.3745456766,0.1111111111111111
daxp-JiaoZhangSheng-HongNiang.xml_3,这件事倒叫我心乱如麻。,5263029.5857701181,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,5266843.1544995708,0.0
daxp-WoZhuYe-SiLangTanMu.xml_2,众卿随忙挂点亲率官员，,5276601.9502200643,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,5277475.0920628225,0.0
daspd-DuShouKong-WangJiangTing.xml_0,独守空帏暗长叹，,5279121.373611738,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,5282538.0778555712,0.0
daxp-FeiShiWo-TaoHuaCun.xml_8,你不要高声不要嚷，,5293598.9768188251,0.0
daeh-LiYanFei-DaBaoGuo.xml_4,将江山让太师权且代贺，,5294750.9358633393,0.0
daspd-DuShouKong-WangJiangTing.xml_1,芳心寂寞有谁怜，,5298449.477052344,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_3,但不知何日里再沐圣明。,5313245.0375365149,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,5320550.9030816453,0.0
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,5321189.2104629586,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_3,反倒说为嫂我拦阻有差，,5324684.0018130299,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_8,只骂得贼昏王装聋作哑，,5347017.7332690768,0.0
daeh-SunShangXiang-BieHuangGong.xml_1,想起了已往事心内痛酸。,5355073.4785441048,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,5356080.4696689304,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,5379914.0851431312,0.0
