那冰轮离海岛,4,那冰轮离海岛，
daxp-ErTingDe-SuoLinNang.xml_22,分我一枝珊瑚宝，,2541541.2309769685,0.0
sdxp-DangNianHan-SanJiZhang.xml_13,商鞅不中苏季子，,2541541.2309769685,0.0
daxp-ErTingDe-SuoLinNang.xml_20,我正不足她正少，,2990678.808133875,0.0
daspd-DuShouKong-WangJiangTing.xml_2,孀居愁苦泪洗面，,3149011.6123430748,0.0
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_2,那冰轮离海岛，,3214488.5596887777,1.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_0,昨日宫中何等宠幸，,3299187.8126234915,0.0
daxp-FeiShiWo-TaoHuaCun.xml_7,桃花村口莫彷徨。,3457691.2247443427,0.0
daeh-ZuoRiGong-TaiZhenWaiChuan.xml_2,思想起从前事心中悔恨，,3500379.7877329006,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_6,番王小丑何足论，,3560873.9081340157,0.0
daxp-ChunQiuTing-SuoLinNang.xml_5,为何鲛珠化泪抛？,3612337.7893065717,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_3,敌血飞溅石榴裙。,3656808.8883484518,0.0
daxp-ErTingDe-SuoLinNang.xml_28,麟儿哪有神送到，,3702017.0147383451,0.0
sdxp-SuLongWei-WuJiaPo.xml_31,命人送到（那）西凉川。,3720052.4275345155,0.16666666666666666
daxp-FeiShiWo-TaoHuaCun.xml_11,是不是有人拍巴掌。,3722509.6769640669,0.0
daxp-NiDeFu-FenHeWan.xml_0,你的父去投军无音信，,3788605.172352117,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_0,蒙君子至诚心再三问话，,3806351.1175980275,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_5,叹一声不由人珠泪如梭。,3811438.8734356756,0.0
daxp-DangRiLi-SuoLinNang.xml_1,霎时间日色淡似坠西山。,3818584.6433892474,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,3826628.6971462402,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_0,昔日梁鸿配孟光，,3851187.0268906327,0.0
daxp-QiaoLouShang-HuangShanLei.xml_8,听画鼓报四更愈添凄冷，,3884442.6225335244,0.0
sdxp-DangNianHan-SanJiZhang.xml_20,爹爹为何你要退婚？,3897581.7037244299,0.0
daxp-DangRiLi-SuoLinNang.xml_0,当日里好风光忽觉转变，,3958320.4649251457,0.0
daxp-MuQinBu-FengHuanChao.xml_5,活在世上也枉然。,3978224.1915563028,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_7,不如早死命归西。,4026785.6444638078,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_6,又谁知平白的闪跌一跤。,4032145.3606137391,0.0
dldeh-ShouBiPo-ChunQiuPei.xml_3,奴好比花未开风吹雨打，,4049817.4561848459,0.0
danbz-KanDaWang-BaWangBieJi.xml_3,猛抬头见碧落月色清明。,4129388.7498883558,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_3,我与母亲两分离。,4159328.1273891856,0.16666666666666666
daxp-ChunQiuTing-SuoLinNang.xml_3,想必是新婚渡鹊桥，,4221291.2115504742,0.0
daeh-SunShangXiang-BieHuangGong.xml_2,遭不幸父王爷把驾来晏，,4227653.8478587028,0.0
daxp-JiaoZhangSheng-HongNiang.xml_3,这件事倒叫我心乱如麻。,4270996.3267649692,0.0
daxp-DangRiLi-SuoLinNang.xml_16,有金珠和珍宝光华灿烂，,4274583.3468512734,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,4333683.0445180591,0.0
daxp-ChunQiuTing-SuoLinNang.xml_24,分我一枝珊瑚宝，,4352795.1190925455,0.0
daxp-ChunQiuTing-SuoLinNang.xml_22,我在不足他正少，,4352795.1190925455,0.0
daspd-DuShouKong-WangJiangTing.xml_1,芳心寂寞有谁怜，,4355066.2690858571,0.0
daxp-JiaoZhangSheng-HongNiang.xml_5,听号令且莫要惊动了她。,4421090.3736491324,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,4444419.5907025235,0.0
daxp-ErTingDe-SuoLinNang.xml_14,休要噪且站了，,4445802.5844381563,0.0
daxp-SuSanLi-NvQiJie.xml_4,哪一位去往南京转，,4461007.254733976,0.0
daxp-QiaoLouShang-HuangShanLei.xml_15,你爹爹到如今未转家门。,4487103.0238875002,0.0
daxp-XiShiNv-XiShi.xml_0,西施女生长在苎萝村里，,4490154.0080901505,0.0
daxp-WoZhuYe-SiLangTanMu.xml_0,我主爷金沙滩早把命丧，,4573464.113972825,0.0
sdxp-SuLongWei-WuJiaPo.xml_43,落得个孝子的名儿在那天下传。,4591022.4303467236,0.16666666666666666
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_6,奴似嫦娥离月宫。,4595935.8780270601,0.16666666666666666
daxp-JiaoZhangSheng-HongNiang.xml_1,我步步行来你步步爬。,4634820.9296351895,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,4652571.3340571141,0.0
daxp-LaoDieDie-YuZhouFeng.xml_3,观此本免了儿一门祸殃。,4668629.4390419545,0.0
daeh-WangChunE-SanNiangJiaoZi.xml_4,薛倚儿他好比无弓之箭，,4670662.7065933477,0.0
daxp-WoDeNiang-XinAnYi.xml_0,我的娘她忘了女生外姓，,4673482.7927516829,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_3,等候了爹爹回细问根由。,4694771.9757967861,0.0
daxp-XiRiLiang-LongFengChengXiang.xml_3,安排巧计害刘王。,4714024.8684489373,0.0
daeh-LiYanFei-DaBaoGuo.xml_9,压定了文武臣均要画押。,4722760.4913806869,0.0
sdxp-WoHeNi-SiLangTanMu.xml_25,有什么心腹事你只管明言。,4741170.5552828554,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,4770935.6842685593,0.0
daxp-SuSanLi-NvQiJie.xml_7,来生变犬马我当报还！,4772614.9037922919,0.0
danbz-KanDaWang-BaWangBieJi.xml_2,轻移步走向前荒郊站定，,4775686.6415694673,0.0
daxp-FeiShiWo-TaoHuaCun.xml_17,听我的号令上战场。,4781266.3529740768,0.0
daxp-ChunQiuTing-SuoLinNang.xml_30,麟儿那有神送到，,4782329.5470895367,0.16666666666666666
daxp-LaoDieDie-SanJiZhang-2.xml_3,这样人得了志比父还强。,4786027.8754081987,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_0,猛听得金鼓响画角声震，,4814869.8399508651,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_5,寸土怎能够属于他人。,4816974.4465165334,0.0
daxp-ChunQiuTing-SuoLinNang.xml_6,此时却又明白了，,4826390.8098962214,0.0
daxp-TingTaYan-ZuoGong.xml_5,尊一声驸马爷细听咱言。,4842106.2268803213,0.0
sdxp-SuLongWei-WuJiaPo.xml_29,府内金银堆如山。,4848436.2990472261,0.0
daxp-DangRiLi-SuoLinNang.xml_11,为什么悲切切哭得可怜。,4913564.2461272441,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_2,哭一声亡故夫在阴曹等我，,4918640.5838956432,0.0
daxp-LaoDieDie-YuZhouFeng.xml_1,明早朝上金殿面奏吾皇。,4931642.9222555626,0.0
daxp-ZhiJianTa-WangJiangTing.xml_7,何必独自就暗猜疑。,4939614.3710471056,0.0
daxp-DiTouLi-NvQiJie.xml_5,与我那三郎把信传。,4947230.5848234287,0.16666666666666666
sdxp-SuLongWei-WuJiaPo.xml_36,军爷说话理不端，,4954231.4573555114,0.0
daxp-FeiShiWo-TaoHuaCun.xml_4,已然错请生波浪，,4989903.275308175,0.0
daxp-GuanShiYin-TianNvSanHua.xml_0,观世音满月面珠开妙相，,4992319.7359590167,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_5,最可恨鸨儿叫我接客人。,5000634.4562116452,0.0
daxp-DangRiLi-SuoLinNang.xml_15,囊虽小却能做续命泉源。,5004609.1613418516,0.0
daxp-SuSanLi-NvQiJie.xml_3,过往的君子听我言。,5013210.9733543713,0.0
daxp-DuiLingHua-BiYuZan.xml_3,也算得人世间美满姻缘。,5024292.8593165744,0.0
daxp-ChunQiuTing-SuoLinNang.xml_0,春秋亭外风雨暴，,5061665.3703522393,0.0
daxp-ErTingDe-SuoLinNang.xml_19,谁能移动它半分毫。,5080891.7383999908,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_5,莫奈何到荒郊我就来捡芦花。,5084747.8977331314,0.0
sdxp-WoHeNi-SiLangTanMu.xml_24,因何故终日里愁眉不展，,5088870.5851588696,0.0
daxp-ChunQiuTing-SuoLinNang.xml_31,积德才生玉树苗，,5136114.7000159631,0.0
daxp-SuSanLi-NvQiJie.xml_5,与我那三郎把信传。,5139383.026930497,0.16666666666666666
daxp-ZhiJianTa-WangJiangTing.xml_0,只见他一封书信握手里，,5146859.6706935782,0.0
daeh-CanQiQi-WuLongZuo.xml_2,千金休哪曾受磨房景况，,5166105.1417610152,0.0
daxp-ErDeFu-HongNiGuan.xml_4,清早起我和他一度商量，,5171695.5117338421,0.0
daxp-ChunQiuTing-SuoLinNang.xml_19,满腹骄矜顿雪潇，,5174124.9031328913,0.0
daeh-LiYanFei-DaBaoGuo.xml_5,候幼主成了龙原业归家。,5178806.7463071626,0.0
daxp-GuanShiYin-TianNvSanHua.xml_7,催祥云驾瑞彩速赴佛场。,5188484.3525691712,0.0
sdxp-WoHeNi-SiLangTanMu.xml_23,咱与你隔南北千里姻缘。,5221880.2570573371,0.0
daxp-XiRiLi-LongFengChengXiang.xml_5,纵有大事料无妨。,5244053.7871294701,0.0
daxp-ErDeFu-HongNiGuan.xml_7,又恐怕众将官说短论长。,5244438.5993861686,0.0
daxp-FeiShiWo-TaoHuaCun.xml_10,不但要仔细听、还要仔细想，,5246338.0795665309,0.0
daxp-ZhiJianTa-WangJiangTing.xml_5,隐情不敢实告妻。,5341011.6572613399,0.0
daxp-TingTaYan-ZuoGong.xml_7,不知者不怪罪你的海量放宽。,5387540.7950527817,0.16666666666666666
daeh-ZiNaRi-ErJinGong.xml_2,先王爷晏驾后太子年幼，,5402615.2347528758,0.0
daxp-ChunQiuTing-SuoLinNang.xml_23,他为饥寒我为娇。,5417917.3387008961,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_8,幸喜得珍珠衫称心如愿，,5418724.4720712379,0.0
daxp-LaoDieDie-DaYuShaJia-1.xml_1,到叫我桂英儿挂在心头；,5450377.7128101597,0.0
sdxp-WoHeNi-SiLangTanMu.xml_26,你那里休得要巧言舌辨，,5463193.3469054485,0.16666666666666666
sdxp-SuLongWei-WuJiaPo.xml_34,将你带到官衙内，,5473243.2740585012,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_12,但愿得状元媒月老引线，,5474376.3369620256,0.0
sdxp-SuLongWei-WuJiaPo.xml_27,三人对面（就）说分明。,5493152.1803998053,0.0
daxp-ChunQiuTing-SuoLinNang.xml_9,也有失意痛哭嚎啕，,5521024.2540195957,0.0
daxp-DangRiLi-SuoLinNang.xml_13,怎奈我在轿中赤手空拳。,5526988.1145317629,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_4,诗书易礼都学会，,5546068.295500691,0.0
daxp-MengJunZi-ChunQiuPei-1.xml_2,家住在罗郡城魁星楼下，,5565731.5957212504,0.0
daxp-WoZhuYe-SiLangTanMu.xml_4,叫番儿忙摆驾银安殿，,5567350.4778579427,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,5592577.1404433623,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_5,实指望教训他终身有靠，,5603117.2188673066,0.0
daxp-TingTaYan-ZuoGong.xml_0,听他言吓得我浑身是汗，,5605011.4922606442,0.0
daeh-ZiNaRi-ErJinGong.xml_4,他那里父女情全然无有，,5606752.3124545636,0.16666666666666666
daxp-FeiShiWo-TaoHuaCun.xml_2,今夜晚非比那西厢待月、你懂提防、莫轻狂，,5617657.5046776002,0.16666666666666666
daxp-ErTingDe-SuoLinNang.xml_17,满腹骄矜顿雪潇。,5630075.5454837997,0.0
daxp-ErTingDe-SuoLinNang.xml_7,不该人前乱解嘲。,5630075.5454837997,0.0
daeh-WuDuanQiao-BiYuZan.xml_7,又怕丑名误流传。,5631678.7889077216,0.0
daxp-MengJunZi-ChunQiuPei-2.xml_2,家住在罗郡城魁星楼下，,5632150.9174867226,0.0
