乾坤分外明,0,乾坤分外明，
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_3,乾坤分外明，,1006049.6681935383,1.0
daxp-ErTingDe-SuoLinNang.xml_13,不该词费又滔滔。,1979977.6083261347,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,2330918.1885930942,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_2,在潼台被贼擒在命好险，,2873381.3321381756,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_2,想当年桃花马上威风凛凛，,3036195.0557888616,0.0
daxp-MuQinBu-FengHuanChao.xml_1,女儿言来听根源。,3190927.9786945856,0.0
daxp-SuSanLi-NvQiJie.xml_1,将身来在大街前。,3356424.7237233343,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,3758683.8099794565,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,3813266.3572399998,0.0
daxp-ZheCaiShi-SuoLinNang.xml_1,不想团圆在今朝。,3813266.3572399998,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,3815902.4594651456,0.0
daxp-GuanShiYin-TianNvSanHua.xml_6,满眼中清妙景灵光万丈，,3864730.5174875767,0.0
daxp-FeiShiWo-TaoHuaCun.xml_13,响两声你就凑近身旁。,3951730.2668146584,0.0
danbz-KanDaWang-BaWangBieJi.xml_0,看大王在帐中和衣睡稳，,4047207.0630223895,0.0
daeh-XiaoNuCai-SanNiangJiaoZi.xml_1,闭口无言王春娥。,4055165.6141642551,0.0
daxp-TingTaYan-ZuoGong.xml_2,原来是杨家将把名姓改换，,4084164.7275988529,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,4105275.4364016964,0.0
daxp-ChunQiuTing-SuoLinNang.xml_28,这都是神话凭空造，,4238127.2683316125,0.0
daxp-ZheCaiShi-SuoLinNang.xml_5,善果心花可自豪。,4315613.932573582,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_0,被纠缠陡想起婚时情景，,4393328.7453691009,0.0
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,4406374.1774364784,0.2
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,4465560.8528363137,0.0
daxp-DiTouLi-NvQiJie.xml_6,就说苏三把命断，,4471284.3852184322,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,4507568.4229817251,0.0
daxp-SuSanLi-NvQiJie.xml_6,言说苏三把命断，,4526095.3782371152,0.0
daxp-FeiShiWo-TaoHuaCun.xml_16,你把我当做诸葛亮，,4734502.2094584564,0.0
daeh-ZaoBuXing-HeHouMaDian.xml_13,你叔王不让位再去骂他。,4763507.9912377549,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,4783019.7129118443,0.0
daxp-ZheCaiShi-SuoLinNang.xml_4,柳暗花明休啼笑，,4917055.1991722975,0.2
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,4936574.1898509543,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,4959205.4219934195,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,5043457.9652440548,0.0
daxp-MuQinBu-FengHuanChao.xml_2,自古常言道得好，,5056850.8604672663,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_5,待我来搀扶（哇）你重订鸳盟。,5092847.2465440352,0.0
daeh-ZiNaRi-ZhuangYuanMei-1.xml_15,愿天下从此后国泰民安。,5123673.8882985748,0.0
