皓月当空,0,皓月当空，
daspd-HaiDaoBing-GuiFeiZuiJiu.xml_4,皓月当空，,1158779.0538522876,1.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_0,陈三两在大堂把话云，,3429159.7912743515,0.0
daxp-DiTouLi-NvQiJie.xml_2,未曾开言我心好惨，,3926704.5473604761,0.0
daxp-FeiShiWo-TaoHuaCun.xml_5,怎能够粗心大意你再荒唐。,4121836.4066008632,0.0
daxp-ChenSanLiang-ChenSanLiangPaTang.xml_2,我本是被骗进的富春院，,4336860.9733642973,0.0
daxp-ZheCaiShi-SuoLinNang.xml_4,柳暗花明休啼笑，,4593923.0509992065,0.0
danbz-KanDaWang-BaWangBieJi.xml_1,我这里出帐外且散愁情。,4646244.6111520324,0.0
daxp-ZheCaiShi-SuoLinNang.xml_5,善果心花可自豪。,4938655.6782613825,0.0
sdxp-DangNianHan-SanJiZhang.xml_18,大孝之人也受贫。,5105249.0065849926,0.0
daxp-FeiShiWo-TaoHuaCun.xml_1,只怪你呆头呆脑慌慌张张。,5207678.585334138,0.0
daeh-LiYanFei-DaBaoGuo.xml_6,写文约我且把玉玺打下，,5663925.6356389457,0.0
daeh-ZiNaRi-ErJinGong.xml_9,想起了老王爷好不惨伤。,5669602.1411383394,0.0
sdxp-WoHeNi-SiLangTanMu.xml_31,一夜之间你怎能回还。,6008591.8428942254,0.0
daxp-DiTouLi-NvQiJie.xml_7,来生变犬马我当报还。,6031106.8892209399,0.25
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,6178322.1697625685,0.0
daxp-FeiShiWo-TaoHuaCun.xml_14,倘若是你响她也响，,6229554.5587673876,0.0
daxp-ZheCaiShi-SuoLinNang.xml_7,愧我当初赠木桃。,6295043.2033734368,0.25
daxp-DangRiLi-SuoLinNang.xml_18,还有那夜明珠粒粒成串，,6296527.3462563166,0.0
daeh-LiYanFei-ErJinGong.xml_1,想起了朝中事好不惨伤！,6336592.2798133604,0.0
daxp-ChunQiuTing-SuoLinNang.xml_17,问那厢因何故痛哭无聊。,6344193.7991332524,0.0
sdxp-WoHeNi-SiLangTanMu.xml_28,有心赠你金鈚箭，,6400978.5995663861,0.0
sdxp-DangNianHan-SanJiZhang.xml_12,登台拜帅天下闻。,6452522.2028131224,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,6467700.7396064801,0.0
daxp-ErTingDe-SuoLinNang.xml_11,难免怀疑在心梢。,6504627.25454365,0.0
daxp-ZheCaiShi-SuoLinNang.xml_1,不想团圆在今朝。,6504627.25454365,0.0
daxp-ChunQiuTing-SuoLinNang.xml_13,同遇人为什么这样嚎啕？,6510870.8770109555,0.0
sdxp-SuLongWei-WuJiaPo.xml_33,家人小厮有万千。,6520180.9810025608,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_3,莫负他好春宵一刻千金。,6533810.7939227084,0.0
daxp-LaoDieDie-YuZhouFeng.xml_4,老爹爹在朝中官高爵显，,6547621.8655884592,0.0
daxp-ErTingDe-SuoLinNang.xml_1,同遇人为什么这样嚎啕。,6564466.2296930617,0.0
daxp-FeiShiWo-TaoHuaCun.xml_3,关系你患难鸳鸯永宿在池塘。,6571520.9989657262,0.0
daeh-WuDuanQiao-BiYuZan.xml_6,一心早想寻短见，,6631714.4786497774,0.0
sdxp-SuLongWei-WuJiaPo.xml_37,欺奴犹如欺了天。,6643129.521249217,0.0
daxp-ChunQiuTing-SuoLinNang.xml_29,自把珠玉夸富豪，,6645823.7415884035,0.0
daxp-XiRiLi-LongFengChengXiang.xml_2,暗地堪笑奴兄长，,6669229.2487538364,0.0
daxp-GuanShiYin-TianNvSanHua.xml_4,绿柳枝酒甘露三千界上，,6676949.8736744644,0.0
daxp-MuQinBu-FengHuanChao.xml_3,女儿清白最为先。,6690543.2044383371,0.0
daxp-MengTingDe-MuiGuiYingGuaShuai.xml_7,我一剑能挡百万兵。,6721447.3378980551,0.0
sdxp-DangNianHan-SanJiZhang.xml_21,不能、不能、是万不能！,6722381.6818008274,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,6722567.53075781,0.0
