奴似嫦娥离月宫,295,奴似嫦娥离月宫。
daxp-LaoDieDie-YuZhouFeng.xml_5,却为何贪富贵不顾羞惭。,3387182.2144378358,0.0
daxp-ErTingDe-SuoLinNang.xml_6,梅香说话好颠倒，,3396119.0487093432,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_2,我不免去安排罗衾绣枕，,3537830.4879519194,0.0
daeh-NaRiFeng-YuanXiaoMi.xml_5,那厢流泪这厢啼。,3795990.3686323087,0.0
sdxp-WoHeNi-SiLangTanMu.xml_29,怕你一去就不回还。,3845117.8977928516,0.0
daxp-DiTouLi-NvQiJie.xml_1,将身来在大街前。,3988987.2726158984,0.0
daxp-DiTouLi-NvQiJie.xml_4,哪一位去往南京转，,4027967.2270240877,0.0
daxp-MuQinBu-FengHuanChao.xml_0,母亲不必心太偏，,4240840.1091719735,0.0
daxp-SuSanLi-NvQiJie.xml_2,未曾开言心内惨，,4276630.1129389871,0.0
danbz-BeiJiuChan-ChunGuiMeng.xml_5,待我来搀扶（哇）你重订鸳盟。,4335391.7964617852,0.0
danbz-KanDaWang-BaWangBieJi.xml_0,看大王在帐中和衣睡稳，,4342755.6511287969,0.0
daxp-ErTingDe-SuoLinNang.xml_12,你不该人前逞骄傲，,4391398.9352752473,0.0
daeh-WuDuanQiao-BiYuZan.xml_5,满腹冤屈向谁言。,4454847.1274984628,0.0
sdxp-WoHeNi-SiLangTanMu.xml_27,你要见高堂母我不阻拦。,4502890.6105600279,0.0
sdeh-WenSanNiang-SanNiangJiaoZi.xml_4,背转身来哭嚎啕。,4606632.864201393,0.0
daeh-ZiNaRi-ZhuangYuanMei-2.xml_2,在潼台被贼擒性命好险，,4613545.9496410955,0.0
sdxp-WoHeNi-SiLangTanMu.xml_33,你也对苍天就表一番。,4643130.2780692987,0.0
daxp-ChunQiuTing-SuoLinNang.xml_27,莫把姓名你信口晓，,4647093.5094944732,0.0
daxp-GuanShiYin-TianNvSanHua.xml_6,满眼中清妙景灵光万丈，,4661657.7382497452,0.0
